Attacked Unit@786bb298at position 1015, 776 at time 1607905321825
Moved to 1045, 975 at time 1607905465204
Moved to 1046, 974 at time 1607905465455
Moved to 1047, 973 at time 1607905465702
Moved to 1048, 972 at time 1607905465917
Moved to 1049, 971 at time 1607905466165
Moved to 1050, 970 at time 1607905466396
Moved to 1051, 969 at time 1607905466624
Moved to 1052, 968 at time 1607905466816
Moved to 1053, 967 at time 1607905467032
Moved to 1054, 966 at time 1607905467176
Moved to 1055, 965 at time 1607905467364
Moved to 1056, 964 at time 1607905467472
Moved to 1057, 963 at time 1607905467536
Moved to 1058, 962 at time 1607905467734
Moved to 1059, 961 at time 1607905467906
Moved to 1060, 960 at time 1607905468099
Moved to 1061, 959 at time 1607905468272
Moved to 1062, 958 at time 1607905468447
Moved to 1063, 957 at time 1607905468660
Moved to 1062, 956 at time 1607905468818
Moved to 1061, 955 at time 1607905468980
Moved to 1060, 954 at time 1607905469122
Moved to 1059, 953 at time 1607905469329
Moved to 1058, 952 at time 1607905469474
Moved to 1057, 951 at time 1607905469570
Moved to 1056, 950 at time 1607905469723
Moved to 1055, 949 at time 1607905469774
Moved to 1054, 948 at time 1607905469833
Moved to 1053, 947 at time 1607905469891
Moved to 1052, 946 at time 1607905470049
Moved to 1051, 945 at time 1607905470174
Moved to 1050, 944 at time 1607905470323
Moved to 1049, 943 at time 1607905470450
Moved to 1048, 942 at time 1607905470605
Moved to 1047, 941 at time 1607905470752
Moved to 1046, 940 at time 1607905470789
Moved to 1045, 939 at time 1607905470897
Moved to 1044, 938 at time 1607905470937
Moved to 1043, 937 at time 1607905471071
Moved to 1042, 936 at time 1607905471123
Moved to 1041, 935 at time 1607905471234
Moved to 1040, 934 at time 1607905471351
Moved to 1039, 933 at time 1607905471393
Moved to 1038, 932 at time 1607905471506
Moved to 1037, 931 at time 1607905471547
Moved to 1036, 930 at time 1607905471653
Moved to 1035, 929 at time 1607905471707
Moved to 1034, 928 at time 1607905471818
Moved to 1033, 927 at time 1607905471875
Moved to 1032, 926 at time 1607905471987
