Attacked Unit@95973b8at position 1013, 305 at time 1607965644417
Moved to 1253, 108 at time 1607965645418
Moved to 1254, 109 at time 1607965645453
Moved to 1255, 110 at time 1607965645534
Moved to 1256, 111 at time 1607965645741
Moved to 1257, 112 at time 1607965645932
Moved to 1258, 113 at time 1607965646457
Moved to 1259, 114 at time 1607965708009
Moved to 1260, 115 at time 1607965708234
Moved to 1261, 116 at time 1607965708401
Moved to 1262, 117 at time 1607965708438
Moved to 1263, 118 at time 1607965708609
Moved to 1264, 119 at time 1607965708657
Moved to 1265, 120 at time 1607965708793
Moved to 1266, 121 at time 1607965708909
Moved to 1267, 122 at time 1607965709013
Moved to 1268, 123 at time 1607965709096
Moved to 1269, 124 at time 1607965709313
Moved to 1270, 125 at time 1607965709534
Moved to 1271, 126 at time 1607965709922
Moved to 1272, 127 at time 1607965710155
Moved to 1273, 128 at time 1607965710559
Moved to 1274, 129 at time 1607965710694
Moved to 1275, 130 at time 1607965711020
Moved to 1276, 131 at time 1607965711190
Moved to 1277, 132 at time 1607965711453
Moved to 1278, 133 at time 1607965711595
Moved to 1279, 134 at time 1607965712075
Moved to 1280, 135 at time 1607965712269
Moved to 1281, 136 at time 1607965712583
Moved to 1282, 137 at time 1607965712690
Moved to 1283, 138 at time 1607965713019
Moved to 1284, 139 at time 1607965713111
Moved to 1285, 140 at time 1607965713516
Moved to 1286, 141 at time 1607965713822
Moved to 1287, 142 at time 1607965714074
Moved to 1288, 143 at time 1607965714164
Moved to 1289, 144 at time 1607965714434
Moved to 1290, 145 at time 1607965714655
Moved to 1291, 146 at time 1607965714690
Moved to 1292, 147 at time 1607965714956
Moved to 1293, 148 at time 1607965715100
Moved to 1294, 149 at time 1607965715174
Moved to 1295, 150 at time 1607965715242
Moved to 1296, 151 at time 1607965715435
Moved to 1297, 152 at time 1607965715602
Moved to 1298, 153 at time 1607965715816
Moved to 1299, 154 at time 1607965715972
Moved to 1300, 155 at time 1607965716266
Moved to 1301, 156 at time 1607965716492
Moved to 1302, 157 at time 1607965716743
Moved to 1303, 158 at time 1607965716838
Moved to 1304, 159 at time 1607965716938
Moved to 1305, 160 at time 1607965717086
Moved to 1306, 161 at time 1607965717179
Moved to 1307, 162 at time 1607965717264
Moved to 1308, 163 at time 1607965717369
Moved to 1309, 164 at time 1607965717451
Moved to 1310, 165 at time 1607965717540
Moved to 1311, 166 at time 1607965717608
Moved to 1312, 167 at time 1607965717695
Moved to 1313, 168 at time 1607965717754
Moved to 1314, 169 at time 1607965718009
Moved to 1315, 170 at time 1607965718245
Moved to 1316, 171 at time 1607965718498
Moved to 1317, 172 at time 1607965718565
Moved to 1318, 173 at time 1607965718653
Moved to 1319, 174 at time 1607965718746
Moved to 1320, 175 at time 1607965718937
Moved to 1321, 176 at time 1607965719253
Moved to 1322, 177 at time 1607965719653
Moved to 1323, 178 at time 1607965720189
Moved to 1324, 179 at time 1607965720729
Moved to 1325, 180 at time 1607965721222
Moved to 1326, 181 at time 1607965721569
Moved to 1327, 182 at time 1607965721702
Moved to 1328, 183 at time 1607965721891
Moved to 1329, 184 at time 1607965722001
Moved to 1330, 185 at time 1607965722166
Moved to 1331, 186 at time 1607965722268
Moved to 1332, 187 at time 1607965722506
Moved to 1333, 188 at time 1607965722897
Moved to 1334, 189 at time 1607965722931
Moved to 1335, 190 at time 1607965723365
Moved to 1336, 191 at time 1607965723784
Moved to 1337, 192 at time 1607965724282
Moved to 1338, 193 at time 1607965724774
Moved to 1339, 194 at time 1607965725242
Moved to 1340, 195 at time 1607965725725
Moved to 1341, 196 at time 1607965726156
Moved to 1342, 197 at time 1607965726647
Moved to 1343, 198 at time 1607965727058
Moved to 1344, 199 at time 1607965727526
Moved to 1345, 200 at time 1607965727974
Moved to 1346, 201 at time 1607965728434
Moved to 1347, 202 at time 1607965728890
Moved to 1348, 203 at time 1607965729370
Moved to 1349, 204 at time 1607965729597
Moved to 1350, 205 at time 1607965729701
Moved to 1351, 206 at time 1607965729834
Moved to 1352, 207 at time 1607965730005
Moved to 1353, 208 at time 1607965730040
Moved to 1354, 209 at time 1607965730394
Moved to 1355, 210 at time 1607965730852
Moved to 1356, 211 at time 1607965731263
Moved to 1357, 212 at time 1607965731474
Moved to 1358, 213 at time 1607965731550
Moved to 1359, 214 at time 1607965731588
Moved to 1360, 215 at time 1607965731622
Moved to 1361, 216 at time 1607965731741
Moved to 1362, 217 at time 1607965731840
Moved to 1363, 218 at time 1607965731953
Moved to 1364, 219 at time 1607965732042
Moved to 1365, 220 at time 1607965732078
Moved to 1366, 221 at time 1607965732120
Moved to 1367, 222 at time 1607965732189
Moved to 1368, 223 at time 1607965732225
Moved to 1369, 224 at time 1607965732301
Moved to 1370, 225 at time 1607965732336
Moved to 1371, 226 at time 1607965732439
Moved to 1372, 227 at time 1607965732658
Moved to 1373, 228 at time 1607965732695
Moved to 1374, 229 at time 1607965733054
Moved to 1375, 230 at time 1607965733109
Moved to 1376, 231 at time 1607965733493
Moved to 1377, 232 at time 1607965733964
Moved to 1378, 233 at time 1607965734357
Moved to 1379, 234 at time 1607965734780
Moved to 1380, 235 at time 1607965734911
Moved to 1381, 236 at time 1607965735072
Moved to 1382, 237 at time 1607965735173
Moved to 1383, 238 at time 1607965735307
Moved to 1384, 239 at time 1607965735380
Moved to 1385, 240 at time 1607965735518
