Attacked Unit@95973b8at position 1013, 305 at time 1607965644510
Moved to 1008, 263 at time 1607965746277
Moved to 1007, 262 at time 1607965746606
Moved to 1006, 261 at time 1607965746645
Moved to 1005, 260 at time 1607965746935
Moved to 1004, 259 at time 1607965747322
Moved to 1003, 258 at time 1607965747650
Moved to 1002, 257 at time 1607965748034
Moved to 1001, 256 at time 1607965748195
Moved to 1000, 255 at time 1607965748295
Moved to 999, 254 at time 1607965748417
Moved to 998, 253 at time 1607965748504
Moved to 997, 252 at time 1607965748597
Moved to 996, 251 at time 1607965748705
Moved to 995, 250 at time 1607965748841
Moved to 994, 249 at time 1607965748902
Moved to 993, 248 at time 1607965749024
Moved to 992, 247 at time 1607965749111
Moved to 991, 246 at time 1607965749204
Moved to 990, 245 at time 1607965749239
Moved to 989, 244 at time 1607965749366
Moved to 988, 243 at time 1607965749585
Moved to 987, 242 at time 1607965749750
Moved to 986, 241 at time 1607965749981
Moved to 985, 240 at time 1607965750143
Moved to 984, 239 at time 1607965750384
Moved to 983, 238 at time 1607965750544
Moved to 982, 237 at time 1607965750794
Moved to 981, 236 at time 1607965750934
Moved to 980, 235 at time 1607965751171
Moved to 979, 234 at time 1607965751305
Moved to 978, 233 at time 1607965751552
Moved to 977, 232 at time 1607965751679
Moved to 976, 231 at time 1607965751889
Moved to 975, 230 at time 1607965751952
Moved to 974, 229 at time 1607965752058
Moved to 973, 228 at time 1607965752201
Moved to 972, 227 at time 1607965752399
Moved to 971, 226 at time 1607965752514
Moved to 970, 225 at time 1607965752771
Moved to 969, 224 at time 1607965752902
Moved to 968, 223 at time 1607965753174
Moved to 967, 222 at time 1607965753294
Moved to 966, 221 at time 1607965753555
Moved to 965, 220 at time 1607965753682
Moved to 964, 219 at time 1607965753968
Moved to 963, 218 at time 1607965754090
Moved to 962, 217 at time 1607965754350
Moved to 961, 216 at time 1607965754477
Moved to 960, 215 at time 1607965754749
Moved to 959, 214 at time 1607965754851
Moved to 958, 213 at time 1607965755123
Moved to 957, 212 at time 1607965755224
Moved to 956, 211 at time 1607965755498
Moved to 955, 210 at time 1607965755598
Moved to 954, 209 at time 1607965755891
Moved to 953, 208 at time 1607965755980
Moved to 952, 207 at time 1607965756266
Moved to 951, 206 at time 1607965756366
Moved to 950, 205 at time 1607965756650
Moved to 949, 204 at time 1607965756746
Moved to 948, 203 at time 1607965756960
Moved to 947, 202 at time 1607965757055
Moved to 946, 201 at time 1607965757341
Moved to 945, 200 at time 1607965757446
Moved to 944, 199 at time 1607965757717
Moved to 943, 198 at time 1607965757824
Moved to 942, 197 at time 1607965758109
Moved to 941, 196 at time 1607965758200
Moved to 940, 195 at time 1607965758483
Moved to 939, 194 at time 1607965758600
Moved to 938, 193 at time 1607965758924
Moved to 937, 192 at time 1607965759020
Moved to 936, 191 at time 1607965759313
Moved to 935, 190 at time 1607965759403
Moved to 934, 189 at time 1607965759696
Moved to 933, 188 at time 1607965759784
Moved to 932, 187 at time 1607965759820
Moved to 931, 186 at time 1607965760016
Moved to 930, 185 at time 1607965760068
Moved to 929, 184 at time 1607965760130
Moved to 928, 183 at time 1607965760272
Moved to 927, 182 at time 1607965760367
Moved to 926, 181 at time 1607965760497
Moved to 925, 180 at time 1607965760596
Moved to 924, 179 at time 1607965760687
Moved to 923, 178 at time 1607965760752
Moved to 922, 177 at time 1607965760851
Moved to 921, 176 at time 1607965760969
Moved to 920, 175 at time 1607965761064
Moved to 919, 174 at time 1607965761153
Moved to 918, 173 at time 1607965761413
Moved to 917, 172 at time 1607965761455
Moved to 916, 171 at time 1607965761541
Moved to 915, 170 at time 1607965761655
Moved to 914, 169 at time 1607965761752
Moved to 913, 168 at time 1607965761884
Moved to 912, 167 at time 1607965761946
Moved to 911, 166 at time 1607965762054
Moved to 910, 165 at time 1607965762126
Moved to 909, 164 at time 1607965762255
Moved to 908, 163 at time 1607965762305
Moved to 907, 162 at time 1607965762435
Moved to 906, 161 at time 1607965762518
Moved to 905, 160 at time 1607965762621
Moved to 904, 159 at time 1607965762699
Moved to 903, 158 at time 1607965762823
Moved to 902, 157 at time 1607965762862
Moved to 901, 156 at time 1607965763165
Moved to 900, 155 at time 1607965763239
Moved to 899, 154 at time 1607965763537
Moved to 898, 153 at time 1607965763598
Moved to 897, 152 at time 1607965763963
Moved to 896, 151 at time 1607965764005
Moved to 895, 150 at time 1607965764327
Moved to 894, 149 at time 1607965764365
Moved to 893, 148 at time 1607965764707
Moved to 892, 147 at time 1607965764752
Moved to 891, 146 at time 1607965765086
