Attacked Unit@1c99e660at position 868, 583 at time 1607968586224
Attacked Unit@4517955dat position 960, 680 at time 1607968622588
Moved to 1068, 529 at time 1607968624669
Moved to 1069, 528 at time 1607968624872
Moved to 1070, 527 at time 1607968625079
Moved to 1071, 526 at time 1607968625202
Moved to 1072, 525 at time 1607968625435
Moved to 1073, 526 at time 1607968625586
Moved to 1074, 525 at time 1607968625723
Moved to 1075, 526 at time 1607968625822
Moved to 1076, 525 at time 1607968625940
Moved to 1077, 526 at time 1607968626062
Moved to 1078, 525 at time 1607968626247
Moved to 1079, 524 at time 1607968626508
Moved to 1080, 525 at time 1607968626576
Moved to 1081, 524 at time 1607968626854
Moved to 1082, 523 at time 1607968626895
Moved to 1083, 524 at time 1607968626994
Moved to 1084, 523 at time 1607968627092
Moved to 1085, 522 at time 1607968627257
Moved to 1086, 523 at time 1607968627377
Moved to 1087, 522 at time 1607968627495
Moved to 1088, 523 at time 1607968627562
Moved to 1089, 524 at time 1607968627645
Moved to 1090, 523 at time 1607968627710
Moved to 1091, 524 at time 1607968627778
Moved to 1092, 523 at time 1607968627870
Moved to 1093, 524 at time 1607968627926
Moved to 1094, 525 at time 1607968628004
Moved to 1095, 524 at time 1607968628064
Moved to 1096, 525 at time 1607968628173
Moved to 1097, 526 at time 1607968628241
Moved to 1098, 527 at time 1607968628278
Moved to 1099, 526 at time 1607968628355
Moved to 1100, 525 at time 1607968628440
Moved to 1101, 524 at time 1607968628512
Moved to 1102, 523 at time 1607968628576
Moved to 1103, 524 at time 1607968628669
Moved to 1104, 523 at time 1607968628823
Moved to 1105, 524 at time 1607968628959
Moved to 1106, 523 at time 1607968629026
Moved to 1107, 524 at time 1607968629176
Moved to 1108, 523 at time 1607968629243
Moved to 1109, 524 at time 1607968629281
Moved to 1110, 523 at time 1607968629365
Moved to 1111, 524 at time 1607968629508
Moved to 1112, 525 at time 1607968629676
Moved to 1113, 524 at time 1607968629910
Moved to 1114, 523 at time 1607968630044
Moved to 1115, 522 at time 1607968630093
Moved to 1116, 521 at time 1607968630147
Moved to 1117, 520 at time 1607968630204
Moved to 1118, 519 at time 1607968630243
Moved to 1119, 520 at time 1607968630322
Moved to 1120, 519 at time 1607968630427
Moved to 1121, 520 at time 1607968630642
Moved to 1122, 519 at time 1607968630798
Moved to 1123, 520 at time 1607968631058
Moved to 1124, 521 at time 1607968631315
Moved to 1125, 520 at time 1607968631364
Moved to 1126, 521 at time 1607968631596
Moved to 1127, 522 at time 1607968631929
Moved to 1128, 523 at time 1607968632024
Moved to 1129, 524 at time 1607968632218
Moved to 1130, 525 at time 1607968632309
Moved to 1131, 526 at time 1607968632384
Moved to 1132, 527 at time 1607968632448
Moved to 1133, 528 at time 1607968632481
Moved to 1134, 529 at time 1607968632539
Moved to 1135, 530 at time 1607968632611
Moved to 1136, 531 at time 1607968632647
Moved to 1137, 532 at time 1607968632695
Moved to 1138, 533 at time 1607968632731
Moved to 1139, 534 at time 1607968632765
Moved to 1140, 535 at time 1607968632811
Moved to 1141, 536 at time 1607968632847
Moved to 1142, 537 at time 1607968632890
Moved to 1143, 538 at time 1607968632923
Moved to 1144, 539 at time 1607968632964
Moved to 1145, 540 at time 1607968633040
Moved to 1146, 541 at time 1607968633113
Moved to 1147, 542 at time 1607968633174
Moved to 1148, 543 at time 1607968633240
Moved to 1149, 544 at time 1607968633311
Moved to 1150, 545 at time 1607968633373
Moved to 1151, 546 at time 1607968633424
Moved to 1152, 547 at time 1607968633486
Moved to 1153, 548 at time 1607968705490
Moved to 1154, 549 at time 1607968705563
Moved to 1155, 550 at time 1607968705617
Moved to 1156, 551 at time 1607968705701
Moved to 1157, 552 at time 1607968705744
Moved to 1158, 553 at time 1607968705791
Moved to 1159, 554 at time 1607968705836
Moved to 1160, 555 at time 1607968705878
Moved to 1161, 556 at time 1607968705942
Moved to 1162, 557 at time 1607968705998
Moved to 1163, 558 at time 1607968706033
Moved to 1164, 559 at time 1607968706111
Moved to 1165, 560 at time 1607968706177
Moved to 1166, 561 at time 1607968706214
Moved to 1167, 562 at time 1607968706263
Moved to 1168, 563 at time 1607968706307
Moved to 1169, 564 at time 1607968706358
Moved to 1170, 565 at time 1607968706431
Moved to 1171, 566 at time 1607968706490
Moved to 1172, 567 at time 1607968706554
Moved to 1173, 568 at time 1607968706610
Moved to 1174, 569 at time 1607968706644
Moved to 1175, 570 at time 1607968706743
Moved to 1176, 571 at time 1607968706814
Moved to 1177, 572 at time 1607968706907
Moved to 1178, 573 at time 1607968706940
Moved to 1179, 574 at time 1607968706995
Moved to 1180, 575 at time 1607968707031
Moved to 1181, 576 at time 1607968707091
Moved to 1182, 577 at time 1607968707135
Moved to 1183, 578 at time 1607968707224
Moved to 1184, 579 at time 1607968707314
Moved to 1185, 580 at time 1607968707392
Moved to 1186, 581 at time 1607968707473
Moved to 1187, 582 at time 1607968707542
Moved to 1188, 583 at time 1607968707618
Moved to 1189, 584 at time 1607968707684
Moved to 1190, 585 at time 1607968707726
Moved to 1191, 586 at time 1607968707791
Moved to 1192, 587 at time 1607968707867
Moved to 1193, 588 at time 1607968707902
Moved to 1194, 589 at time 1607968707963
Moved to 1195, 590 at time 1607968708001
Moved to 1196, 591 at time 1607968708068
Moved to 1197, 592 at time 1607968708143
Moved to 1198, 593 at time 1607968708247
Moved to 1199, 594 at time 1607968708305
Moved to 1200, 595 at time 1607968708385
Moved to 1201, 596 at time 1607968708438
Moved to 1202, 597 at time 1607968708519
Moved to 1203, 598 at time 1607968708574
Moved to 1204, 599 at time 1607968708662
Moved to 1205, 600 at time 1607968708748
Moved to 1204, 599 at time 1607968708854
Moved to 1203, 598 at time 1607968708901
Moved to 1202, 597 at time 1607968708981
Moved to 1201, 596 at time 1607968709027
Moved to 1200, 595 at time 1607968709108
Moved to 1199, 594 at time 1607968709169
Moved to 1198, 593 at time 1607968709230
Moved to 1197, 592 at time 1607968709293
Moved to 1196, 591 at time 1607968709327
Moved to 1195, 590 at time 1607968709395
Moved to 1194, 589 at time 1607968709445
Moved to 1193, 588 at time 1607968709512
Moved to 1192, 587 at time 1607968709583
Moved to 1191, 586 at time 1607968709628
Moved to 1190, 585 at time 1607968709664
Moved to 1189, 584 at time 1607968709873
Moved to 1188, 583 at time 1607968710095
Moved to 1187, 582 at time 1607968710347
Moved to 1186, 581 at time 1607968710599
Moved to 1185, 580 at time 1607968710860
Moved to 1184, 579 at time 1607968711093
Moved to 1183, 578 at time 1607968711367
Moved to 1182, 577 at time 1607968711609
Moved to 1181, 576 at time 1607968711769
Moved to 1180, 575 at time 1607968711806
Moved to 1179, 574 at time 1607968711884
Moved to 1178, 573 at time 1607968712049
Moved to 1177, 572 at time 1607968712201
Moved to 1176, 571 at time 1607968712236
Moved to 1175, 570 at time 1607968712337
Moved to 1174, 569 at time 1607968712410
Moved to 1173, 568 at time 1607968712499
Moved to 1172, 567 at time 1607968712576
Moved to 1171, 566 at time 1607968712671
Moved to 1170, 565 at time 1607968712748
Moved to 1169, 564 at time 1607968712828
Moved to 1168, 563 at time 1607968712921
Moved to 1167, 562 at time 1607968712996
Moved to 1166, 561 at time 1607968713121
Moved to 1165, 560 at time 1607968713228
Moved to 1164, 559 at time 1607968713358
Moved to 1163, 558 at time 1607968713393
Moved to 1162, 557 at time 1607968713429
Moved to 1161, 556 at time 1607968713629
Moved to 1160, 555 at time 1607968713676
Moved to 1159, 554 at time 1607968713903
Moved to 1158, 553 at time 1607968713944
Moved to 1157, 552 at time 1607968714125
Moved to 1156, 551 at time 1607968714172
Moved to 1155, 550 at time 1607968714358
Moved to 1154, 549 at time 1607968714411
Moved to 1153, 548 at time 1607968714589
Moved to 1152, 547 at time 1607968714870
Moved to 1151, 546 at time 1607968715056
Moved to 1150, 545 at time 1607968715097
Moved to 1149, 544 at time 1607968715139
