Attacked Unit@aee39bbat position 1552, 411 at time 1607967053425
Got attacked at 1665, 569 by Unit@7fd22736 at time 1607967053429
Got attacked at 1665, 569 by Unit@38ec0804 at time 1607967053497
Got attacked at 1665, 569 by Unit@61cf749d at time 1607967053498
Got attacked at 1665, 569 by Unit@27e8bfab at time 1607967053498
Got attacked at 1665, 569 by Unit@43da1053 at time 1607967053501
Got attacked at 1665, 569 by Unit@13dd7190 at time 1607967053505
Got attacked at 1665, 569 by Unit@28c4d5f3 at time 1607967053506
Got attacked at 1665, 569 by Unit@2012e7bf at time 1607967053506
Got attacked at 1665, 569 by Unit@5c0a5981 at time 1607967053538
Got attacked at 1665, 569 by Unit@17c3616c at time 1607967053539
Got attacked at 1665, 569 by Unit@7c35aaaa at time 1607967053560
Got attacked at 1665, 569 by Unit@965adc7 at time 1607967053579
Got attacked at 1665, 569 by Unit@31864e63 at time 1607967053579
Got attacked at 1665, 569 by Unit@aee39bb at time 1607967053606
Moved to 2800, 1206 at time 1607969409503
Moved to 2799, 1205 at time 1607969409545
Moved to 2798, 1204 at time 1607969409609
Moved to 2797, 1203 at time 1607969409644
Moved to 2796, 1202 at time 1607969409681
Moved to 2795, 1201 at time 1607969409760
Moved to 2794, 1200 at time 1607969409837
Moved to 2793, 1199 at time 1607969409871
Moved to 2792, 1198 at time 1607969409954
Moved to 2791, 1197 at time 1607969410011
Moved to 2790, 1196 at time 1607969410071
Moved to 2789, 1195 at time 1607969410111
Moved to 2788, 1194 at time 1607969410175
Moved to 2787, 1193 at time 1607969410231
Moved to 2786, 1192 at time 1607969410275
Moved to 2785, 1191 at time 1607969410354
Moved to 2784, 1190 at time 1607969410405
Moved to 2783, 1189 at time 1607969410463
Moved to 2782, 1188 at time 1607969410516
Moved to 2781, 1187 at time 1607969410562
Moved to 2780, 1186 at time 1607969410619
Moved to 2779, 1185 at time 1607969410703
Moved to 2778, 1184 at time 1607969410737
Moved to 2777, 1183 at time 1607969410778
Moved to 2776, 1182 at time 1607969410838
Moved to 2775, 1181 at time 1607969410884
Moved to 2774, 1180 at time 1607969410918
Moved to 2773, 1179 at time 1607969411023
Moved to 2772, 1178 at time 1607969411125
Moved to 2771, 1177 at time 1607969411203
Moved to 2770, 1176 at time 1607969411239
Moved to 2769, 1175 at time 1607969411308
Moved to 2768, 1174 at time 1607969411342
Moved to 2767, 1173 at time 1607969411453
Moved to 2766, 1172 at time 1607969411556
Moved to 2765, 1171 at time 1607969411713
Moved to 2764, 1170 at time 1607969411747
Moved to 2763, 1169 at time 1607969411805
Moved to 2762, 1168 at time 1607969411893
Moved to 2761, 1167 at time 1607969411928
Moved to 2760, 1166 at time 1607969412030
Moved to 2759, 1165 at time 1607969412202
Moved to 2758, 1164 at time 1607969412386
Moved to 2757, 1163 at time 1607969412537
Moved to 2756, 1162 at time 1607969412714
Moved to 2755, 1161 at time 1607969412854
Moved to 2754, 1160 at time 1607969413049
Moved to 2753, 1159 at time 1607969413250
Moved to 2752, 1158 at time 1607969413318
Moved to 2751, 1157 at time 1607969413502
Moved to 2750, 1156 at time 1607969413611
Moved to 2749, 1155 at time 1607969413680
Moved to 2748, 1154 at time 1607969413803
Moved to 2747, 1153 at time 1607969413881
Moved to 2746, 1152 at time 1607969413949
Moved to 2745, 1151 at time 1607969414015
Moved to 2744, 1150 at time 1607969414078
Moved to 2743, 1149 at time 1607969414126
Moved to 2742, 1148 at time 1607969414184
Moved to 2741, 1147 at time 1607969414239
Moved to 2740, 1146 at time 1607969414328
Moved to 2739, 1145 at time 1607969414388
Moved to 2738, 1144 at time 1607969414515
Moved to 2737, 1143 at time 1607969414683
Moved to 2736, 1142 at time 1607969414859
Moved to 2735, 1141 at time 1607969414957
Moved to 2734, 1140 at time 1607969415137
Moved to 2733, 1139 at time 1607969415171
Moved to 2732, 1138 at time 1607969415309
Moved to 2731, 1137 at time 1607969415485
Moved to 2730, 1136 at time 1607969415685
Moved to 2729, 1135 at time 1607969415821
Moved to 2728, 1134 at time 1607969415909
Moved to 2727, 1133 at time 1607969415942
Moved to 2726, 1132 at time 1607969416244
Moved to 2725, 1131 at time 1607969416279
Moved to 2724, 1130 at time 1607969416481
Moved to 2723, 1129 at time 1607969416530
Moved to 2722, 1128 at time 1607969416702
Moved to 2721, 1127 at time 1607969416746
Moved to 2720, 1126 at time 1607969416908
