Attacked Unit@44f7debfat position 1665, 569 at time 1607967053579
Attacked Unit@766087ddat position 1543, 583 at time 1607967097440
Moved to 1518, 359 at time 1607967097731
Moved to 1519, 360 at time 1607967097957
Moved to 1520, 361 at time 1607967098120
Attacked Unit@5f96c7d4at position 1571, 630 at time 1607967099156
Moved to 1521, 362 at time 1607967099693
Moved to 1522, 363 at time 1607967099898
Moved to 1523, 364 at time 1607967100129
Moved to 1524, 365 at time 1607967100231
Moved to 1525, 366 at time 1607967100589
Moved to 1526, 367 at time 1607967100694
Moved to 1527, 368 at time 1607967101405
Moved to 1528, 369 at time 1607967101732
Moved to 1529, 370 at time 1607967101827
Moved to 1530, 371 at time 1607967101879
Moved to 1531, 372 at time 1607967101963
Moved to 1532, 373 at time 1607967102056
Moved to 1533, 374 at time 1607967102158
Moved to 1534, 375 at time 1607967102206
Moved to 1535, 376 at time 1607967102384
Moved to 1536, 377 at time 1607967102507
Moved to 1537, 378 at time 1607967102719
Moved to 1538, 379 at time 1607967102906
Moved to 1539, 380 at time 1607967103214
Moved to 1540, 381 at time 1607967103275
Moved to 1541, 382 at time 1607967103410
Moved to 1542, 383 at time 1607967103450
Moved to 1543, 384 at time 1607967103484
Moved to 1544, 385 at time 1607967103523
Moved to 1545, 386 at time 1607967103627
Moved to 1546, 387 at time 1607967103672
Moved to 1547, 388 at time 1607967103796
Moved to 1548, 389 at time 1607967103831
Moved to 1549, 390 at time 1607967103916
Moved to 1550, 391 at time 1607967103951
Moved to 1551, 392 at time 1607967104164
Moved to 1552, 393 at time 1607967104564
Moved to 1553, 394 at time 1607967105009
Moved to 1554, 395 at time 1607967105564
Moved to 1555, 396 at time 1607967105700
Moved to 1556, 397 at time 1607967106046
Moved to 1557, 398 at time 1607967106465
Moved to 1558, 399 at time 1607967106796
Moved to 1559, 400 at time 1607967106833
Moved to 1560, 401 at time 1607967107184
Moved to 1561, 402 at time 1607967107460
Moved to 1562, 403 at time 1607967107656
Moved to 1563, 404 at time 1607967107747
Moved to 1564, 405 at time 1607967107790
Moved to 1565, 406 at time 1607967107912
Moved to 1566, 407 at time 1607967107948
Moved to 1567, 408 at time 1607967108043
Moved to 1568, 409 at time 1607967108077
Moved to 1569, 410 at time 1607967108149
Moved to 1570, 411 at time 1607967108206
Moved to 1571, 412 at time 1607967108367
Moved to 1572, 413 at time 1607967108463
Moved to 1573, 414 at time 1607967108612
Moved to 1574, 415 at time 1607967108833
Moved to 1575, 416 at time 1607967108899
Moved to 1576, 417 at time 1607967109241
Moved to 1577, 418 at time 1607967109310
Moved to 1578, 419 at time 1607967109649
Moved to 1579, 420 at time 1607967109684
Moved to 1584, 421 at time 1607967111137
Moved to 1586, 422 at time 1607967111544
Moved to 1588, 423 at time 1607967111912
Moved to 1589, 424 at time 1607967112150
Moved to 1590, 425 at time 1607967112410
Moved to 1591, 427 at time 1607967112761
Moved to 1592, 429 at time 1607967113176
Moved to 1591, 436 at time 1607967115907
Moved to 1590, 437 at time 1607967116161
Moved to 1589, 438 at time 1607967116555
Moved to 1588, 439 at time 1607967116891
Moved to 1587, 440 at time 1607967117042
Moved to 1579, 439 at time 1607967118718
Moved to 1578, 438 at time 1607967119049
Moved to 1577, 437 at time 1607967119418
Moved to 1576, 436 at time 1607967119712
Moved to 1575, 435 at time 1607967119797
Moved to 1574, 434 at time 1607967119925
Moved to 1573, 433 at time 1607967119959
Moved to 1572, 432 at time 1607967120077
Moved to 1571, 431 at time 1607967120187
Moved to 1570, 430 at time 1607967120268
Moved to 1569, 429 at time 1607967120390
Moved to 1568, 428 at time 1607967120490
Moved to 1567, 427 at time 1607967120613
Moved to 1566, 426 at time 1607967120679
Moved to 1565, 425 at time 1607967120811
Moved to 1564, 424 at time 1607967120899
Moved to 1563, 423 at time 1607967121020
Moved to 1562, 422 at time 1607967121078
Moved to 1561, 421 at time 1607967121120
Moved to 1560, 420 at time 1607967121215
Moved to 1559, 419 at time 1607967121281
Moved to 1558, 418 at time 1607967121372
Moved to 1557, 417 at time 1607967121521
Moved to 1556, 416 at time 1607967121586
Moved to 1555, 415 at time 1607967121708
Moved to 1554, 414 at time 1607967121767
Moved to 1553, 413 at time 1607967121885
Moved to 1552, 412 at time 1607967121937
Moved to 1551, 411 at time 1607967122041
Moved to 1550, 410 at time 1607967122098
Moved to 1549, 409 at time 1607967122137
Moved to 1548, 408 at time 1607967122187
Moved to 1547, 407 at time 1607967122273
Moved to 1546, 406 at time 1607967122338
Moved to 1545, 405 at time 1607967122433
Moved to 1544, 404 at time 1607967122483
Moved to 1543, 403 at time 1607967122587
Moved to 1542, 402 at time 1607967122648
Moved to 1541, 401 at time 1607967122736
Moved to 1540, 400 at time 1607967122790
Moved to 1539, 399 at time 1607967122894
Moved to 1538, 398 at time 1607967122955
Moved to 1537, 397 at time 1607967123187
Moved to 1536, 396 at time 1607967123535
Moved to 1535, 395 at time 1607967123880
Moved to 1534, 394 at time 1607967124237
Moved to 1533, 393 at time 1607967124370
