Attacked Unit@213766beat position 935, 890 at time 1607972168653
Moved to 962, 860 at time 1607972168706
Moved to 961, 861 at time 1607972185715
Moved to 960, 862 at time 1607972185766
Moved to 959, 863 at time 1607972185817
Moved to 958, 864 at time 1607972185868
Moved to 957, 865 at time 1607972185921
Moved to 956, 866 at time 1607972185972
Moved to 955, 867 at time 1607972186026
Moved to 954, 868 at time 1607972186080
Moved to 953, 869 at time 1607972186132
Moved to 952, 870 at time 1607972186184
Moved to 951, 871 at time 1607972186236
Moved to 950, 872 at time 1607972186289
Moved to 949, 873 at time 1607972186342
Moved to 948, 874 at time 1607972186393
Moved to 947, 875 at time 1607972186494
Moved to 946, 876 at time 1607972186545
Moved to 945, 877 at time 1607972186596
Moved to 944, 878 at time 1607972186648
Moved to 943, 879 at time 1607972186699
Moved to 942, 880 at time 1607972186800
Moved to 941, 881 at time 1607972186852
Moved to 940, 882 at time 1607972186903
Moved to 939, 883 at time 1607972186954
Moved to 938, 884 at time 1607972187006
Moved to 937, 885 at time 1607972187057
Moved to 936, 886 at time 1607972187108
Moved to 935, 887 at time 1607972187159
Moved to 934, 888 at time 1607972187210
Moved to 933, 889 at time 1607972187262
Moved to 932, 890 at time 1607972187363
Moved to 931, 891 at time 1607972187414
Moved to 930, 892 at time 1607972187465
Moved to 929, 893 at time 1607972187566
Moved to 928, 894 at time 1607972187617
Moved to 927, 895 at time 1607972187668
Moved to 926, 896 at time 1607972187719
Moved to 925, 897 at time 1607972187770
Moved to 924, 898 at time 1607972187821
Moved to 923, 899 at time 1607972187873
Moved to 922, 900 at time 1607972187924
Moved to 921, 901 at time 1607972187975
Moved to 920, 902 at time 1607972188029
Moved to 919, 903 at time 1607972188080
Moved to 918, 904 at time 1607972188131
Moved to 917, 905 at time 1607972188182
Moved to 916, 906 at time 1607972188233
Moved to 915, 907 at time 1607972188285
Moved to 914, 908 at time 1607972188337
Moved to 913, 909 at time 1607972188390
Moved to 912, 910 at time 1607972188442
Moved to 911, 911 at time 1607972188543
Moved to 910, 912 at time 1607972188594
Moved to 909, 913 at time 1607972188645
Moved to 908, 914 at time 1607972188696
Moved to 907, 915 at time 1607972188749
Got attacked at 907, 915 by Unit@6067060f at time 1607972188784
Moved to 906, 916 at time 1607972188801
Moved to 905, 917 at time 1607972188853
Moved to 904, 916 at time 1607972188904
Moved to 903, 917 at time 1607972188956
Got attacked at 903, 917 by Unit@5b571a87 at time 1607972188978
Moved to 902, 918 at time 1607972189007
Moved to 901, 919 at time 1607972189058
Moved to 900, 920 at time 1607972189110
Moved to 899, 921 at time 1607972189161
Got attacked at 899, 921 by Unit@3410e711 at time 1607972189229
Moved to 898, 922 at time 1607972189262
Moved to 897, 923 at time 1607972189313
Got attacked at 897, 923 by Unit@7399b729 at time 1607972189329
Got attacked at 897, 923 by Unit@47ab2616 at time 1607972189346
Moved to 896, 924 at time 1607972189365
Moved to 895, 925 at time 1607972189416
Moved to 894, 924 at time 1607972189517
Got attacked at 894, 924 by Unit@45ac46da at time 1607972189584
Moved to 893, 925 at time 1607972189619
Moved to 892, 926 at time 1607972189670
Moved to 891, 927 at time 1607972189721
Got attacked at 891, 927 by Unit@4003a1c at time 1607972189726
Moved to 890, 928 at time 1607972189772
Died at 890, 928 at time 1607972189773
