Moved to 745, 1048 at time 1607970313900
Moved to 744, 1047 at time 1607970313937
Moved to 743, 1046 at time 1607970313983
Moved to 742, 1047 at time 1607970314018
Attacked Unit@59b95789at position 473, 1249 at time 1607970314052
Attacked Unit@59b95789at position 473, 1249 at time 1607970315724
Moved to 741, 1050 at time 1607970317001
Moved to 740, 1051 at time 1607970317036
Moved to 739, 1052 at time 1607970317070
Moved to 738, 1053 at time 1607970317105
Moved to 737, 1054 at time 1607970317141
Moved to 736, 1055 at time 1607970317176
Moved to 735, 1054 at time 1607970317211
Moved to 734, 1055 at time 1607970317249
Moved to 733, 1054 at time 1607970317283
Moved to 732, 1055 at time 1607970317320
Moved to 731, 1054 at time 1607970317358
Moved to 730, 1055 at time 1607970317391
Moved to 729, 1056 at time 1607970317427
Moved to 728, 1057 at time 1607970317461
Moved to 727, 1058 at time 1607970317497
Moved to 726, 1059 at time 1607970317532
Attacked Unit@7ad5d45aat position 457, 1221 at time 1607970317567
Moved to 725, 1060 at time 1607970319115
Moved to 724, 1059 at time 1607970319149
Moved to 723, 1058 at time 1607970319185
Moved to 722, 1057 at time 1607970319221
Moved to 721, 1056 at time 1607970319255
Moved to 720, 1057 at time 1607970319292
Moved to 719, 1058 at time 1607970319326
Moved to 718, 1057 at time 1607970319362
Moved to 717, 1058 at time 1607970319397
Moved to 716, 1059 at time 1607970319431
Moved to 715, 1060 at time 1607970319468
Moved to 714, 1059 at time 1607970319506
Moved to 713, 1060 at time 1607970319542
Moved to 712, 1059 at time 1607970319578
Moved to 711, 1060 at time 1607970319613
Moved to 710, 1061 at time 1607970319650
Moved to 709, 1062 at time 1607970319686
Moved to 708, 1063 at time 1607970319722
Moved to 706, 1062 at time 1607970319792
Moved to 705, 1063 at time 1607970319828
Moved to 704, 1062 at time 1607970319864
Moved to 703, 1063 at time 1607970319900
Moved to 701, 1062 at time 1607970319970
Moved to 700, 1063 at time 1607970320005
Moved to 698, 1062 at time 1607970320107
Moved to 697, 1063 at time 1607970320141
Moved to 696, 1064 at time 1607970320175
Moved to 695, 1063 at time 1607970320209
Moved to 694, 1062 at time 1607970320243
Moved to 692, 1063 at time 1607970320313
Moved to 691, 1064 at time 1607970320348
Moved to 690, 1065 at time 1607970320383
Moved to 689, 1066 at time 1607970320417
Moved to 688, 1067 at time 1607970320451
Moved to 687, 1068 at time 1607970320485
Moved to 677, 1069 at time 1607970320863
