Moved to 1454, 4818 at time 1607969349806
Moved to 1453, 4817 at time 1607969394731
Moved to 1452, 4816 at time 1607969394882
Moved to 1451, 4815 at time 1607969394940
Moved to 1450, 4814 at time 1607969395047
Moved to 1449, 4813 at time 1607969395122
Moved to 1448, 4812 at time 1607969395172
Moved to 1447, 4811 at time 1607969395373
Moved to 1446, 4810 at time 1607969395464
Moved to 1445, 4809 at time 1607969395676
Moved to 1444, 4808 at time 1607969395728
Moved to 1443, 4807 at time 1607969395999
Moved to 1442, 4806 at time 1607969396133
Moved to 1441, 4805 at time 1607969396448
Moved to 1440, 4804 at time 1607969396635
Moved to 1439, 4803 at time 1607969396839
Moved to 1438, 4802 at time 1607969396987
Moved to 1437, 4801 at time 1607969397048
Moved to 1436, 4800 at time 1607969397086
Moved to 1435, 4799 at time 1607969397180
Moved to 1434, 4798 at time 1607969397334
Moved to 1433, 4797 at time 1607969397564
Moved to 1432, 4796 at time 1607969397637
Moved to 1431, 4795 at time 1607969397921
Moved to 1430, 4794 at time 1607969397956
Moved to 1429, 4793 at time 1607969398089
Moved to 1428, 4792 at time 1607969398205
Moved to 1427, 4791 at time 1607969398423
Moved to 1426, 4790 at time 1607969398496
Moved to 1425, 4789 at time 1607969398649
Moved to 1424, 4788 at time 1607969398807
Moved to 1423, 4787 at time 1607969399069
Moved to 1422, 4786 at time 1607969399105
Moved to 1421, 4785 at time 1607969399176
Moved to 1420, 4784 at time 1607969399215
Moved to 1419, 4783 at time 1607969399308
Moved to 1418, 4782 at time 1607969399351
Moved to 1417, 4781 at time 1607969399464
Moved to 1416, 4780 at time 1607969399520
Moved to 1415, 4779 at time 1607969399596
Moved to 1414, 4778 at time 1607969399646
Moved to 1413, 4777 at time 1607969399722
Moved to 1412, 4776 at time 1607969399791
Moved to 1411, 4775 at time 1607969399894
Moved to 1410, 4774 at time 1607969400048
Moved to 1409, 4773 at time 1607969400236
Moved to 1408, 4772 at time 1607969400293
Moved to 1407, 4771 at time 1607969400390
Moved to 1406, 4770 at time 1607969400445
Moved to 1405, 4769 at time 1607969400507
Moved to 1404, 4768 at time 1607969400573
Moved to 1403, 4767 at time 1607969400666
Moved to 1402, 4766 at time 1607969400706
Moved to 1401, 4765 at time 1607969400778
Moved to 1400, 4764 at time 1607969400822
Moved to 1399, 4763 at time 1607969400921
Moved to 1398, 4762 at time 1607969400955
Moved to 1397, 4761 at time 1607969401125
Moved to 1396, 4760 at time 1607969401160
Moved to 1395, 4759 at time 1607969401514
Moved to 1394, 4758 at time 1607969401570
Moved to 1393, 4757 at time 1607969401788
Moved to 1392, 4756 at time 1607969401842
Moved to 1391, 4755 at time 1607969402133
Moved to 1390, 4754 at time 1607969402289
Moved to 1389, 4753 at time 1607969402617
Moved to 1388, 4752 at time 1607969402706
Moved to 1387, 4751 at time 1607969402892
Moved to 1386, 4750 at time 1607969402987
Moved to 1385, 4749 at time 1607969403156
Moved to 1384, 4748 at time 1607969403250
Moved to 1383, 4747 at time 1607969403465
Moved to 1382, 4746 at time 1607969403724
Moved to 1381, 4745 at time 1607969403891
Moved to 1380, 4744 at time 1607969403965
Moved to 1379, 4743 at time 1607969404173
Moved to 1378, 4742 at time 1607969404494
Moved to 1377, 4741 at time 1607969404667
Moved to 1376, 4740 at time 1607969404847
Moved to 1375, 4739 at time 1607969405025
Moved to 1374, 4738 at time 1607969405216
Moved to 1373, 4737 at time 1607969405346
Moved to 1372, 4736 at time 1607969405389
Moved to 1371, 4735 at time 1607969405491
Moved to 1370, 4734 at time 1607969405568
Moved to 1369, 4733 at time 1607969405619
Moved to 1368, 4732 at time 1607969405702
Moved to 1367, 4731 at time 1607969405902
Moved to 1366, 4730 at time 1607969406059
Moved to 1365, 4729 at time 1607969406106
Moved to 1364, 4728 at time 1607969406171
Moved to 1363, 4727 at time 1607969406222
Moved to 1362, 4726 at time 1607969406285
Moved to 1361, 4725 at time 1607969406357
Moved to 1360, 4724 at time 1607969406425
Moved to 1359, 4723 at time 1607969406489
Moved to 1358, 4722 at time 1607969406546
Moved to 1357, 4721 at time 1607969406605
Moved to 1356, 4720 at time 1607969406670
Moved to 1355, 4719 at time 1607969406792
Moved to 1354, 4718 at time 1607969406950
Moved to 1353, 4717 at time 1607969407106
Moved to 1352, 4716 at time 1607969407336
Moved to 1351, 4715 at time 1607969407486
Moved to 1350, 4714 at time 1607969407661
Moved to 1349, 4713 at time 1607969407823
Moved to 1348, 4712 at time 1607969407908
Moved to 1347, 4711 at time 1607969407947
Moved to 1346, 4710 at time 1607969408013
Moved to 1345, 4709 at time 1607969408048
Moved to 1344, 4708 at time 1607969408107
Moved to 1343, 4707 at time 1607969408171
Moved to 1342, 4706 at time 1607969408225
Moved to 1341, 4705 at time 1607969408271
Moved to 1340, 4704 at time 1607969408337
Moved to 1339, 4703 at time 1607969408384
Moved to 1338, 4702 at time 1607969408560
Moved to 1337, 4701 at time 1607969408649
Moved to 1336, 4700 at time 1607969408815
Moved to 1335, 4699 at time 1607969408866
Moved to 1334, 4698 at time 1607969408904
Moved to 1333, 4697 at time 1607969408989
Moved to 1332, 4696 at time 1607969409037
Moved to 1331, 4695 at time 1607969409094
Moved to 1330, 4694 at time 1607969409132
Moved to 1329, 4693 at time 1607969409198
Moved to 1328, 4692 at time 1607969409283
Moved to 1327, 4691 at time 1607969409331
Moved to 1326, 4690 at time 1607969409411
Moved to 1325, 4689 at time 1607969409445
Moved to 1324, 4688 at time 1607969409492
Moved to 1323, 4687 at time 1607969409558
Moved to 1322, 4686 at time 1607969409595
Moved to 1321, 4685 at time 1607969409669
Moved to 1320, 4684 at time 1607969409727
Moved to 1319, 4683 at time 1607969409812
Moved to 1318, 4682 at time 1607969409891
Moved to 1317, 4681 at time 1607969409953
Moved to 1316, 4680 at time 1607969410010
Moved to 1315, 4679 at time 1607969410070
Moved to 1314, 4678 at time 1607969410112
Moved to 1313, 4677 at time 1607969410148
Moved to 1312, 4676 at time 1607969410239
Moved to 1311, 4675 at time 1607969410326
Moved to 1310, 4674 at time 1607969410387
Moved to 1309, 4673 at time 1607969410432
Moved to 1308, 4672 at time 1607969410493
Moved to 1307, 4671 at time 1607969410538
Moved to 1306, 4670 at time 1607969410593
Moved to 1305, 4669 at time 1607969410627
Moved to 1304, 4668 at time 1607969410690
Moved to 1303, 4667 at time 1607969410775
Moved to 1302, 4666 at time 1607969410844
Moved to 1301, 4665 at time 1607969410930
Moved to 1300, 4664 at time 1607969411012
Moved to 1299, 4663 at time 1607969411062
Moved to 1298, 4662 at time 1607969411103
Moved to 1297, 4661 at time 1607969411168
Moved to 1296, 4660 at time 1607969411219
Moved to 1295, 4659 at time 1607969411279
Moved to 1294, 4658 at time 1607969411316
Moved to 1293, 4657 at time 1607969411350
Moved to 1292, 4656 at time 1607969411419
Moved to 1291, 4655 at time 1607969411453
Moved to 1290, 4654 at time 1607969411558
Moved to 1289, 4653 at time 1607969411602
Moved to 1288, 4652 at time 1607969411698
Moved to 1287, 4651 at time 1607969411753
Moved to 1286, 4650 at time 1607969411798
Moved to 1285, 4649 at time 1607969411897
Moved to 1284, 4648 at time 1607969411977
Moved to 1283, 4647 at time 1607969412088
Moved to 1282, 4646 at time 1607969412130
Moved to 1281, 4645 at time 1607969412263
Moved to 1280, 4644 at time 1607969412322
Moved to 1279, 4643 at time 1607969412439
Moved to 1278, 4642 at time 1607969412488
Moved to 1277, 4641 at time 1607969412603
Moved to 1276, 4640 at time 1607969412645
Moved to 1275, 4639 at time 1607969412762
Moved to 1274, 4638 at time 1607969412796
Moved to 1273, 4637 at time 1607969412943
Moved to 1272, 4636 at time 1607969413148
Moved to 1271, 4635 at time 1607969413402
Moved to 1270, 4634 at time 1607969413575
Moved to 1269, 4633 at time 1607969413695
Moved to 1268, 4632 at time 1607969413785
Moved to 1267, 4631 at time 1607969413893
Moved to 1266, 4630 at time 1607969413939
Moved to 1265, 4629 at time 1607969414025
Moved to 1264, 4628 at time 1607969414070
Moved to 1263, 4627 at time 1607969414137
Moved to 1262, 4626 at time 1607969414172
Moved to 1261, 4625 at time 1607969414249
Moved to 1260, 4624 at time 1607969414308
Moved to 1259, 4623 at time 1607969414420
Moved to 1258, 4622 at time 1607969414490
Moved to 1257, 4621 at time 1607969414554
Moved to 1256, 4620 at time 1607969414621
