Attacked Unit@1521e873at position 21, 891 at time 1607967053778
Attacked Unit@b0db279at position 23, 844 at time 1607967097721
Attacked Unit@56aed972at position 23, 912 at time 1607967100348
Got attacked at 34, 1142 by Unit@70f05e4d at time 1607967102692
Got attacked at 34, 1142 by Unit@1521e873 at time 1607967102727
Got attacked at 34, 1142 by Unit@1f267062 at time 1607967102736
Got attacked at 34, 1142 by Unit@510aae4d at time 1607967102798
Attacked Unit@1f267062at position 41, 852 at time 1607967102920
Died at 34, 1142 at time 1607967102922
