Attacked Unit@ab88c1fat position 37, 945 at time 1607968070340
Attacked Unit@134d0df5at position 19, 838 at time 1607968143927
Attacked Unit@7738dac7at position 29, 838 at time 1607968146542
Attacked Unit@2a89c25dat position 44, 838 at time 1607968149261
Moved to 30, 1159 at time 1607968150065
Moved to 31, 1158 at time 1607968150213
Moved to 32, 1157 at time 1607968150424
Moved to 33, 1156 at time 1607968150546
Moved to 34, 1155 at time 1607968150719
Moved to 35, 1154 at time 1607968150823
Moved to 36, 1153 at time 1607968151056
Moved to 37, 1152 at time 1607968151360
Moved to 38, 1151 at time 1607968151723
Moved to 39, 1150 at time 1607968151986
Moved to 40, 1149 at time 1607968152240
Moved to 41, 1148 at time 1607968152490
Moved to 42, 1147 at time 1607968152742
Moved to 43, 1146 at time 1607968152971
Moved to 44, 1145 at time 1607968153236
Moved to 45, 1144 at time 1607968153484
Moved to 46, 1143 at time 1607968153818
Moved to 47, 1142 at time 1607968263904
Moved to 48, 1141 at time 1607968264152
Moved to 49, 1140 at time 1607968264384
Moved to 50, 1139 at time 1607968264552
Moved to 51, 1138 at time 1607968264657
Moved to 52, 1137 at time 1607968264957
Moved to 53, 1136 at time 1607968265103
Moved to 54, 1135 at time 1607968265435
Moved to 55, 1134 at time 1607968265713
Moved to 56, 1133 at time 1607968265848
Moved to 57, 1132 at time 1607968265968
Got attacked at 57, 1132 by Unit@2891f68a at time 1607968266236
Moved to 58, 1131 at time 1607968266290
Died at 58, 1131 at time 1607968266290
