Attacked Unit@7043bb2fat position 527, 1241 at time 1607970488546
Attacked Unit@7b77c473at position 504, 1233 at time 1607970554039
Attacked Unit@7b77c473at position 504, 1233 at time 1607970555706
Moved to 723, 1063 at time 1607970555781
Moved to 722, 1062 at time 1607970555823
Moved to 721, 1063 at time 1607970555858
Moved to 720, 1064 at time 1607970555897
Moved to 719, 1063 at time 1607970555932
Moved to 718, 1064 at time 1607970555967
Moved to 717, 1065 at time 1607970556006
Moved to 716, 1064 at time 1607970556041
Moved to 715, 1063 at time 1607970556076
Moved to 714, 1062 at time 1607970556134
Moved to 713, 1063 at time 1607970556173
Moved to 712, 1062 at time 1607970556207
Moved to 711, 1063 at time 1607970556241
Moved to 710, 1062 at time 1607970556280
Moved to 709, 1063 at time 1607970556314
Moved to 708, 1064 at time 1607970556352
Moved to 707, 1063 at time 1607970556391
Moved to 706, 1064 at time 1607970556459
Moved to 705, 1065 at time 1607970556495
Moved to 704, 1064 at time 1607970556540
Moved to 703, 1065 at time 1607970556635
Moved to 702, 1066 at time 1607970556672
Moved to 701, 1065 at time 1607970556706
Moved to 700, 1066 at time 1607970556773
Moved to 699, 1067 at time 1607970556808
Moved to 698, 1068 at time 1607970556852
Moved to 697, 1069 at time 1607970556891
Moved to 696, 1070 at time 1607970556932
Moved to 695, 1071 at time 1607970556969
Moved to 694, 1072 at time 1607970557007
Moved to 693, 1071 at time 1607970557043
Moved to 692, 1072 at time 1607970557078
Moved to 691, 1073 at time 1607970557115
Moved to 690, 1074 at time 1607970557151
Moved to 689, 1075 at time 1607970557186
Moved to 688, 1076 at time 1607970557223
Moved to 687, 1075 at time 1607970557266
Moved to 686, 1076 at time 1607970557307
Moved to 685, 1075 at time 1607970557348
Moved to 684, 1076 at time 1607970557384
Moved to 683, 1075 at time 1607970557423
Moved to 682, 1076 at time 1607970557465
Moved to 681, 1077 at time 1607970557506
Moved to 680, 1078 at time 1607970557548
Moved to 679, 1079 at time 1607970557587
Moved to 678, 1080 at time 1607970557628
Moved to 677, 1081 at time 1607970557677
Moved to 676, 1080 at time 1607970557714
Moved to 675, 1081 at time 1607970557753
Moved to 674, 1082 at time 1607970557790
Moved to 673, 1083 at time 1607970557828
Moved to 672, 1084 at time 1607970557869
Moved to 671, 1085 at time 1607970557909
Moved to 670, 1086 at time 1607970557948
Moved to 669, 1085 at time 1607970557983
Moved to 668, 1086 at time 1607970558024
Moved to 667, 1087 at time 1607970558061
Moved to 666, 1088 at time 1607970558100
Moved to 665, 1089 at time 1607970558136
Moved to 664, 1090 at time 1607970558174
Moved to 663, 1091 at time 1607970558210
Moved to 662, 1090 at time 1607970558245
Moved to 661, 1091 at time 1607970558280
Moved to 660, 1092 at time 1607970558314
Moved to 659, 1093 at time 1607970558349
Moved to 658, 1094 at time 1607970558383
Moved to 657, 1095 at time 1607970558420
Moved to 656, 1096 at time 1607970558459
Moved to 655, 1095 at time 1607970558496
Moved to 654, 1096 at time 1607970558534
Moved to 653, 1095 at time 1607970558571
Moved to 652, 1094 at time 1607970558608
Moved to 651, 1095 at time 1607970558643
Moved to 650, 1096 at time 1607970558680
Moved to 649, 1095 at time 1607970558716
Moved to 648, 1096 at time 1607970558754
Moved to 647, 1095 at time 1607970558791
Moved to 646, 1094 at time 1607970558826
Moved to 645, 1093 at time 1607970558864
Moved to 644, 1092 at time 1607970558899
Moved to 643, 1093 at time 1607970558933
Moved to 642, 1092 at time 1607970558971
Moved to 641, 1093 at time 1607970559007
Moved to 638, 1094 at time 1607970559117
Moved to 636, 1095 at time 1607970559242
Moved to 635, 1096 at time 1607970559280
Moved to 634, 1095 at time 1607970559315
Moved to 633, 1096 at time 1607970559350
Moved to 631, 1097 at time 1607970559426
Moved to 630, 1098 at time 1607970559463
Moved to 629, 1097 at time 1607970559499
Moved to 628, 1098 at time 1607970559535
Moved to 627, 1099 at time 1607970559578
Moved to 625, 1098 at time 1607970559649
Moved to 622, 1099 at time 1607970559760
Moved to 621, 1100 at time 1607970559796
Moved to 620, 1101 at time 1607970559833
Moved to 619, 1100 at time 1607970559868
