Moved to 329, 978 at time 1607969349694
Moved to 328, 977 at time 1607969349870
Moved to 327, 976 at time 1607969394710
Moved to 326, 975 at time 1607969394723
Moved to 325, 974 at time 1607969394804
Moved to 324, 973 at time 1607969394845
Moved to 323, 972 at time 1607969394915
Moved to 322, 971 at time 1607969394930
Moved to 321, 970 at time 1607969394999
Moved to 320, 969 at time 1607969395013
Moved to 319, 968 at time 1607969395096
Moved to 318, 967 at time 1607969395293
Moved to 317, 966 at time 1607969395572
Moved to 316, 965 at time 1607969395615
Moved to 315, 964 at time 1607969395759
Moved to 314, 963 at time 1607969395809
Moved to 313, 962 at time 1607969396012
Moved to 312, 961 at time 1607969396147
Moved to 311, 960 at time 1607969396353
Moved to 310, 959 at time 1607969396421
Moved to 309, 958 at time 1607969396755
Moved to 308, 957 at time 1607969396923
Moved to 307, 956 at time 1607969396934
Moved to 306, 955 at time 1607969397027
Moved to 305, 954 at time 1607969397039
Moved to 304, 953 at time 1607969397131
Moved to 303, 952 at time 1607969397157
Moved to 302, 951 at time 1607969397244
Moved to 301, 950 at time 1607969397284
Moved to 300, 949 at time 1607969397405
Moved to 299, 948 at time 1607969397466
Moved to 298, 947 at time 1607969397753
Moved to 297, 946 at time 1607969397825
Moved to 296, 945 at time 1607969398023
Moved to 295, 944 at time 1607969398054
Moved to 294, 943 at time 1607969398274
Moved to 293, 942 at time 1607969398364
Moved to 292, 941 at time 1607969398592
Moved to 291, 940 at time 1607969398622
Moved to 290, 939 at time 1607969398706
Moved to 289, 938 at time 1607969398735
Moved to 288, 937 at time 1607969398747
Moved to 287, 936 at time 1607969398892
Moved to 286, 935 at time 1607969399006
Moved to 285, 934 at time 1607969399121
Moved to 284, 933 at time 1607969399180
Moved to 283, 932 at time 1607969399225
Moved to 282, 931 at time 1607969399249
Moved to 281, 930 at time 1607969399294
Moved to 280, 929 at time 1607969399321
Moved to 279, 928 at time 1607969399366
Moved to 278, 927 at time 1607969399384
Moved to 277, 926 at time 1607969399442
Moved to 276, 925 at time 1607969399477
Moved to 275, 924 at time 1607969399527
Moved to 274, 923 at time 1607969399603
Moved to 273, 922 at time 1607969399678
Moved to 272, 921 at time 1607969399716
Moved to 271, 920 at time 1607969399742
Moved to 270, 919 at time 1607969399795
Moved to 269, 918 at time 1607969399824
Moved to 268, 917 at time 1607969399880
Moved to 267, 916 at time 1607969399891
Moved to 266, 915 at time 1607969399907
Moved to 265, 914 at time 1607969400069
Moved to 264, 913 at time 1607969400083
Moved to 263, 912 at time 1607969400241
Moved to 262, 911 at time 1607969400315
Moved to 261, 910 at time 1607969400392
Moved to 260, 909 at time 1607969400490
Moved to 259, 908 at time 1607969400604
Moved to 258, 907 at time 1607969400658
Moved to 257, 906 at time 1607969400670
Moved to 256, 905 at time 1607969400722
Moved to 255, 904 at time 1607969400784
Moved to 254, 903 at time 1607969400841
Moved to 253, 902 at time 1607969400923
Moved to 252, 901 at time 1607969401036
Moved to 251, 900 at time 1607969401274
Moved to 250, 899 at time 1607969401548
Moved to 249, 898 at time 1607969401826
Moved to 248, 897 at time 1607969402063
Moved to 247, 896 at time 1607969402360
Moved to 246, 895 at time 1607969402377
Moved to 245, 894 at time 1607969402664
Moved to 244, 893 at time 1607969402955
Moved to 243, 892 at time 1607969403174
Moved to 242, 891 at time 1607969403259
Moved to 241, 890 at time 1607969403473
Got attacked at 241, 890 by Unit@70934930 at time 1607969403701
Moved to 240, 889 at time 1607969403703
Moved to 239, 888 at time 1607969403939
Moved to 238, 887 at time 1607969404231
Moved to 237, 886 at time 1607969404507
Moved to 236, 885 at time 1607969404679
Moved to 235, 884 at time 1607969404858
Moved to 234, 883 at time 1607969405042
Moved to 233, 882 at time 1607969405206
Moved to 232, 881 at time 1607969405378
Moved to 231, 880 at time 1607969405510
Moved to 230, 879 at time 1607969405573
Moved to 229, 878 at time 1607969405584
Moved to 228, 877 at time 1607969405625
Moved to 227, 876 at time 1607969405648
Moved to 226, 875 at time 1607969405660
Moved to 225, 874 at time 1607969405671
Moved to 224, 873 at time 1607969405800
Moved to 223, 872 at time 1607969405835
Moved to 222, 871 at time 1607969405991
Moved to 221, 870 at time 1607969406024
Moved to 220, 869 at time 1607969406091
Got attacked at 220, 869 by Unit@70934930 at time 1607969406106
Moved to 219, 868 at time 1607969406151
Moved to 218, 867 at time 1607969406202
Moved to 217, 866 at time 1607969406269
Moved to 216, 865 at time 1607969406324
Moved to 215, 864 at time 1607969406344
Moved to 214, 863 at time 1607969406387
Moved to 213, 862 at time 1607969406420
Moved to 212, 861 at time 1607969406456
Moved to 211, 860 at time 1607969406482
Moved to 210, 859 at time 1607969406517
Moved to 209, 858 at time 1607969406543
Moved to 208, 857 at time 1607969406575
Moved to 207, 856 at time 1607969406600
Moved to 206, 855 at time 1607969406627
Moved to 205, 854 at time 1607969406665
Moved to 204, 853 at time 1607969406703
Moved to 203, 852 at time 1607969406776
Moved to 202, 851 at time 1607969406830
Moved to 201, 850 at time 1607969406935
Moved to 200, 849 at time 1607969406993
Moved to 199, 848 at time 1607969407087
Got attacked at 199, 848 by Unit@28dae869 at time 1607969407129
Moved to 198, 847 at time 1607969407170
Got attacked at 198, 847 by Unit@70934930 at time 1607969407219
Moved to 197, 846 at time 1607969407305
Moved to 196, 845 at time 1607969407466
Moved to 195, 844 at time 1607969407534
Moved to 194, 843 at time 1607969407639
Moved to 193, 842 at time 1607969407701
Moved to 192, 841 at time 1607969407805
Moved to 191, 840 at time 1607969407844
Moved to 190, 839 at time 1607969407909
Moved to 189, 838 at time 1607969407924
Got attacked at 189, 838 by Unit@2bdf1fe6 at time 1607969407938
Moved to 188, 837 at time 1607969407954
Moved to 187, 836 at time 1607969407977
Moved to 186, 835 at time 1607969408007
Moved to 185, 834 at time 1607969408028
Moved to 184, 833 at time 1607969408056
Moved to 183, 832 at time 1607969408075
Moved to 182, 831 at time 1607969408104
Moved to 181, 830 at time 1607969408130
Moved to 180, 829 at time 1607969408170
Moved to 179, 828 at time 1607969408199
Moved to 178, 827 at time 1607969408218
Moved to 177, 826 at time 1607969408247
Moved to 176, 825 at time 1607969408274
Moved to 175, 824 at time 1607969408299
Moved to 174, 823 at time 1607969408330
Moved to 173, 822 at time 1607969408414
Moved to 172, 821 at time 1607969408555
Moved to 171, 820 at time 1607969408687
Moved to 170, 819 at time 1607969408815
Moved to 169, 818 at time 1607969408896
Moved to 168, 817 at time 1607969408955
Moved to 167, 816 at time 1607969409024
Moved to 166, 815 at time 1607969409081
Moved to 165, 814 at time 1607969409125
Moved to 164, 813 at time 1607969409176
Moved to 163, 812 at time 1607969409227
Moved to 162, 811 at time 1607969409273
Moved to 161, 810 at time 1607969409359
Moved to 160, 809 at time 1607969409391
Moved to 159, 808 at time 1607969409408
Moved to 158, 807 at time 1607969409444
Moved to 157, 806 at time 1607969409465
Moved to 156, 805 at time 1607969409493
Moved to 155, 804 at time 1607969409525
Moved to 154, 803 at time 1607969409547
Moved to 153, 802 at time 1607969409577
Moved to 152, 801 at time 1607969409602
Moved to 151, 800 at time 1607969409613
Moved to 150, 799 at time 1607969409674
Moved to 149, 798 at time 1607969409737
Moved to 148, 797 at time 1607969409778
Moved to 147, 796 at time 1607969409843
Moved to 146, 795 at time 1607969409886
Moved to 145, 794 at time 1607969409898
Moved to 144, 793 at time 1607969409924
Moved to 143, 792 at time 1607969409944
Moved to 142, 791 at time 1607969410019
Moved to 141, 790 at time 1607969410033
Moved to 140, 789 at time 1607969410071
Moved to 139, 788 at time 1607969410086
Moved to 138, 787 at time 1607969410120
Moved to 137, 786 at time 1607969410191
Moved to 136, 785 at time 1607969410239
Moved to 135, 784 at time 1607969410292
Moved to 134, 783 at time 1607969410359
Moved to 133, 782 at time 1607969410370
Moved to 132, 781 at time 1607969410412
Moved to 131, 780 at time 1607969410428
Moved to 130, 779 at time 1607969410463
Moved to 129, 778 at time 1607969410485
Moved to 128, 777 at time 1607969410519
Moved to 127, 776 at time 1607969410536
Moved to 126, 775 at time 1607969410565
Moved to 125, 774 at time 1607969410584
Moved to 124, 773 at time 1607969410618
Moved to 123, 772 at time 1607969410630
Moved to 122, 771 at time 1607969410712
Moved to 121, 770 at time 1607969410723
Moved to 120, 769 at time 1607969410762
Moved to 119, 768 at time 1607969410776
Moved to 118, 767 at time 1607969410842
Moved to 117, 766 at time 1607969410857
Moved to 116, 765 at time 1607969410891
Moved to 115, 764 at time 1607969410904
Moved to 114, 763 at time 1607969410966
Moved to 113, 762 at time 1607969411005
Moved to 112, 761 at time 1607969411088
Moved to 111, 760 at time 1607969411102
Moved to 110, 759 at time 1607969411137
Moved to 109, 758 at time 1607969411159
Moved to 108, 757 at time 1607969411170
Moved to 107, 756 at time 1607969411237
Moved to 106, 755 at time 1607969411286
Moved to 105, 754 at time 1607969411332
Moved to 104, 753 at time 1607969411396
Moved to 103, 752 at time 1607969411462
Moved to 102, 751 at time 1607969411584
Got attacked at 102, 751 by Unit@28dae869 at time 1607969411684
Moved to 101, 750 at time 1607969411719
Moved to 100, 749 at time 1607969411754
Got attacked at 100, 739 by Unit@28dae869 at time 1607969412803
Got attacked at 100, 737 by Unit@70934930 at time 1607969413023
Got attacked at 100, 704 by Unit@2bdf1fe6 at time 1607969415021
Got attacked at 100, 692 by Unit@28dae869 at time 1607969416320
Got attacked at 100, 691 by Unit@70934930 at time 1607969416535
Got attacked at 100, 612 by Unit@66fa39e8 at time 1607969420657
Got attacked at 100, 608 by Unit@5e99d73f at time 1607969421143
Got attacked at 100, 606 by Unit@70934930 at time 1607969421339
Got attacked at 100, 602 by Unit@66fa39e8 at time 1607969421804
Got attacked at 100, 585 by Unit@6d9982f5 at time 1607969423483
Got attacked at 100, 583 by Unit@28dae869 at time 1607969423634
Got attacked at 100, 568 by Unit@28dae869 at time 1607969426085
Got attacked at 100, 562 by Unit@6d9982f5 at time 1607969426913
Got attacked at 100, 555 by Unit@70934930 at time 1607969427223
Got attacked at 100, 546 by Unit@4b2e64d2 at time 1607969427429
Got attacked at 100, 526 by Unit@6d9982f5 at time 1607969428051
Got attacked at 100, 519 by Unit@2bdf1fe6 at time 1607969428380
Got attacked at 100, 518 by Unit@5e99d73f at time 1607969428463
Got attacked at 100, 518 by Unit@70934930 at time 1607969428469
Got attacked at 100, 518 by Unit@4b2e64d2 at time 1607969428699
Got attacked at 100, 513 by Unit@6d9982f5 at time 1607969429268
Got attacked at 100, 511 by Unit@70934930 at time 1607969429603
Got attacked at 100, 511 by Unit@5e99d73f at time 1607969429610
Got attacked at 100, 511 by Unit@28dae869 at time 1607969429626
Died at 100, 510 at time 1607969429676
