Attacked Unit@7dd253dfat position 442, 677 at time 1607904712423
Got attacked at 476, 891 by Unit@7642b01a at time 1607904725419
Attacked Unit@5f4f3e8eat position 367, 758 at time 1607904725448
Attacked Unit@f088ebdat position 214, 858 at time 1607904750341
Attacked Unit@ff9bb77at position 424, 771 at time 1607904752068
Got attacked at 476, 891 by Unit@7642b01a at time 1607904753700
Attacked Unit@5450be09at position 674, 792 at time 1607904753765
Attacked Unit@72d94fc1at position 311, 1052 at time 1607904755443
Got attacked at 476, 891 by Unit@3341ebf6 at time 1607904757105
Attacked Unit@37a0f208at position 558, 1027 at time 1607904757169
Got attacked at 476, 891 by Unit@3341ebf6 at time 1607904758811
Attacked Unit@3341ebf6at position 655, 1077 at time 1607904758861
Got attacked at 476, 891 by Unit@7642b01a at time 1607904758869
Attacked Unit@3341ebf6at position 655, 1077 at time 1607904760538
Got attacked at 476, 891 by Unit@7642b01a at time 1607904760540
Attacked Unit@7642b01aat position 502, 1130 at time 1607904762217
Moved to 475, 892 at time 1607904763204
Moved to 474, 893 at time 1607904763245
Moved to 473, 894 at time 1607904763281
Moved to 472, 895 at time 1607904763315
Moved to 471, 896 at time 1607904763350
Moved to 470, 897 at time 1607904763384
Moved to 469, 898 at time 1607904763421
Moved to 468, 899 at time 1607904763455
Moved to 467, 900 at time 1607904763491
Moved to 466, 901 at time 1607904763527
Moved to 465, 902 at time 1607904763563
Moved to 464, 903 at time 1607904763597
Moved to 463, 904 at time 1607904763634
Moved to 462, 905 at time 1607904763672
Moved to 461, 906 at time 1607904763706
Moved to 460, 907 at time 1607904763741
Moved to 459, 908 at time 1607904763808
Moved to 458, 909 at time 1607904763844
Moved to 457, 910 at time 1607904763878
Moved to 456, 911 at time 1607904763913
Moved to 455, 912 at time 1607904763947
Moved to 454, 913 at time 1607904763983
Moved to 453, 914 at time 1607904764032
Moved to 452, 915 at time 1607904764093
Moved to 451, 916 at time 1607904764147
Moved to 450, 917 at time 1607904764185
Moved to 451, 918 at time 1607904764225
Moved to 452, 919 at time 1607904764260
Moved to 453, 920 at time 1607904764295
Moved to 454, 921 at time 1607904764347
Moved to 455, 922 at time 1607904764383
Moved to 456, 923 at time 1607904764426
Moved to 457, 924 at time 1607904764472
Moved to 458, 925 at time 1607904764515
Moved to 459, 926 at time 1607904764575
Moved to 460, 927 at time 1607904764609
Moved to 461, 928 at time 1607904764650
Attacked Unit@6f130f0aat position 730, 1091 at time 1607904764692
Got attacked at 461, 928 by Unit@6f130f0a at time 1607904764708
Died at 461, 928 at time 1607904764726
