Attacked Unit@c744c4at position 596, 1303 at time 1607971723060
Moved to 448, 1340 at time 1607971745010
Moved to 449, 1339 at time 1607971745063
Moved to 450, 1338 at time 1607971745114
Moved to 451, 1337 at time 1607971745165
Moved to 452, 1336 at time 1607971745217
Moved to 453, 1335 at time 1607971745278
Moved to 454, 1334 at time 1607971745329
Moved to 455, 1333 at time 1607971745382
Moved to 456, 1332 at time 1607971745434
Moved to 457, 1331 at time 1607971745485
Moved to 458, 1330 at time 1607971745539
Moved to 459, 1329 at time 1607971745590
Moved to 460, 1328 at time 1607971745643
Moved to 461, 1327 at time 1607971745696
Moved to 462, 1326 at time 1607971745747
Moved to 463, 1325 at time 1607971745798
Moved to 464, 1324 at time 1607971745899
Moved to 465, 1323 at time 1607971745951
Moved to 466, 1322 at time 1607971746002
Moved to 467, 1321 at time 1607971746104
Moved to 468, 1320 at time 1607971746159
Moved to 469, 1319 at time 1607971746210
Moved to 470, 1318 at time 1607971746263
Moved to 471, 1317 at time 1607971746317
Moved to 472, 1316 at time 1607971746368
Moved to 473, 1315 at time 1607971746421
Moved to 474, 1314 at time 1607971746472
Moved to 475, 1313 at time 1607971746530
Moved to 476, 1312 at time 1607971746582
Moved to 477, 1311 at time 1607971746633
Moved to 478, 1310 at time 1607971746684
Moved to 479, 1309 at time 1607971746744
Moved to 480, 1308 at time 1607971746796
Moved to 481, 1307 at time 1607971746847
Got attacked at 491, 1307 by Unit@6173cb75 at time 1607971748362
Got attacked at 491, 1307 by Unit@2878ba57 at time 1607971748378
Got attacked at 491, 1307 by Unit@39f99727 at time 1607971748386
Moved to 492, 1304 at time 1607971748598
Moved to 493, 1303 at time 1607971748649
Moved to 494, 1302 at time 1607971748700
Moved to 495, 1301 at time 1607971748751
Moved to 497, 1300 at time 1607971748853
Moved to 498, 1299 at time 1607971748906
Got attacked at 510, 1299 by Unit@2878ba57 at time 1607971750060
Got attacked at 510, 1299 by Unit@8781ff4 at time 1607971751738
Moved to 511, 1296 at time 1607971751955
Moved to 512, 1294 at time 1607971752057
Moved to 513, 1293 at time 1607971752111
Moved to 514, 1292 at time 1607971752163
Moved to 515, 1291 at time 1607971752264
Moved to 516, 1290 at time 1607971752316
Moved to 517, 1289 at time 1607971752367
Moved to 518, 1264 at time 1607971753854
Moved to 519, 1263 at time 1607971753905
Moved to 520, 1262 at time 1607971753957
Moved to 521, 1261 at time 1607971754008
Moved to 522, 1260 at time 1607971754060
Moved to 523, 1259 at time 1607971754111
Moved to 524, 1258 at time 1607971754162
Moved to 525, 1257 at time 1607971754213
Attacked Unit@59f5830at position 694, 1094 at time 1607971754264
Moved to 526, 1256 at time 1607971755131
Moved to 527, 1255 at time 1607971755182
Moved to 528, 1254 at time 1607971755283
Moved to 529, 1253 at time 1607971755334
Moved to 530, 1252 at time 1607971755385
Moved to 531, 1251 at time 1607971755437
Moved to 532, 1250 at time 1607971755488
Moved to 533, 1249 at time 1607971755539
Moved to 534, 1248 at time 1607971755591
Moved to 535, 1247 at time 1607971755643
Moved to 536, 1246 at time 1607971755694
Moved to 537, 1245 at time 1607971755745
Moved to 538, 1244 at time 1607971755796
Moved to 539, 1243 at time 1607971755847
Moved to 540, 1242 at time 1607971755898
Moved to 541, 1241 at time 1607971755949
Moved to 546, 1240 at time 1607971756769
Moved to 547, 1239 at time 1607971756870
Moved to 548, 1238 at time 1607971756922
Moved to 549, 1237 at time 1607971756976
Moved to 550, 1236 at time 1607971757027
Moved to 551, 1235 at time 1607971757081
Moved to 552, 1234 at time 1607971757132
Moved to 553, 1233 at time 1607971757183
Moved to 554, 1232 at time 1607971757235
Moved to 555, 1231 at time 1607971757287
Moved to 556, 1230 at time 1607971757388
Moved to 557, 1229 at time 1607971757439
Attacked Unit@1c7d1ff8at position 726, 1109 at time 1607971757490
Got attacked at 557, 1229 by Unit@18301656 at time 1607971758462
Got attacked at 557, 1229 by Unit@39a647ba at time 1607971758464
Died at 557, 1229 at time 1607971758514
