Attacked Unit@7f353822at position 484, 1327 at time 1607971941739
Attacked Unit@2bbee16dat position 505, 1340 at time 1607972019921
Attacked Unit@403ce9efat position 538, 1370 at time 1607972021621
Attacked Unit@149cca75at position 482, 1307 at time 1607972023316
Attacked Unit@47a10929at position 587, 1356 at time 1607972025016
Attacked Unit@2d5fadb3at position 487, 1245 at time 1607972026705
Got attacked at 750, 1159 by Unit@403ce9ef at time 1607972027162
Got attacked at 750, 1159 by Unit@47a10929 at time 1607972028102
Attacked Unit@74d64f16at position 527, 1258 at time 1607972028389
Got attacked at 750, 1159 by Unit@403ce9ef at time 1607972028861
Attacked Unit@4184ca64at position 533, 1177 at time 1607972030072
Attacked Unit@35d9bf3at position 572, 1291 at time 1607972031739
Moved to 749, 1158 at time 1607972031773
Moved to 748, 1157 at time 1607972031808
Moved to 747, 1156 at time 1607972031842
Moved to 746, 1155 at time 1607972031876
Moved to 745, 1154 at time 1607972031910
Moved to 744, 1153 at time 1607972031944
Moved to 743, 1152 at time 1607972031980
Moved to 742, 1151 at time 1607972032015
Moved to 741, 1150 at time 1607972032050
Moved to 740, 1149 at time 1607972032117
Moved to 739, 1148 at time 1607972032152
Moved to 738, 1147 at time 1607972032186
Moved to 737, 1146 at time 1607972032220
Moved to 736, 1145 at time 1607972032255
Moved to 735, 1144 at time 1607972032290
Moved to 734, 1143 at time 1607972032324
Moved to 733, 1142 at time 1607972032359
Moved to 732, 1141 at time 1607972032394
Moved to 731, 1140 at time 1607972032428
Moved to 730, 1139 at time 1607972032495
Moved to 729, 1138 at time 1607972032529
Moved to 728, 1137 at time 1607972032565
Moved to 727, 1136 at time 1607972032599
Moved to 726, 1135 at time 1607972032641
Moved to 725, 1134 at time 1607972032675
Moved to 724, 1133 at time 1607972032709
Moved to 723, 1132 at time 1607972032743
Moved to 722, 1131 at time 1607972032777
Moved to 721, 1130 at time 1607972032811
Moved to 720, 1129 at time 1607972032847
Moved to 719, 1128 at time 1607972032883
Moved to 718, 1127 at time 1607972032919
