Attacked Unit@7dd253dfat position 442, 677 at time 1607904712166
Moved to 389, 514 at time 1607904712517
Moved to 388, 515 at time 1607904712801
Moved to 389, 514 at time 1607904712949
Moved to 388, 515 at time 1607904713106
Moved to 387, 516 at time 1607904713185
Moved to 386, 517 at time 1607904713316
Moved to 385, 518 at time 1607904725389
Moved to 386, 517 at time 1607904725482
Moved to 387, 516 at time 1607904725619
Moved to 388, 515 at time 1607904725755
Moved to 389, 514 at time 1607904725898
Moved to 390, 513 at time 1607904725953
Moved to 391, 512 at time 1607904726092
Moved to 392, 511 at time 1607904726202
Moved to 393, 510 at time 1607904750397
Moved to 394, 509 at time 1607904750463
Moved to 395, 508 at time 1607904750581
Moved to 396, 507 at time 1607904750676
Moved to 397, 508 at time 1607904750746
Moved to 398, 509 at time 1607904750829
Moved to 399, 510 at time 1607904750917
Moved to 400, 511 at time 1607904751007
Moved to 401, 512 at time 1607904751059
Moved to 402, 513 at time 1607904751141
Moved to 403, 514 at time 1607904751249
Moved to 404, 515 at time 1607904751342
Moved to 405, 516 at time 1607904751450
Moved to 406, 517 at time 1607904751524
Moved to 407, 518 at time 1607904751624
Moved to 408, 519 at time 1607904751741
Moved to 409, 520 at time 1607904751819
Moved to 410, 521 at time 1607904751875
Moved to 411, 522 at time 1607904751958
Moved to 412, 523 at time 1607904752009
Moved to 413, 524 at time 1607904752100
Moved to 414, 525 at time 1607904752184
Moved to 415, 526 at time 1607904752279
Moved to 416, 527 at time 1607904752346
Moved to 417, 528 at time 1607904752472
Moved to 418, 529 at time 1607904752525
Moved to 419, 530 at time 1607904752592
Moved to 420, 531 at time 1607904752708
Moved to 421, 532 at time 1607904752782
Moved to 422, 533 at time 1607904752841
Moved to 423, 534 at time 1607904752952
Moved to 424, 535 at time 1607904753025
Moved to 425, 536 at time 1607904753083
Moved to 426, 537 at time 1607904753134
Moved to 427, 538 at time 1607904753238
Moved to 428, 539 at time 1607904753329
Moved to 429, 540 at time 1607904753383
Moved to 430, 541 at time 1607904753491
Moved to 431, 542 at time 1607904753582
Moved to 432, 543 at time 1607904753658
Moved to 433, 544 at time 1607904753717
Moved to 434, 545 at time 1607904753782
Moved to 433, 544 at time 1607904753874
Moved to 432, 543 at time 1607904753959
Moved to 431, 542 at time 1607904754022
Moved to 430, 541 at time 1607904754085
Moved to 429, 540 at time 1607904754182
Moved to 428, 539 at time 1607904754243
Moved to 427, 538 at time 1607904754328
Moved to 426, 537 at time 1607904754397
Moved to 425, 536 at time 1607904754467
Moved to 424, 535 at time 1607904754551
Moved to 423, 534 at time 1607904754603
Moved to 422, 533 at time 1607904754662
Moved to 421, 532 at time 1607904754731
Moved to 420, 531 at time 1607904754806
Moved to 419, 530 at time 1607904754880
Moved to 418, 529 at time 1607904754967
Moved to 417, 528 at time 1607904755045
Moved to 416, 527 at time 1607904755102
Moved to 415, 526 at time 1607904755160
Moved to 414, 525 at time 1607904755211
Moved to 413, 524 at time 1607904755288
Moved to 412, 523 at time 1607904755339
Moved to 411, 522 at time 1607904755409
Moved to 410, 521 at time 1607904755482
Moved to 409, 520 at time 1607904755535
Moved to 408, 519 at time 1607904755609
Moved to 407, 518 at time 1607904755698
Moved to 406, 517 at time 1607904755755
Moved to 405, 516 at time 1607904755831
Moved to 404, 515 at time 1607904755890
Moved to 403, 514 at time 1607904755942
Moved to 402, 513 at time 1607904756032
