Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644609
Moved to 395, 426 at time 1607965646505
Moved to 394, 427 at time 1607965707899
Moved to 393, 428 at time 1607965708074
Moved to 392, 429 at time 1607965708175
Moved to 391, 430 at time 1607965708292
Moved to 390, 431 at time 1607965708360
Moved to 389, 432 at time 1607965708471
Moved to 388, 433 at time 1607965708728
Moved to 387, 434 at time 1607965708981
Moved to 386, 435 at time 1607965709015
Moved to 385, 436 at time 1607965709094
Moved to 384, 437 at time 1607965709185
Moved to 383, 438 at time 1607965709277
Moved to 382, 439 at time 1607965709339
Moved to 381, 440 at time 1607965709484
Moved to 380, 441 at time 1607965709528
Moved to 379, 442 at time 1607965709948
Moved to 378, 443 at time 1607965710130
Moved to 377, 444 at time 1607965710592
Moved to 376, 445 at time 1607965710676
Moved to 375, 446 at time 1607965710712
Moved to 374, 447 at time 1607965710993
Moved to 373, 448 at time 1607965711212
Moved to 372, 449 at time 1607965711434
Moved to 371, 450 at time 1607965711629
Moved to 370, 451 at time 1607965712045
Moved to 369, 452 at time 1607965712294
Moved to 368, 453 at time 1607965712562
Moved to 367, 454 at time 1607965712714
Moved to 366, 455 at time 1607965712750
Moved to 365, 456 at time 1607965712907
Moved to 364, 457 at time 1607965713155
Moved to 363, 458 at time 1607965713424
Moved to 362, 459 at time 1607965713895
Moved to 361, 460 at time 1607965714034
Moved to 360, 461 at time 1607965714207
Moved to 359, 462 at time 1607965714374
Moved to 358, 463 at time 1607965714710
Moved to 357, 464 at time 1607965714750
Moved to 356, 465 at time 1607965714908
Moved to 355, 466 at time 1607965715120
Moved to 354, 467 at time 1607965715291
Moved to 353, 468 at time 1607965715419
Moved to 352, 469 at time 1607965715464
Moved to 351, 470 at time 1607965715576
Moved to 350, 471 at time 1607965715614
Moved to 349, 472 at time 1607965715751
Moved to 350, 473 at time 1607965716130
Moved to 351, 474 at time 1607965716658
Moved to 352, 475 at time 1607965716909
Moved to 351, 476 at time 1607965717113
Moved to 350, 477 at time 1607965717155
Moved to 349, 478 at time 1607965717287
Moved to 348, 479 at time 1607965717502
Moved to 347, 480 at time 1607965717648
Moved to 346, 481 at time 1607965717847
Moved to 345, 482 at time 1607965717885
Moved to 344, 483 at time 1607965718378
Moved to 343, 484 at time 1607965718622
Moved to 342, 485 at time 1607965718780
Moved to 341, 486 at time 1607965718963
Moved to 340, 487 at time 1607965719221
Moved to 339, 488 at time 1607965719288
Moved to 338, 489 at time 1607965719597
Moved to 337, 490 at time 1607965719719
Moved to 338, 491 at time 1607965720130
Moved to 339, 492 at time 1607965720265
Moved to 340, 493 at time 1607965720666
Moved to 341, 494 at time 1607965720770
Moved to 342, 495 at time 1607965721179
Moved to 343, 496 at time 1607965721293
Moved to 344, 497 at time 1607965721536
Moved to 345, 498 at time 1607965721732
Moved to 346, 499 at time 1607965721872
Moved to 347, 500 at time 1607965722022
Moved to 348, 501 at time 1607965722152
Moved to 349, 502 at time 1607965722283
Moved to 350, 503 at time 1607965722466
Moved to 351, 504 at time 1607965722514
Moved to 352, 505 at time 1607965722890
Moved to 353, 506 at time 1607965722937
Moved to 354, 507 at time 1607965723358
Moved to 355, 508 at time 1607965723793
Moved to 356, 509 at time 1607965724269
Moved to 357, 510 at time 1607965724782
Moved to 358, 511 at time 1607965725236
Moved to 359, 512 at time 1607965725272
Moved to 360, 513 at time 1607965725694
Moved to 361, 514 at time 1607965726183
Moved to 362, 515 at time 1607965726625
Moved to 363, 516 at time 1607965727076
Moved to 364, 517 at time 1607965727490
Moved to 365, 518 at time 1607965727549
Moved to 366, 519 at time 1607965727948
Moved to 367, 520 at time 1607965728018
Moved to 368, 521 at time 1607965728393
Moved to 369, 522 at time 1607965728451
Moved to 370, 521 at time 1607965728867
Moved to 371, 520 at time 1607965728902
Moved to 372, 519 at time 1607965729357
Moved to 373, 518 at time 1607965729393
Moved to 374, 517 at time 1607965729589
Moved to 375, 516 at time 1607965729708
Moved to 376, 515 at time 1607965729823
Moved to 377, 514 at time 1607965730026
Moved to 378, 513 at time 1607965730412
Moved to 379, 512 at time 1607965730449
Moved to 380, 511 at time 1607965730811
Moved to 381, 510 at time 1607965730876
Moved to 382, 509 at time 1607965731243
Moved to 383, 508 at time 1607965731322
Moved to 384, 507 at time 1607965731460
Moved to 385, 506 at time 1607965731563
Moved to 386, 505 at time 1607965731684
Moved to 387, 504 at time 1607965731718
Moved to 388, 503 at time 1607965731859
Moved to 389, 502 at time 1607965731935
Moved to 390, 501 at time 1607965732060
Moved to 391, 500 at time 1607965732139
Moved to 392, 499 at time 1607965732276
Moved to 393, 498 at time 1607965732370
Moved to 394, 497 at time 1607965732527
Moved to 395, 496 at time 1607965732842
Moved to 396, 495 at time 1607965732880
