Attacked Unit@3aa349c0at position 659, 420 at time 1607965644641
Moved to 392, 230 at time 1607965645712
Moved to 393, 231 at time 1607965645953
Moved to 394, 232 at time 1607965646436
Moved to 395, 233 at time 1607965707947
Moved to 396, 234 at time 1607965708052
Moved to 397, 235 at time 1607965708196
Moved to 398, 236 at time 1607965708230
Moved to 399, 237 at time 1607965708406
Moved to 400, 238 at time 1607965708646
Moved to 401, 239 at time 1607965708829
Moved to 402, 240 at time 1607965708877
Moved to 403, 241 at time 1607965709046
Moved to 404, 242 at time 1607965709243
Moved to 405, 243 at time 1607965709364
Moved to 406, 244 at time 1607965709453
Moved to 407, 245 at time 1607965709489
Moved to 408, 246 at time 1607965710051
Moved to 409, 247 at time 1607965710629
Moved to 410, 248 at time 1607965711115
Moved to 411, 249 at time 1607965711515
Moved to 412, 250 at time 1607965712176
Moved to 411, 249 at time 1607965712645
Moved to 410, 248 at time 1607965713057
Moved to 409, 247 at time 1607965713712
Moved to 408, 246 at time 1607965714130
Moved to 407, 245 at time 1607965714492
Moved to 406, 244 at time 1607965714601
Moved to 405, 243 at time 1607965715033
Moved to 404, 242 at time 1607965715069
Moved to 403, 241 at time 1607965715194
Moved to 402, 240 at time 1607965715361
Moved to 401, 239 at time 1607965715562
Moved to 400, 238 at time 1607965715628
Moved to 399, 237 at time 1607965715737
Moved to 398, 236 at time 1607965715799
Moved to 397, 235 at time 1607965715995
Moved to 396, 234 at time 1607965716251
Moved to 395, 233 at time 1607965716517
Moved to 394, 232 at time 1607965716731
Moved to 393, 231 at time 1607965716856
Moved to 392, 230 at time 1607965716929
Moved to 391, 229 at time 1607965716963
