Attacked Unit@a81556eat position 678, 408 at time 1607965644511
Moved to 414, 152 at time 1607965644842
Moved to 415, 153 at time 1607965645158
Moved to 416, 154 at time 1607965645500
Moved to 417, 155 at time 1607965645827
Moved to 418, 156 at time 1607965645867
Moved to 419, 157 at time 1607965646529
Moved to 420, 158 at time 1607965708021
Moved to 421, 159 at time 1607965708225
Moved to 422, 160 at time 1607965708414
Moved to 423, 161 at time 1607965708632
Moved to 424, 162 at time 1607965708849
Moved to 425, 163 at time 1607965709081
Moved to 426, 164 at time 1607965709201
Moved to 427, 165 at time 1607965709415
Moved to 428, 166 at time 1607965709633
Moved to 429, 167 at time 1607965709688
Moved to 430, 168 at time 1607965710351
Moved to 431, 169 at time 1607965710844
Moved to 432, 170 at time 1607965711366
Moved to 433, 171 at time 1607965711738
Moved to 434, 172 at time 1607965711945
Moved to 433, 171 at time 1607965712382
Moved to 432, 170 at time 1607965712504
Moved to 431, 169 at time 1607965712774
Moved to 430, 168 at time 1607965712873
Moved to 429, 167 at time 1607965713213
Moved to 428, 166 at time 1607965713384
Moved to 427, 165 at time 1607965713922
Moved to 426, 164 at time 1607965714012
Moved to 425, 163 at time 1607965714231
Moved to 424, 162 at time 1607965714313
Moved to 423, 161 at time 1607965714772
Moved to 422, 160 at time 1607965714897
Moved to 421, 159 at time 1607965715125
Moved to 420, 158 at time 1607965715288
Moved to 419, 157 at time 1607965715419
Moved to 418, 156 at time 1607965715464
Moved to 417, 155 at time 1607965715574
Moved to 416, 154 at time 1607965715614
Moved to 415, 153 at time 1607965715752
Moved to 414, 152 at time 1607965716120
Moved to 413, 151 at time 1607965716668
