Attacked Unit@566bd437at position 784, 444 at time 1607905322320
Got attacked at 127, 512 by Unit@23417bef at time 1607905465273
Got attacked at 127, 512 by Unit@53771802 at time 1607905465506
Attacked Unit@23417befat position 774, 446 at time 1607905465533
Attacked Unit@1dad4b58at position 778, 437 at time 1607905467967
Attacked Unit@53771802at position 773, 437 at time 1607905470511
Got attacked at 127, 512 by Unit@750e25d8 at time 1607905473051
Attacked Unit@2c6e9f3aat position 770, 441 at time 1607905473090
Got attacked at 127, 512 by Unit@75d2a319 at time 1607905473119
Died at 127, 512 at time 1607905473204
