Attacked Unit@95973b8at position 1013, 305 at time 1607965644642
Attacked Unit@2ee4badat position 910, 594 at time 1607965646493
Attacked Unit@6da82ddat position 854, 698 at time 1607965707728
Attacked Unit@2f103d00at position 818, 290 at time 1607965709498
Attacked Unit@783aedbcat position 862, 382 at time 1607965711200
Attacked Unit@2d0e4b7eat position 971, 383 at time 1607965713009
Moved to 1023, 514 at time 1607965714175
Moved to 1022, 515 at time 1607965714424
Moved to 1021, 516 at time 1607965714463
Moved to 1020, 517 at time 1607965714633
Moved to 1019, 518 at time 1607965715013
Moved to 1018, 519 at time 1607965715066
Moved to 1017, 520 at time 1607965715197
Moved to 1016, 521 at time 1607965715387
Moved to 1015, 522 at time 1607965715494
Moved to 1014, 523 at time 1607965715547
Moved to 1013, 524 at time 1607965715646
Moved to 1012, 525 at time 1607965715720
Moved to 1011, 526 at time 1607965715828
Attacked Unit@1ee6f593at position 1001, 795 at time 1607965715957
Got attacked at 1011, 526 by Unit@1ee6f593 at time 1607965716282
Got attacked at 1011, 526 by Unit@1afdf804 at time 1607965716948
Attacked Unit@1ee6f593at position 1001, 795 at time 1607965717695
Got attacked at 1011, 526 by Unit@29455857 at time 1607965719223
Attacked Unit@1afdf804at position 1044, 795 at time 1607965719512
Got attacked at 1011, 526 by Unit@1afdf804 at time 1607965720437
Got attacked at 1011, 526 by Unit@29455857 at time 1607965721323
Attacked Unit@1afdf804at position 1044, 795 at time 1607965721389
Moved to 1012, 527 at time 1607965722054
Moved to 1013, 528 at time 1607965722121
Moved to 1014, 529 at time 1607965722181
Moved to 1015, 530 at time 1607965722256
Moved to 1016, 531 at time 1607965722311
Moved to 1017, 532 at time 1607965722391
Moved to 1018, 533 at time 1607965722594
Moved to 1019, 534 at time 1607965722806
Moved to 1020, 535 at time 1607965723026
Moved to 1021, 536 at time 1607965723281
Moved to 1022, 537 at time 1607965723437
Moved to 1023, 538 at time 1607965723631
Moved to 1024, 539 at time 1607965723914
Moved to 1025, 540 at time 1607965724165
Moved to 1026, 541 at time 1607965724399
Moved to 1027, 542 at time 1607965724647
Moved to 1028, 543 at time 1607965724899
Moved to 1029, 544 at time 1607965725137
Moved to 1030, 545 at time 1607965725375
Moved to 1031, 546 at time 1607965725595
Moved to 1032, 547 at time 1607965725824
Moved to 1033, 548 at time 1607965726056
Moved to 1034, 549 at time 1607965726289
Moved to 1035, 550 at time 1607965726524
Moved to 1036, 551 at time 1607965726739
Moved to 1037, 552 at time 1607965726971
Moved to 1038, 553 at time 1607965727009
Moved to 1039, 554 at time 1607965727131
Moved to 1040, 555 at time 1607965727438
Moved to 1041, 556 at time 1607965727593
Moved to 1042, 557 at time 1607965727903
Moved to 1043, 558 at time 1607965728060
Moved to 1044, 559 at time 1607965728347
Moved to 1045, 560 at time 1607965728497
Moved to 1046, 561 at time 1607965728811
Moved to 1047, 562 at time 1607965728850
Moved to 1048, 563 at time 1607965728943
Moved to 1049, 564 at time 1607965729323
Moved to 1050, 565 at time 1607965729395
Moved to 1051, 566 at time 1607965729586
Got attacked at 1051, 566 by Unit@5283abe1 at time 1607965729648
Attacked Unit@5283abe1at position 920, 835 at time 1607965729709
Got attacked at 1051, 566 by Unit@5283abe1 at time 1607965731393
Attacked Unit@5283abe1at position 920, 835 at time 1607965731457
Died at 1051, 566 at time 1607965731457
