Attacked Unit@95973b8at position 1013, 305 at time 1607965644510
Attacked Unit@2ee4badat position 910, 594 at time 1607965646493
Attacked Unit@589f1b38at position 905, 299 at time 1607965707709
Attacked Unit@24bd10dfat position 887, 324 at time 1607965709483
Attacked Unit@783aedbcat position 862, 382 at time 1607965711177
Attacked Unit@2d0e4b7eat position 971, 383 at time 1607965712965
Moved to 1098, 380 at time 1607965714178
Moved to 1097, 381 at time 1607965714419
Moved to 1096, 382 at time 1607965714666
Moved to 1095, 383 at time 1607965715110
Moved to 1094, 384 at time 1607965715255
Moved to 1093, 385 at time 1607965715295
Moved to 1092, 386 at time 1607965715414
Moved to 1091, 387 at time 1607965715469
Moved to 1090, 388 at time 1607965715660
Moved to 1089, 389 at time 1607965715705
Moved to 1088, 390 at time 1607965715857
Moved to 1087, 391 at time 1607965715925
Moved to 1086, 392 at time 1607965716320
Moved to 1085, 393 at time 1607965716430
Moved to 1084, 394 at time 1607965716769
Moved to 1083, 395 at time 1607965716807
Moved to 1082, 396 at time 1607965716959
Moved to 1081, 397 at time 1607965717060
Moved to 1080, 398 at time 1607965717204
Moved to 1079, 399 at time 1607965717423
Moved to 1078, 400 at time 1607965717565
Moved to 1077, 401 at time 1607965717738
Moved to 1076, 402 at time 1607965718055
Moved to 1075, 403 at time 1607965718190
Moved to 1074, 404 at time 1607965718518
Moved to 1073, 405 at time 1607965718713
Moved to 1072, 406 at time 1607965718856
Moved to 1071, 407 at time 1607965719083
Moved to 1070, 408 at time 1607965719430
Moved to 1069, 409 at time 1607965719922
Moved to 1068, 410 at time 1607965720457
Moved to 1067, 411 at time 1607965720973
Moved to 1066, 412 at time 1607965721471
Moved to 1065, 413 at time 1607965721630
Moved to 1064, 414 at time 1607965721833
Moved to 1063, 415 at time 1607965721921
Moved to 1062, 416 at time 1607965721964
Moved to 1063, 417 at time 1607965722069
Moved to 1064, 418 at time 1607965722109
Moved to 1065, 419 at time 1607965722191
Moved to 1066, 420 at time 1607965722244
Moved to 1067, 421 at time 1607965722324
Moved to 1068, 422 at time 1607965722361
Moved to 1069, 423 at time 1607965722627
Moved to 1070, 424 at time 1607965722778
Moved to 1071, 425 at time 1607965723060
Moved to 1072, 426 at time 1607965723248
Moved to 1073, 427 at time 1607965723458
Moved to 1074, 428 at time 1607965723595
Moved to 1075, 429 at time 1607965723946
Moved to 1076, 430 at time 1607965724128
Moved to 1077, 431 at time 1607965724425
Moved to 1078, 432 at time 1607965724620
Moved to 1079, 433 at time 1607965724922
Moved to 1080, 434 at time 1607965725111
Moved to 1081, 435 at time 1607965725402
Moved to 1082, 436 at time 1607965725573
Moved to 1083, 437 at time 1607965725846
Moved to 1084, 438 at time 1607965726031
Moved to 1085, 439 at time 1607965726314
Moved to 1086, 440 at time 1607965726499
Moved to 1087, 441 at time 1607965726769
Moved to 1088, 442 at time 1607965726948
Moved to 1089, 443 at time 1607965727190
Moved to 1090, 444 at time 1607965727375
Moved to 1091, 445 at time 1607965727650
Moved to 1092, 446 at time 1607965727687
Moved to 1093, 447 at time 1607965727810
Moved to 1094, 448 at time 1607965728147
Moved to 1095, 449 at time 1607965728266
Moved to 1096, 450 at time 1607965728586
Moved to 1097, 451 at time 1607965728719
Moved to 1098, 452 at time 1607965729076
Moved to 1099, 453 at time 1607965729204
Moved to 1100, 454 at time 1607965729504
Moved to 1101, 455 at time 1607965729672
Moved to 1102, 456 at time 1607965729743
Moved to 1103, 457 at time 1607965729787
Moved to 1104, 458 at time 1607965729867
Moved to 1105, 459 at time 1607965729936
Moved to 1106, 460 at time 1607965730140
Moved to 1107, 461 at time 1607965730260
Moved to 1108, 462 at time 1607965730558
Moved to 1109, 463 at time 1607965730707
Moved to 1110, 464 at time 1607965730988
Moved to 1111, 465 at time 1607965731139
Attacked Unit@15934db0at position 1380, 733 at time 1607965731375
Attacked Unit@15934db0at position 1380, 733 at time 1607965733232
Moved to 1112, 466 at time 1607965733360
Moved to 1113, 467 at time 1607965733395
Moved to 1114, 468 at time 1607965733614
Moved to 1115, 469 at time 1607965733832
Moved to 1116, 470 at time 1607965734058
Moved to 1117, 471 at time 1607965734262
Moved to 1118, 472 at time 1607965734474
Moved to 1119, 473 at time 1607965734669
Attacked Unit@e08a423at position 1388, 680 at time 1607965734957
Got attacked at 1119, 473 by Unit@e08a423 at time 1607965736163
Moved to 1120, 474 at time 1607965736424
Moved to 1121, 475 at time 1607965736466
Moved to 1122, 476 at time 1607965736796
Moved to 1123, 477 at time 1607965736962
Moved to 1124, 478 at time 1607965737002
Moved to 1125, 479 at time 1607965737265
Moved to 1126, 480 at time 1607965737369
Moved to 1127, 481 at time 1607965737676
Moved to 1128, 482 at time 1607965737777
Moved to 1129, 483 at time 1607965738084
Moved to 1130, 484 at time 1607965738176
Moved to 1131, 485 at time 1607965738476
Moved to 1132, 486 at time 1607965738510
Moved to 1133, 487 at time 1607965738966
Moved to 1134, 488 at time 1607965739325
Moved to 1135, 489 at time 1607965739738
Moved to 1136, 490 at time 1607965740072
Moved to 1137, 491 at time 1607965740108
Moved to 1138, 492 at time 1607965740387
Moved to 1139, 493 at time 1607965740500
Moved to 1140, 494 at time 1607965740639
Attacked Unit@46146d44at position 1409, 551 at time 1607965740723
Attacked Unit@b78191eat position 1409, 606 at time 1607965742390
Moved to 1139, 493 at time 1607965742639
Moved to 1138, 492 at time 1607965742757
Moved to 1137, 491 at time 1607965742861
Moved to 1136, 490 at time 1607965742988
Moved to 1135, 489 at time 1607965743135
Moved to 1134, 488 at time 1607965743277
Moved to 1133, 487 at time 1607965743325
Moved to 1132, 486 at time 1607965743432
Moved to 1131, 485 at time 1607965743599
Moved to 1130, 484 at time 1607965743733
Moved to 1129, 483 at time 1607965744010
Moved to 1128, 482 at time 1607965744141
Moved to 1127, 481 at time 1607965744373
Moved to 1126, 480 at time 1607965744511
Moved to 1125, 479 at time 1607965744746
Moved to 1124, 478 at time 1607965744878
Moved to 1123, 477 at time 1607965745099
Moved to 1122, 476 at time 1607965745133
Moved to 1121, 474 at time 1607965745519
Moved to 1120, 473 at time 1607965745917
Moved to 1119, 472 at time 1607965746327
Moved to 1118, 471 at time 1607965746574
Moved to 1117, 470 at time 1607965746678
Moved to 1116, 469 at time 1607965746899
Moved to 1115, 468 at time 1607965747008
Moved to 1114, 467 at time 1607965747256
Moved to 1113, 466 at time 1607965747363
Moved to 1112, 465 at time 1607965747612
Moved to 1111, 464 at time 1607965747720
Moved to 1110, 463 at time 1607965747971
Moved to 1109, 462 at time 1607965748064
Moved to 1108, 461 at time 1607965748181
Moved to 1107, 460 at time 1607965748310
Moved to 1106, 459 at time 1607965748448
Moved to 1105, 458 at time 1607965748564
Moved to 1104, 457 at time 1607965748623
Moved to 1103, 456 at time 1607965748679
Moved to 1102, 455 at time 1607965748753
Moved to 1101, 454 at time 1607965748808
Moved to 1100, 453 at time 1607965748856
Moved to 1099, 452 at time 1607965748982
