Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644475
Moved to 367, 589 at time 1607965646444
Moved to 366, 590 at time 1607965707949
Moved to 365, 591 at time 1607965708051
Moved to 364, 592 at time 1607965708197
Moved to 363, 593 at time 1607965708260
Moved to 362, 594 at time 1607965708382
Moved to 361, 595 at time 1607965708417
Moved to 360, 596 at time 1607965708630
Moved to 359, 597 at time 1607965708850
Moved to 358, 598 at time 1607965709063
Moved to 357, 599 at time 1607965709222
Moved to 356, 600 at time 1607965709426
Moved to 355, 601 at time 1607965709606
Moved to 354, 602 at time 1607965709692
Moved to 353, 603 at time 1607965710345
Moved to 352, 604 at time 1607965710385
Moved to 351, 605 at time 1607965710816
Moved to 350, 606 at time 1607965711337
Moved to 349, 607 at time 1607965711764
Moved to 348, 608 at time 1607965711913
Moved to 347, 609 at time 1607965712431
Moved to 346, 610 at time 1607965712479
Moved to 345, 611 at time 1607965712799
Moved to 344, 612 at time 1607965713320
Moved to 343, 613 at time 1607965713983
Moved to 342, 614 at time 1607965714257
Moved to 341, 615 at time 1607965714838
Moved to 340, 616 at time 1607965715143
Moved to 339, 617 at time 1607965715270
Moved to 338, 618 at time 1607965715445
Moved to 337, 619 at time 1607965715595
Moved to 336, 620 at time 1607965715803
Moved to 337, 621 at time 1607965715987
Moved to 338, 622 at time 1607965716256
Moved to 339, 623 at time 1607965716506
Moved to 340, 624 at time 1607965716737
Moved to 341, 625 at time 1607965716852
Moved to 342, 626 at time 1607965716932
Moved to 343, 627 at time 1607965716966
Moved to 344, 628 at time 1607965717055
Moved to 345, 629 at time 1607965717210
Moved to 346, 630 at time 1607965717420
Moved to 347, 631 at time 1607965717567
Moved to 348, 632 at time 1607965717733
Moved to 349, 633 at time 1607965718073
Moved to 350, 634 at time 1607965718173
Moved to 351, 635 at time 1607965718522
Moved to 352, 636 at time 1607965718704
Moved to 353, 637 at time 1607965718864
Moved to 354, 638 at time 1607965719076
Moved to 355, 639 at time 1607965719436
Moved to 356, 640 at time 1607965719915
Moved to 357, 641 at time 1607965720489
Moved to 358, 642 at time 1607965720949
Moved to 359, 643 at time 1607965721003
Moved to 360, 644 at time 1607965721458
Moved to 361, 645 at time 1607965721639
Moved to 362, 646 at time 1607965721798
Moved to 363, 647 at time 1607965721952
Moved to 364, 648 at time 1607965722080
Moved to 365, 649 at time 1607965722226
Moved to 366, 650 at time 1607965722339
Moved to 367, 651 at time 1607965722688
Moved to 368, 652 at time 1607965722727
Moved to 369, 653 at time 1607965723131
Moved to 370, 654 at time 1607965723183
Moved to 371, 655 at time 1607965723495
Moved to 372, 656 at time 1607965723538
Moved to 373, 657 at time 1607965723999
Moved to 374, 658 at time 1607965724069
Moved to 375, 659 at time 1607965724491
Moved to 376, 660 at time 1607965724560
Moved to 377, 661 at time 1607965724984
Moved to 378, 662 at time 1607965725053
Moved to 379, 663 at time 1607965725466
Moved to 380, 664 at time 1607965725949
Moved to 381, 665 at time 1607965726404
Moved to 382, 666 at time 1607965726873
Moved to 383, 667 at time 1607965726908
Moved to 384, 668 at time 1607965727243
Moved to 385, 669 at time 1607965727279
Moved to 386, 670 at time 1607965727758
Moved to 387, 671 at time 1607965728206
Moved to 388, 672 at time 1607965728652
Moved to 389, 673 at time 1607965729137
Moved to 390, 674 at time 1607965729529
Moved to 391, 675 at time 1607965729653
Moved to 392, 676 at time 1607965729769
Moved to 393, 677 at time 1607965729887
Moved to 394, 678 at time 1607965730197
Moved to 395, 679 at time 1607965730639
Moved to 396, 680 at time 1607965731071
Moved to 397, 681 at time 1607965731407
Moved to 398, 682 at time 1607965731509
Moved to 399, 683 at time 1607965731629
Moved to 400, 684 at time 1607965731727
Moved to 401, 685 at time 1607965731852
Moved to 402, 686 at time 1607965731941
Moved to 403, 687 at time 1607965732054
Moved to 404, 688 at time 1607965732144
Moved to 405, 689 at time 1607965732272
Moved to 406, 690 at time 1607965732374
Moved to 407, 691 at time 1607965732514
Moved to 408, 692 at time 1607965732860
Moved to 409, 693 at time 1607965733308
Moved to 410, 694 at time 1607965733715
Moved to 411, 695 at time 1607965734171
Moved to 412, 696 at time 1607965734560
Moved to 413, 697 at time 1607965734860
Moved to 414, 698 at time 1607965734976
Moved to 415, 699 at time 1607965735138
Moved to 416, 700 at time 1607965735171
Moved to 417, 701 at time 1607965735308
Moved to 418, 702 at time 1607965735387
