Attacked Unit@95973b8at position 1013, 305 at time 1607965644552
Moved to 1111, 555 at time 1607965743253
Moved to 1110, 554 at time 1607965743346
Moved to 1109, 553 at time 1607965743411
Moved to 1108, 552 at time 1607965743648
Moved to 1107, 551 at time 1607965744082
Moved to 1106, 550 at time 1607965744426
Moved to 1105, 549 at time 1607965744821
Moved to 1104, 548 at time 1607965745142
Moved to 1103, 547 at time 1607965745547
Moved to 1102, 546 at time 1607965745887
Moved to 1101, 545 at time 1607965746280
Moved to 1100, 544 at time 1607965746604
Moved to 1099, 543 at time 1607965746644
Moved to 1098, 542 at time 1607965746937
Moved to 1097, 541 at time 1607965747324
Moved to 1096, 540 at time 1607965747651
Moved to 1095, 539 at time 1607965748035
Moved to 1094, 538 at time 1607965748195
Moved to 1093, 537 at time 1607965748297
Moved to 1092, 536 at time 1607965748416
Moved to 1091, 535 at time 1607965748507
Moved to 1090, 534 at time 1607965748595
Moved to 1089, 533 at time 1607965748707
Moved to 1088, 532 at time 1607965748841
Moved to 1087, 531 at time 1607965748904
Moved to 1086, 530 at time 1607965749024
Moved to 1085, 529 at time 1607965749109
Moved to 1084, 528 at time 1607965749206
Moved to 1083, 527 at time 1607965749402
Moved to 1082, 526 at time 1607965749440
Moved to 1081, 525 at time 1607965749526
Moved to 1080, 524 at time 1607965749813
Moved to 1079, 523 at time 1607965749921
Moved to 1078, 522 at time 1607965750217
Moved to 1077, 521 at time 1607965750310
Moved to 1076, 520 at time 1607965750622
Moved to 1075, 519 at time 1607965750726
Moved to 1074, 518 at time 1607965751015
Moved to 1073, 517 at time 1607965751105
Moved to 1072, 516 at time 1607965751376
Moved to 1071, 515 at time 1607965751483
Moved to 1070, 514 at time 1607965751764
Moved to 1069, 513 at time 1607965751823
Moved to 1068, 512 at time 1607965751993
Moved to 1067, 511 at time 1607965752142
Moved to 1066, 510 at time 1607965752235
Moved to 1065, 509 at time 1607965752322
Moved to 1064, 508 at time 1607965752585
Moved to 1063, 507 at time 1607965752622
Moved to 1062, 506 at time 1607965752666
Moved to 1061, 505 at time 1607965753020
Moved to 1060, 504 at time 1607965753062
Moved to 1059, 503 at time 1607965753398
Moved to 1058, 502 at time 1607965753450
Moved to 1057, 501 at time 1607965753791
Moved to 1056, 500 at time 1607965753868
Moved to 1055, 499 at time 1607965754193
Moved to 1054, 498 at time 1607965754250
Moved to 1053, 497 at time 1607965754587
Moved to 1052, 496 at time 1607965754642
Moved to 1051, 495 at time 1607965754953
Moved to 1050, 494 at time 1607965754988
Moved to 1049, 493 at time 1607965755362
