Attacked Unit@28c4d5f3at position 1592, 414 at time 1607967053426
Attacked Unit@965adc7at position 1577, 446 at time 1607967097414
Attacked Unit@38ec0804at position 1658, 458 at time 1607967099239
Got attacked at 1587, 660 by Unit@27e8bfab at time 1607967099770
Got attacked at 1587, 660 by Falling off a bridge at time 1607967100283
Died at 1587, 660 at time 1607967100533
Moved to 2032, 1316 at time 1607969349868
Moved to 2031, 1315 at time 1607969394822
Moved to 2030, 1314 at time 1607969394914
Moved to 2029, 1313 at time 1607969394995
Moved to 2028, 1312 at time 1607969395112
Moved to 2027, 1311 at time 1607969395428
Moved to 2026, 1310 at time 1607969395699
Moved to 2025, 1309 at time 1607969395870
Moved to 2024, 1308 at time 1607969396275
Moved to 2023, 1307 at time 1607969396555
Moved to 2022, 1306 at time 1607969396607
Moved to 2021, 1305 at time 1607969396855
Moved to 2020, 1304 at time 1607969396969
Moved to 2019, 1303 at time 1607969397072
Moved to 2018, 1302 at time 1607969397220
Moved to 2017, 1301 at time 1607969397289
Moved to 2016, 1300 at time 1607969397358
Moved to 2015, 1299 at time 1607969397510
Moved to 2014, 1298 at time 1607969397701
Moved to 2013, 1297 at time 1607969397847
Moved to 2012, 1296 at time 1607969398004
Moved to 2011, 1295 at time 1607969398049
Moved to 2010, 1294 at time 1607969398417
Moved to 2009, 1293 at time 1607969398499
Moved to 2008, 1292 at time 1607969398647
Moved to 2007, 1291 at time 1607969398808
Moved to 2006, 1290 at time 1607969399069
Moved to 2005, 1289 at time 1607969399193
Moved to 2004, 1288 at time 1607969399257
Moved to 2003, 1287 at time 1607969399292
Moved to 2002, 1286 at time 1607969399370
Moved to 2001, 1285 at time 1607969399491
Moved to 2000, 1284 at time 1607969399555
Moved to 1999, 1283 at time 1607969399621
Moved to 1998, 1282 at time 1607969399687
Moved to 1997, 1281 at time 1607969399753
Moved to 1996, 1280 at time 1607969399838
Moved to 1995, 1279 at time 1607969399936
Moved to 1994, 1278 at time 1607969399986
Moved to 1993, 1277 at time 1607969400191
Moved to 1992, 1276 at time 1607969400241
Moved to 1991, 1275 at time 1607969400276
Moved to 1990, 1274 at time 1607969400339
Moved to 1989, 1273 at time 1607969400450
Moved to 1988, 1272 at time 1607969400505
Moved to 1987, 1271 at time 1607969400576
Moved to 1986, 1270 at time 1607969400665
Moved to 1985, 1269 at time 1607969400707
Moved to 1984, 1268 at time 1607969400800
Moved to 1983, 1267 at time 1607969400907
Moved to 1982, 1266 at time 1607969401025
Moved to 1981, 1265 at time 1607969401258
Moved to 1980, 1264 at time 1607969401543
Moved to 1979, 1263 at time 1607969401809
Moved to 1978, 1262 at time 1607969402052
Moved to 1977, 1261 at time 1607969402087
Moved to 1976, 1260 at time 1607969402445
Moved to 1975, 1259 at time 1607969402776
Moved to 1974, 1258 at time 1607969403108
Moved to 1973, 1257 at time 1607969403202
Moved to 1972, 1256 at time 1607969403433
Moved to 1971, 1255 at time 1607969403486
Moved to 1970, 1254 at time 1607969403662
Moved to 1969, 1253 at time 1607969403717
Moved to 1968, 1252 at time 1607969403896
Moved to 1967, 1251 at time 1607969403958
Moved to 1966, 1250 at time 1607969404180
Moved to 1965, 1249 at time 1607969404257
Moved to 1964, 1248 at time 1607969404474
Moved to 1963, 1247 at time 1607969404860
Moved to 1962, 1246 at time 1607969405005
Moved to 1961, 1245 at time 1607969405056
Moved to 1960, 1244 at time 1607969405172
Moved to 1959, 1243 at time 1607969405211
Moved to 1958, 1242 at time 1607969405424
Moved to 1957, 1241 at time 1607969405471
Moved to 1956, 1240 at time 1607969405523
Moved to 1955, 1239 at time 1607969405607
Moved to 1954, 1238 at time 1607969405727
Moved to 1953, 1237 at time 1607969405760
Moved to 1952, 1236 at time 1607969405853
Moved to 1951, 1235 at time 1607969405948
Moved to 1950, 1234 at time 1607969406037
Moved to 1949, 1233 at time 1607969406073
Moved to 1948, 1232 at time 1607969406171
Moved to 1947, 1231 at time 1607969406223
Moved to 1946, 1230 at time 1607969406281
Moved to 1945, 1229 at time 1607969406360
Moved to 1944, 1228 at time 1607969406424
Moved to 1943, 1227 at time 1607969406489
Moved to 1942, 1226 at time 1607969406550
Moved to 1941, 1225 at time 1607969406602
Moved to 1940, 1224 at time 1607969406674
Moved to 1939, 1223 at time 1607969406788
Moved to 1938, 1222 at time 1607969406951
Moved to 1937, 1221 at time 1607969407102
Moved to 1936, 1220 at time 1607969407137
Moved to 1935, 1219 at time 1607969407312
Moved to 1934, 1218 at time 1607969407359
Moved to 1933, 1217 at time 1607969407462
Moved to 1932, 1216 at time 1607969407518
Moved to 1931, 1215 at time 1607969407631
Moved to 1930, 1214 at time 1607969407685
Moved to 1929, 1213 at time 1607969407795
Moved to 1928, 1212 at time 1607969407921
Moved to 1927, 1211 at time 1607969407990
Moved to 1926, 1210 at time 1607969408070
Moved to 1925, 1209 at time 1607969408150
Moved to 1924, 1208 at time 1607969408233
Moved to 1923, 1207 at time 1607969408320
Moved to 1922, 1206 at time 1607969408406
Moved to 1921, 1205 at time 1607969408570
Moved to 1920, 1204 at time 1607969408636
Moved to 1919, 1203 at time 1607969408715
Moved to 1918, 1202 at time 1607969408791
Moved to 1917, 1201 at time 1607969408895
Moved to 1916, 1200 at time 1607969408938
Moved to 1915, 1199 at time 1607969409019
Moved to 1914, 1198 at time 1607969409059
Moved to 1913, 1197 at time 1607969409125
Moved to 1912, 1196 at time 1607969409207
Moved to 1911, 1195 at time 1607969409274
Moved to 1910, 1194 at time 1607969409341
Moved to 1909, 1193 at time 1607969409387
Moved to 1908, 1192 at time 1607969409478
Moved to 1907, 1191 at time 1607969409515
Moved to 1906, 1190 at time 1607969409587
Moved to 1905, 1189 at time 1607969409677
Moved to 1904, 1188 at time 1607969409761
Moved to 1903, 1187 at time 1607969409835
Moved to 1902, 1186 at time 1607969409872
Moved to 1901, 1185 at time 1607969409954
Moved to 1900, 1184 at time 1607969410011
Moved to 1899, 1183 at time 1607969410071
Moved to 1898, 1182 at time 1607969410156
Moved to 1897, 1181 at time 1607969410192
Moved to 1896, 1180 at time 1607969410275
Moved to 1895, 1179 at time 1607969410354
Moved to 1894, 1178 at time 1607969410408
Moved to 1893, 1177 at time 1607969410461
Moved to 1892, 1176 at time 1607969410521
Moved to 1891, 1175 at time 1607969410560
Moved to 1890, 1174 at time 1607969410621
Moved to 1889, 1173 at time 1607969410697
Moved to 1888, 1172 at time 1607969410766
Moved to 1887, 1171 at time 1607969410854
Moved to 1886, 1170 at time 1607969410917
Moved to 1885, 1169 at time 1607969411023
Moved to 1884, 1168 at time 1607969411121
Moved to 1883, 1167 at time 1607969411209
Moved to 1882, 1166 at time 1607969411290
Moved to 1881, 1165 at time 1607969411353
Moved to 1880, 1164 at time 1607969411413
Moved to 1879, 1163 at time 1607969411504
Moved to 1878, 1162 at time 1607969411668
Moved to 1877, 1161 at time 1607969411729
Moved to 1876, 1160 at time 1607969411770
Moved to 1875, 1159 at time 1607969411861
Moved to 1874, 1158 at time 1607969411906
Moved to 1873, 1157 at time 1607969411940
Moved to 1872, 1156 at time 1607969412012
Moved to 1871, 1155 at time 1607969412057
Moved to 1870, 1154 at time 1607969412092
Moved to 1869, 1153 at time 1607969412126
Moved to 1868, 1152 at time 1607969412269
Moved to 1867, 1151 at time 1607969412312
Moved to 1866, 1150 at time 1607969412444
Moved to 1865, 1149 at time 1607969412479
Moved to 1864, 1148 at time 1607969412672
Moved to 1863, 1147 at time 1607969412737
Moved to 1862, 1146 at time 1607969412828
Moved to 1861, 1145 at time 1607969412908
Moved to 1860, 1144 at time 1607969412996
Moved to 1859, 1143 at time 1607969413077
Moved to 1858, 1142 at time 1607969413200
Moved to 1857, 1141 at time 1607969413354
Moved to 1856, 1140 at time 1607969413471
Moved to 1855, 1139 at time 1607969413537
Moved to 1854, 1138 at time 1607969413576
Moved to 1853, 1137 at time 1607969413632
Moved to 1852, 1136 at time 1607969413752
Moved to 1851, 1135 at time 1607969413836
Moved to 1850, 1134 at time 1607969413926
Moved to 1849, 1133 at time 1607969413962
Moved to 1848, 1132 at time 1607969414003
Moved to 1847, 1131 at time 1607969414038
Moved to 1846, 1130 at time 1607969414112
Moved to 1845, 1129 at time 1607969414200
Moved to 1844, 1128 at time 1607969414280
Moved to 1843, 1127 at time 1607969414314
Moved to 1842, 1126 at time 1607969414521
Moved to 1841, 1125 at time 1607969414653
Moved to 1840, 1124 at time 1607969414902
Moved to 1839, 1123 at time 1607969415174
Moved to 1838, 1122 at time 1607969415307
Moved to 1837, 1121 at time 1607969415486
Moved to 1836, 1120 at time 1607969415624
Moved to 1835, 1119 at time 1607969415783
Moved to 1834, 1118 at time 1607969415930
Moved to 1833, 1117 at time 1607969415977
Moved to 1832, 1116 at time 1607969416208
Moved to 1831, 1115 at time 1607969416262
Moved to 1830, 1114 at time 1607969416296
Moved to 1829, 1113 at time 1607969416470
Moved to 1828, 1112 at time 1607969416545
Moved to 1827, 1111 at time 1607969416691
Moved to 1826, 1110 at time 1607969416756
Moved to 1825, 1109 at time 1607969416898
Moved to 1824, 1108 at time 1607969417037
Moved to 1823, 1107 at time 1607969417143
Moved to 1822, 1106 at time 1607969417251
Moved to 1821, 1105 at time 1607969417357
Moved to 1820, 1104 at time 1607969417397
Moved to 1819, 1103 at time 1607969417455
Moved to 1818, 1102 at time 1607969417499
Moved to 1817, 1101 at time 1607969417534
Moved to 1816, 1100 at time 1607969417622
Moved to 1815, 1099 at time 1607969417703
Moved to 1814, 1098 at time 1607969417744
Moved to 1813, 1097 at time 1607969417868
Moved to 1812, 1096 at time 1607969417908
Moved to 1811, 1095 at time 1607969418015
Moved to 1810, 1094 at time 1607969418114
Moved to 1809, 1093 at time 1607969418160
Moved to 1808, 1092 at time 1607969418214
Moved to 1807, 1091 at time 1607969418262
Moved to 1806, 1090 at time 1607969418323
Moved to 1805, 1089 at time 1607969418410
Moved to 1804, 1088 at time 1607969418452
Moved to 1803, 1087 at time 1607969418498
Moved to 1802, 1086 at time 1607969418582
Moved to 1801, 1085 at time 1607969418644
Moved to 1800, 1084 at time 1607969418752
Moved to 1799, 1083 at time 1607969418816
Moved to 1798, 1082 at time 1607969418877
Moved to 1797, 1081 at time 1607969418944
Moved to 1796, 1080 at time 1607969419028
Moved to 1795, 1079 at time 1607969419123
Moved to 1794, 1078 at time 1607969419197
Moved to 1793, 1077 at time 1607969419306
Moved to 1792, 1076 at time 1607969419385
Moved to 1791, 1075 at time 1607969419481
Moved to 1790, 1074 at time 1607969419549
Moved to 1789, 1073 at time 1607969419616
Moved to 1788, 1072 at time 1607969419667
Moved to 1787, 1071 at time 1607969419723
Moved to 1786, 1070 at time 1607969419776
Moved to 1785, 1069 at time 1607969419837
Moved to 1784, 1068 at time 1607969419931
Moved to 1783, 1067 at time 1607969420044
Moved to 1782, 1066 at time 1607969420191
Moved to 1781, 1065 at time 1607969420271
Moved to 1780, 1064 at time 1607969420403
Moved to 1779, 1063 at time 1607969420492
Moved to 1778, 1062 at time 1607969420637
Moved to 1777, 1061 at time 1607969420722
Moved to 1776, 1060 at time 1607969421026
Moved to 1775, 1059 at time 1607969421086
Moved to 1774, 1058 at time 1607969421171
Moved to 1773, 1057 at time 1607969421206
Moved to 1772, 1056 at time 1607969421430
Moved to 1771, 1055 at time 1607969421547
Moved to 1770, 1054 at time 1607969421705
Moved to 1769, 1053 at time 1607969421834
Moved to 1768, 1052 at time 1607969421951
Moved to 1767, 1051 at time 1607969422038
Moved to 1766, 1050 at time 1607969422089
Moved to 1765, 1049 at time 1607969422186
Moved to 1764, 1048 at time 1607969422229
Moved to 1763, 1047 at time 1607969422321
Moved to 1762, 1046 at time 1607969422392
Moved to 1761, 1045 at time 1607969422490
