Attacked Unit@6c3438d3at position 338, 235 at time 1610736934715
Got attacked at 403, 386 by Unit@4be9e301 at time 1610736934840
Attacked Unit@4be9e301at position 291, 432 at time 1610736936629
Attacked Unit@7b6fb04at position 425, 252 at time 1610736938249
Moved to 402, 385 at time 1610736938475
Moved to 401, 384 at time 1610736938533
Moved to 400, 383 at time 1610736938586
Moved to 399, 382 at time 1610736938641
Moved to 398, 381 at time 1610736938700
Moved to 397, 380 at time 1610736938767
Moved to 396, 379 at time 1610736938820
Moved to 395, 378 at time 1610736938896
Moved to 394, 377 at time 1610736938953
Moved to 393, 376 at time 1610736939024
Moved to 392, 375 at time 1610736939091
Moved to 391, 374 at time 1610736939187
Moved to 390, 373 at time 1610736939244
Moved to 389, 372 at time 1610736939300
Moved to 388, 371 at time 1610736939355
Moved to 387, 370 at time 1610736939451
Moved to 386, 369 at time 1610736939520
Moved to 385, 368 at time 1610736939595
Moved to 384, 367 at time 1610736939702
Moved to 383, 366 at time 1610736939767
Moved to 384, 366 at time 1610736939905
Moved to 385, 367 at time 1610736939963
Moved to 386, 368 at time 1610736940024
Moved to 387, 369 at time 1610736940079
Moved to 388, 370 at time 1610736940147
Moved to 389, 371 at time 1610736940205
Moved to 390, 372 at time 1610736940258
Moved to 391, 373 at time 1610736940313
Moved to 392, 374 at time 1610736940366
Moved to 393, 375 at time 1610736940425
Moved to 394, 376 at time 1610736940498
Moved to 395, 377 at time 1610736940551
Moved to 396, 378 at time 1610736940604
Moved to 397, 379 at time 1610736940660
Moved to 398, 380 at time 1610736940716
Moved to 399, 381 at time 1610736940779
Moved to 400, 382 at time 1610736940836
Moved to 401, 383 at time 1610736940892
Moved to 402, 384 at time 1610736940952
Moved to 403, 385 at time 1610736941016
