Attacked Unit@2de232ddat position 1694, 329 at time 1607968586256
Attacked Unit@1bbe316at position 1838, 876 at time 1607968718343
Attacked Unit@7d0fa817at position 1838, 915 at time 1607968720092
Moved to 1570, 690 at time 1607968720249
Moved to 1571, 691 at time 1607968720317
Moved to 1572, 692 at time 1607968720386
Moved to 1573, 693 at time 1607968720441
Attacked Unit@2adc9affat position 1842, 882 at time 1607968721935
Attacked Unit@2adc9affat position 1842, 882 at time 1607968723711
Attacked Unit@58ab4e89at position 1842, 854 at time 1607968725481
Got attacked at 1573, 693 by Unit@58ab4e89 at time 1607968725580
Moved to 1574, 694 at time 1607968726126
Moved to 1575, 693 at time 1607968726270
Moved to 1576, 692 at time 1607968726456
Moved to 1577, 693 at time 1607968726594
Moved to 1578, 694 at time 1607968726767
Moved to 1579, 695 at time 1607968726849
Moved to 1580, 694 at time 1607968727022
Moved to 1581, 695 at time 1607968727184
Moved to 1582, 696 at time 1607968727375
Moved to 1583, 697 at time 1607968727503
Moved to 1585, 696 at time 1607968727649
Moved to 1586, 697 at time 1607968727716
Moved to 1587, 696 at time 1607968727802
Moved to 1588, 695 at time 1607968727873
Moved to 1589, 696 at time 1607968727908
Moved to 1591, 695 at time 1607968728128
Moved to 1592, 696 at time 1607968728193
Moved to 1593, 697 at time 1607968728311
Moved to 1594, 696 at time 1607968728363
Moved to 1595, 695 at time 1607968728482
Moved to 1596, 696 at time 1607968728536
Moved to 1597, 697 at time 1607968728651
Moved to 1598, 698 at time 1607968728716
Moved to 1599, 697 at time 1607968728840
Moved to 1600, 698 at time 1607968728919
Moved to 1601, 697 at time 1607968728953
Moved to 1602, 696 at time 1607968729141
Moved to 1603, 697 at time 1607968729287
Moved to 1605, 696 at time 1607968729631
Moved to 1606, 697 at time 1607968729820
Moved to 1607, 696 at time 1607968730009
Moved to 1608, 695 at time 1607968730069
Moved to 1609, 694 at time 1607968730171
Moved to 1610, 695 at time 1607968730253
Moved to 1611, 694 at time 1607968730329
Moved to 1612, 693 at time 1607968730401
Moved to 1613, 694 at time 1607968730493
Moved to 1614, 695 at time 1607968730568
Moved to 1615, 696 at time 1607968730648
Moved to 1616, 695 at time 1607968730712
Moved to 1617, 694 at time 1607968730805
Moved to 1618, 693 at time 1607968730875
Moved to 1619, 694 at time 1607968730957
Moved to 1620, 693 at time 1607968731001
Moved to 1621, 692 at time 1607968731056
Moved to 1622, 693 at time 1607968731103
Moved to 1623, 692 at time 1607968731152
Moved to 1624, 691 at time 1607968731201
