Attacked Unit@43622cd4at position 677, 493 at time 1607965644427
Moved to 505, 259 at time 1607965646177
Moved to 506, 260 at time 1607965646568
Moved to 507, 261 at time 1607965708014
Moved to 508, 262 at time 1607965708231
Moved to 509, 263 at time 1607965708409
Moved to 510, 264 at time 1607965708642
Moved to 511, 265 at time 1607965708832
Moved to 512, 266 at time 1607965708875
Moved to 513, 267 at time 1607965709048
Moved to 514, 268 at time 1607965709239
Moved to 515, 269 at time 1607965709410
Moved to 516, 270 at time 1607965709444
Moved to 517, 271 at time 1607965709584
Moved to 518, 272 at time 1607965709695
Moved to 519, 273 at time 1607965710342
Moved to 520, 274 at time 1607965710388
Moved to 521, 275 at time 1607965710815
Moved to 522, 276 at time 1607965711344
Moved to 523, 277 at time 1607965711761
Moved to 524, 278 at time 1607965711919
Moved to 525, 279 at time 1607965712420
Moved to 526, 280 at time 1607965712486
Moved to 527, 281 at time 1607965712792
Moved to 528, 282 at time 1607965712844
Moved to 529, 283 at time 1607965713261
Moved to 530, 284 at time 1607965713358
Moved to 531, 285 at time 1607965713959
Moved to 532, 286 at time 1607965714283
Moved to 533, 287 at time 1607965714800
Moved to 534, 288 at time 1607965714858
Moved to 535, 289 at time 1607965715135
Moved to 536, 290 at time 1607965715278
Moved to 537, 291 at time 1607965715435
Moved to 538, 292 at time 1607965715602
Moved to 539, 293 at time 1607965715817
Moved to 540, 294 at time 1607965715971
Moved to 541, 295 at time 1607965716268
Moved to 542, 296 at time 1607965716490
Moved to 543, 297 at time 1607965716745
Moved to 544, 298 at time 1607965716838
Moved to 545, 299 at time 1607965716939
Moved to 546, 300 at time 1607965717085
Moved to 547, 301 at time 1607965717181
Moved to 548, 302 at time 1607965717265
Moved to 549, 303 at time 1607965717300
Moved to 550, 304 at time 1607965717514
Moved to 551, 305 at time 1607965717636
Moved to 552, 306 at time 1607965717876
Moved to 553, 307 at time 1607965718385
Moved to 554, 308 at time 1607965718619
Moved to 555, 309 at time 1607965718785
Moved to 556, 310 at time 1607965718955
Moved to 557, 311 at time 1607965719229
Moved to 558, 312 at time 1607965719281
Moved to 559, 313 at time 1607965719613
Moved to 560, 314 at time 1607965719703
Moved to 561, 315 at time 1607965720142
Moved to 562, 316 at time 1607965720251
Moved to 563, 317 at time 1607965720680
Moved to 564, 318 at time 1607965720760
Moved to 565, 319 at time 1607965721190
Moved to 566, 320 at time 1607965721286
Moved to 567, 321 at time 1607965721540
Moved to 568, 322 at time 1607965721739
Moved to 569, 323 at time 1607965721864
Moved to 570, 324 at time 1607965722031
Moved to 569, 323 at time 1607965722143
Moved to 568, 322 at time 1607965722291
Moved to 567, 321 at time 1607965722581
Moved to 566, 320 at time 1607965722825
Moved to 565, 319 at time 1607965723001
Moved to 564, 318 at time 1607965723309
Moved to 563, 317 at time 1607965723422
Moved to 562, 316 at time 1607965723662
Moved to 561, 315 at time 1607965723884
Moved to 560, 314 at time 1607965724192
Moved to 559, 313 at time 1607965724374
Moved to 558, 312 at time 1607965724673
Moved to 557, 311 at time 1607965724865
Moved to 556, 310 at time 1607965725163
Moved to 555, 309 at time 1607965725352
Moved to 554, 308 at time 1607965725621
Moved to 553, 307 at time 1607965725797
Moved to 552, 306 at time 1607965726082
Moved to 551, 305 at time 1607965726256
Moved to 550, 304 at time 1607965726556
Moved to 549, 303 at time 1607965726709
Moved to 548, 302 at time 1607965727004
Moved to 547, 301 at time 1607965727136
Moved to 546, 300 at time 1607965727432
Moved to 545, 299 at time 1607965727599
Moved to 544, 298 at time 1607965727900
Moved to 543, 297 at time 1607965728063
Moved to 542, 296 at time 1607965728345
Moved to 541, 295 at time 1607965728499
Moved to 540, 294 at time 1607965728813
Moved to 539, 293 at time 1607965728986
Moved to 538, 292 at time 1607965729284
Moved to 537, 291 at time 1607965729443
Moved to 536, 290 at time 1607965729571
Moved to 535, 289 at time 1607965729608
Moved to 534, 288 at time 1607965729692
Moved to 533, 287 at time 1607965729840
Moved to 532, 286 at time 1607965729985
Moved to 531, 285 at time 1607965730095
Moved to 530, 284 at time 1607965730322
Moved to 529, 283 at time 1607965730497
Moved to 528, 282 at time 1607965730770
Moved to 527, 281 at time 1607965730923
Moved to 526, 280 at time 1607965731203
Moved to 525, 279 at time 1607965731348
Moved to 524, 278 at time 1607965731441
Moved to 523, 277 at time 1607965731581
Moved to 522, 276 at time 1607965731666
Moved to 521, 275 at time 1607965731701
Moved to 520, 274 at time 1607965731773
Moved to 519, 273 at time 1607965731811
Moved to 518, 272 at time 1607965731873
Moved to 517, 271 at time 1607965731921
Moved to 516, 270 at time 1607965731974
Moved to 515, 269 at time 1607965732018
Moved to 514, 268 at time 1607965732076
Moved to 513, 267 at time 1607965732122
Moved to 512, 266 at time 1607965732187
Moved to 511, 265 at time 1607965732226
Moved to 510, 264 at time 1607965732299
Moved to 509, 263 at time 1607965732346
Moved to 508, 262 at time 1607965732427
Moved to 507, 261 at time 1607965732691
Moved to 506, 260 at time 1607965733061
Moved to 505, 259 at time 1607965733107
Moved to 504, 258 at time 1607965733496
