Attacked Unit@10c68cebat position 463, 660 at time 1607965644384
Moved to 314, 732 at time 1607965740653
Moved to 315, 733 at time 1607965740711
Moved to 316, 734 at time 1607965740748
Moved to 317, 735 at time 1607965740858
Moved to 316, 736 at time 1607965740979
Moved to 315, 737 at time 1607965741089
Moved to 314, 738 at time 1607965741222
Moved to 313, 739 at time 1607965741374
Moved to 312, 740 at time 1607965741501
Moved to 311, 741 at time 1607965741715
Moved to 310, 742 at time 1607965741857
Moved to 309, 743 at time 1607965741970
Moved to 308, 744 at time 1607965742061
Moved to 307, 745 at time 1607965742173
Moved to 306, 746 at time 1607965742251
Moved to 305, 747 at time 1607965742357
Moved to 304, 748 at time 1607965742430
Moved to 303, 749 at time 1607965742510
Moved to 302, 750 at time 1607965742553
Moved to 301, 751 at time 1607965742616
Moved to 300, 752 at time 1607965742669
Moved to 299, 753 at time 1607965742728
Moved to 298, 754 at time 1607965742779
Moved to 297, 755 at time 1607965742842
Moved to 296, 756 at time 1607965742895
Moved to 295, 757 at time 1607965742957
Moved to 294, 758 at time 1607965743010
Moved to 293, 759 at time 1607965743069
Moved to 292, 760 at time 1607965743122
Moved to 291, 761 at time 1607965743181
Moved to 290, 762 at time 1607965743232
Moved to 289, 763 at time 1607965743280
Moved to 288, 764 at time 1607965743319
Moved to 287, 765 at time 1607965743364
Moved to 286, 766 at time 1607965743512
Moved to 285, 767 at time 1607965743858
Moved to 284, 768 at time 1607965743901
Moved to 283, 769 at time 1607965744245
Moved to 282, 770 at time 1607965744637
Moved to 281, 771 at time 1607965744981
Moved to 280, 772 at time 1607965745360
Moved to 279, 773 at time 1607965745709
Moved to 278, 774 at time 1607965746101
Moved to 277, 775 at time 1607965746434
Moved to 276, 776 at time 1607965746796
Moved to 275, 777 at time 1607965747117
Moved to 274, 778 at time 1607965747158
Moved to 273, 779 at time 1607965747474
Moved to 272, 780 at time 1607965747516
Moved to 271, 781 at time 1607965747826
Moved to 270, 782 at time 1607965747869
Moved to 269, 783 at time 1607965748132
Moved to 268, 784 at time 1607965748248
Moved to 267, 785 at time 1607965748358
Moved to 266, 786 at time 1607965748465
Moved to 265, 787 at time 1607965748550
Moved to 264, 788 at time 1607965748641
Moved to 263, 789 at time 1607965748795
Moved to 262, 790 at time 1607965748865
Moved to 261, 791 at time 1607965748900
Moved to 260, 792 at time 1607965748937
Moved to 259, 793 at time 1607965748996
Moved to 258, 794 at time 1607965749169
Moved to 257, 795 at time 1607965749459
Moved to 256, 796 at time 1607965749509
Moved to 255, 797 at time 1607965749830
Moved to 254, 798 at time 1607965749901
Moved to 253, 799 at time 1607965750238
Moved to 252, 800 at time 1607965750294
Moved to 251, 801 at time 1607965750643
Moved to 250, 802 at time 1607965750700
Moved to 249, 803 at time 1607965751038
Moved to 248, 804 at time 1607965751079
Moved to 247, 805 at time 1607965751405
Moved to 246, 806 at time 1607965751457
Moved to 245, 807 at time 1607965751780
Moved to 244, 808 at time 1607965752024
Moved to 243, 809 at time 1607965752114
Moved to 242, 810 at time 1607965752281
Moved to 241, 811 at time 1607965752316
Moved to 240, 812 at time 1607965752592
Moved to 239, 813 at time 1607965752690
Moved to 238, 814 at time 1607965752992
Moved to 237, 815 at time 1607965753086
Moved to 236, 816 at time 1607965753375
Moved to 235, 817 at time 1607965753458
Moved to 234, 818 at time 1607965753785
Moved to 233, 819 at time 1607965753876
Moved to 232, 820 at time 1607965754176
Moved to 231, 821 at time 1607965754266
Moved to 230, 822 at time 1607965754568
Moved to 229, 823 at time 1607965754662
Moved to 228, 824 at time 1607965754937
Moved to 227, 825 at time 1607965755032
Moved to 226, 826 at time 1607965755312
Moved to 225, 827 at time 1607965755410
Moved to 224, 828 at time 1607965755695
Moved to 223, 829 at time 1607965755793
Moved to 222, 830 at time 1607965756073
Moved to 221, 831 at time 1607965756111
Moved to 220, 832 at time 1607965756516
Moved to 219, 833 at time 1607965756552
Moved to 218, 834 at time 1607965756844
Moved to 217, 835 at time 1607965756896
Moved to 216, 836 at time 1607965757158
Moved to 215, 837 at time 1607965757242
Moved to 214, 838 at time 1607965757542
Moved to 213, 839 at time 1607965757619
Moved to 212, 840 at time 1607965757920
Moved to 211, 841 at time 1607965758015
Moved to 210, 842 at time 1607965758290
Moved to 209, 843 at time 1607965758397
Moved to 208, 844 at time 1607965758697
Moved to 207, 845 at time 1607965758831
Moved to 206, 846 at time 1607965759112
Moved to 205, 847 at time 1607965759217
Moved to 204, 848 at time 1607965759492
Moved to 203, 849 at time 1607965759608
Moved to 202, 850 at time 1607965759870
Moved to 201, 851 at time 1607965759996
Moved to 200, 852 at time 1607965760084
Moved to 199, 853 at time 1607965760224
Moved to 198, 854 at time 1607965760308
Moved to 197, 855 at time 1607965760437
Moved to 196, 856 at time 1607965760541
Moved to 195, 857 at time 1607965760651
Moved to 194, 858 at time 1607965760716
Moved to 193, 859 at time 1607965760811
Moved to 192, 860 at time 1607965760875
Moved to 191, 861 at time 1607965760980
Moved to 190, 862 at time 1607965761034
Moved to 189, 863 at time 1607965761181
Moved to 185, 864 at time 1607965761571
Moved to 182, 865 at time 1607965761737
Moved to 194, 868 at time 1607965765328
Moved to 195, 869 at time 1607965765673
Moved to 196, 870 at time 1607965765710
Moved to 197, 871 at time 1607965766051
Moved to 198, 872 at time 1607965766464
Moved to 199, 873 at time 1607965766499
Moved to 231, 887 at time 1607965793091
Got attacked at 231, 893 by Unit@41f559db at time 1607965794368
Got attacked at 231, 893 by Unit@2efd5dc5 at time 1607965794490
Got attacked at 231, 893 by Unit@25ffea5a at time 1607965794496
Got attacked at 231, 893 by Unit@5fc4c769 at time 1607965794570
Attacked Unit@9563ad4at position 231, 1162 at time 1607965794610
Got attacked at 231, 893 by Unit@2d3c85db at time 1607965794703
Got attacked at 231, 893 by Unit@9563ad4 at time 1607965794856
Got attacked at 231, 893 by Unit@3f8a9fd2 at time 1607965795664
Died at 231, 893 at time 1607965795818
