Attacked Unit@27e8bfabat position 1555, 489 at time 1607967053571
Moved to 2895, 1189 at time 1607969403818
Moved to 2894, 1188 at time 1607969404052
Moved to 2893, 1187 at time 1607969404086
Moved to 2892, 1186 at time 1607969404334
Moved to 2891, 1185 at time 1607969404379
Moved to 2890, 1184 at time 1607969404414
Moved to 2889, 1183 at time 1607969404545
Moved to 2888, 1182 at time 1607969404766
Moved to 2887, 1181 at time 1607969404925
Moved to 2886, 1180 at time 1607969405128
Moved to 2885, 1179 at time 1607969405340
Moved to 2884, 1178 at time 1607969405400
Moved to 2883, 1177 at time 1607969405485
Moved to 2882, 1176 at time 1607969405573
Moved to 2881, 1175 at time 1607969405614
Moved to 2880, 1174 at time 1607969405712
Moved to 2879, 1173 at time 1607969405893
Moved to 2878, 1172 at time 1607969406065
Moved to 2877, 1171 at time 1607969406101
Moved to 2876, 1170 at time 1607969406175
Moved to 2875, 1169 at time 1607969406219
Moved to 2874, 1168 at time 1607969406287
Moved to 2873, 1167 at time 1607969406358
Moved to 2872, 1166 at time 1607969406426
Moved to 2871, 1165 at time 1607969406486
Moved to 2870, 1164 at time 1607969406552
Moved to 2869, 1163 at time 1607969406600
Moved to 2868, 1162 at time 1607969406682
Moved to 2867, 1161 at time 1607969406775
Moved to 2866, 1160 at time 1607969406967
Moved to 2865, 1159 at time 1607969407091
Moved to 2864, 1158 at time 1607969407353
Moved to 2863, 1157 at time 1607969407469
Moved to 2862, 1156 at time 1607969407669
Moved to 2861, 1155 at time 1607969407813
Moved to 2860, 1154 at time 1607969407911
Moved to 2859, 1153 at time 1607969407994
Moved to 2858, 1152 at time 1607969408062
Moved to 2857, 1151 at time 1607969408156
Moved to 2856, 1150 at time 1607969408190
Moved to 2855, 1149 at time 1607969408254
Moved to 2854, 1148 at time 1607969408295
Moved to 2853, 1147 at time 1607969408328
Moved to 2852, 1146 at time 1607969408390
Moved to 2851, 1145 at time 1607969408552
Moved to 2850, 1144 at time 1607969408658
Moved to 2849, 1143 at time 1607969408820
Moved to 2848, 1142 at time 1607969408861
Moved to 2847, 1141 at time 1607969408908
Moved to 2846, 1140 at time 1607969408982
Moved to 2845, 1139 at time 1607969409041
Moved to 2844, 1138 at time 1607969409092
Moved to 2843, 1137 at time 1607969409140
Moved to 2842, 1136 at time 1607969409174
Moved to 2841, 1135 at time 1607969409257
Moved to 2840, 1134 at time 1607969409353
Moved to 2839, 1133 at time 1607969409426
Moved to 2838, 1132 at time 1607969409512
Moved to 2837, 1131 at time 1607969409589
Moved to 2836, 1130 at time 1607969409675
Moved to 2835, 1129 at time 1607969409716
Moved to 2834, 1128 at time 1607969409774
Moved to 2833, 1127 at time 1607969409822
Moved to 2832, 1126 at time 1607969409884
Moved to 2831, 1125 at time 1607969409960
Moved to 2830, 1124 at time 1607969410003
Moved to 2829, 1123 at time 1607969410078
Moved to 2828, 1122 at time 1607969410154
Moved to 2827, 1121 at time 1607969410192
Moved to 2826, 1120 at time 1607969410263
Moved to 2825, 1119 at time 1607969410365
Moved to 2824, 1118 at time 1607969410446
Moved to 2823, 1117 at time 1607969410531
Moved to 2822, 1116 at time 1607969410600
Moved to 2821, 1115 at time 1607969410722
Moved to 2820, 1114 at time 1607969410791
Moved to 2819, 1113 at time 1607969410878
Moved to 2818, 1112 at time 1607969410976
Moved to 2817, 1111 at time 1607969411092
Moved to 2816, 1110 at time 1607969411179
Moved to 2815, 1109 at time 1607969411261
Moved to 2814, 1108 at time 1607969411333
Moved to 2813, 1107 at time 1607969411436
Moved to 2812, 1106 at time 1607969411589
Moved to 2811, 1105 at time 1607969411705
Moved to 2810, 1104 at time 1607969411749
Moved to 2809, 1103 at time 1607969411803
Moved to 2808, 1102 at time 1607969411894
Moved to 2807, 1101 at time 1607969411995
Moved to 2806, 1100 at time 1607969412183
Moved to 2805, 1099 at time 1607969412393
Moved to 2804, 1098 at time 1607969412528
Moved to 2803, 1097 at time 1607969412718
Moved to 2802, 1096 at time 1607969412850
Moved to 2801, 1095 at time 1607969412884
Moved to 2800, 1094 at time 1607969413018
Moved to 2799, 1093 at time 1607969413055
Moved to 2798, 1092 at time 1607969413180
Moved to 2797, 1091 at time 1607969413493
Moved to 2796, 1090 at time 1607969413621
Moved to 2795, 1089 at time 1607969413672
Moved to 2794, 1088 at time 1607969413713
Moved to 2793, 1087 at time 1607969413770
Moved to 2792, 1086 at time 1607969413892
Moved to 2791, 1085 at time 1607969413940
Moved to 2790, 1084 at time 1607969414024
Moved to 2789, 1083 at time 1607969414072
Moved to 2788, 1082 at time 1607969414133
Moved to 2787, 1081 at time 1607969414178
Moved to 2786, 1080 at time 1607969414243
Moved to 2785, 1079 at time 1607969414317
Moved to 2784, 1078 at time 1607969414411
Moved to 2783, 1077 at time 1607969414579
Moved to 2782, 1076 at time 1607969414770
Moved to 2781, 1075 at time 1607969415051
Moved to 2780, 1074 at time 1607969415271
Moved to 2779, 1073 at time 1607969415460
Moved to 2778, 1072 at time 1607969415648
Moved to 2777, 1071 at time 1607969415765
Moved to 2776, 1070 at time 1607969415860
Moved to 2775, 1069 at time 1607969416061
Moved to 2774, 1068 at time 1607969416122
Moved to 2773, 1067 at time 1607969416347
Moved to 2772, 1066 at time 1607969416431
Moved to 2771, 1065 at time 1607969416595
Moved to 2770, 1064 at time 1607969416655
Moved to 2769, 1063 at time 1607969416806
Moved to 2768, 1062 at time 1607969416848
Moved to 2767, 1061 at time 1607969416962
Moved to 2766, 1060 at time 1607969417057
Moved to 2765, 1059 at time 1607969417128
Moved to 2764, 1058 at time 1607969417242
Moved to 2763, 1057 at time 1607969417345
Moved to 2762, 1056 at time 1607969417409
Moved to 2761, 1055 at time 1607969417445
Moved to 2760, 1054 at time 1607969417510
Moved to 2759, 1053 at time 1607969417581
Moved to 2758, 1052 at time 1607969417628
Moved to 2757, 1051 at time 1607969417693
Moved to 2756, 1050 at time 1607969417757
Moved to 2755, 1049 at time 1607969417854
Moved to 2754, 1048 at time 1607969417919
Moved to 2753, 1047 at time 1607969417999
Moved to 2752, 1046 at time 1607969418060
Moved to 2751, 1045 at time 1607969418143
Moved to 2750, 1044 at time 1607969418231
Moved to 2749, 1043 at time 1607969418298
Moved to 2748, 1042 at time 1607969418339
Moved to 2747, 1041 at time 1607969418418
Moved to 2746, 1040 at time 1607969418490
Moved to 2745, 1039 at time 1607969418590
Moved to 2744, 1038 at time 1607969418632
Moved to 2743, 1037 at time 1607969418669
Moved to 2742, 1036 at time 1607969418729
Moved to 2741, 1035 at time 1607969418839
Moved to 2740, 1034 at time 1607969418904
Moved to 2739, 1033 at time 1607969418939
Moved to 2738, 1032 at time 1607969419033
Moved to 2737, 1031 at time 1607969419114
Moved to 2736, 1030 at time 1607969419161
Moved to 2735, 1029 at time 1607969419212
Moved to 2734, 1028 at time 1607969419291
Moved to 2733, 1027 at time 1607969419344
Moved to 2732, 1026 at time 1607969419405
Moved to 2731, 1025 at time 1607969419440
Moved to 2730, 1024 at time 1607969419489
Moved to 2729, 1023 at time 1607969419540
Moved to 2728, 1022 at time 1607969419627
Moved to 2727, 1021 at time 1607969419712
Moved to 2726, 1020 at time 1607969419788
Moved to 2725, 1019 at time 1607969419824
Moved to 2724, 1018 at time 1607969419859
Moved to 2723, 1017 at time 1607969419897
Moved to 2722, 1016 at time 1607969419981
Moved to 2721, 1015 at time 1607969420122
Moved to 2720, 1014 at time 1607969420319
Moved to 2719, 1013 at time 1607969420584
Moved to 2718, 1012 at time 1607969420784
Moved to 2717, 1011 at time 1607969420821
Moved to 2716, 1010 at time 1607969421052
Moved to 2715, 1009 at time 1607969421283
Moved to 2714, 1008 at time 1607969421381
Moved to 2713, 1007 at time 1607969421442
Moved to 2712, 1006 at time 1607969421609
Moved to 2711, 1005 at time 1607969421788
Moved to 2710, 1004 at time 1607969421898
Moved to 2709, 1003 at time 1607969422040
Moved to 2708, 1002 at time 1607969422223
Moved to 2707, 1001 at time 1607969422408
Moved to 2706, 1000 at time 1607969422475
Moved to 2705, 999 at time 1607969422642
Moved to 2704, 998 at time 1607969422791
Moved to 2703, 997 at time 1607969422925
Moved to 2702, 996 at time 1607969423066
Moved to 2701, 995 at time 1607969423201
Moved to 2700, 994 at time 1607969423508
Moved to 2699, 993 at time 1607969423861
Moved to 2698, 992 at time 1607969424057
Moved to 2697, 991 at time 1607969424359
Moved to 2696, 990 at time 1607969424616
Moved to 2695, 989 at time 1607969424759
Moved to 2694, 988 at time 1607969424957
Moved to 2693, 987 at time 1607969425039
Moved to 2692, 986 at time 1607969425101
Moved to 2691, 985 at time 1607969425318
Moved to 2690, 984 at time 1607969425366
Moved to 2689, 983 at time 1607969425591
Moved to 2688, 982 at time 1607969425636
Moved to 2687, 981 at time 1607969425857
Moved to 2686, 980 at time 1607969425898
Moved to 2685, 979 at time 1607969426081
Moved to 2684, 978 at time 1607969426312
Moved to 2683, 977 at time 1607969426599
Moved to 2682, 976 at time 1607969426844
Moved to 2681, 975 at time 1607969426917
Moved to 2680, 974 at time 1607969426979
Moved to 2679, 973 at time 1607969427058
Moved to 2678, 972 at time 1607969427093
Moved to 2677, 971 at time 1607969427128
Moved to 2676, 970 at time 1607969427200
Moved to 2675, 969 at time 1607969427266
Moved to 2674, 968 at time 1607969427311
Moved to 2673, 967 at time 1607969427345
Moved to 2672, 966 at time 1607969427414
Moved to 2671, 965 at time 1607969427492
Moved to 2670, 964 at time 1607969427575
Moved to 2669, 963 at time 1607969427615
Moved to 2668, 962 at time 1607969427663
Moved to 2667, 961 at time 1607969427743
Moved to 2666, 960 at time 1607969427802
Moved to 2665, 959 at time 1607969427866
Moved to 2664, 958 at time 1607969427952
Moved to 2663, 957 at time 1607969428012
Moved to 2662, 956 at time 1607969428078
Moved to 2661, 955 at time 1607969428116
Moved to 2660, 954 at time 1607969428179
Moved to 2659, 953 at time 1607969428383
Moved to 2658, 952 at time 1607969428631
Moved to 2657, 951 at time 1607969428806
Moved to 2656, 950 at time 1607969429086
Moved to 2655, 949 at time 1607969429302
Moved to 2654, 948 at time 1607969429339
Moved to 2653, 947 at time 1607969429547
Moved to 2652, 946 at time 1607969429834
Moved to 2651, 945 at time 1607969430076
Moved to 2650, 944 at time 1607969430229
Moved to 2649, 943 at time 1607969430288
Moved to 2648, 942 at time 1607969430370
Moved to 2647, 941 at time 1607969430489
Moved to 2646, 940 at time 1607969430612
Moved to 2645, 939 at time 1607969430730
Moved to 2644, 938 at time 1607969430884
Moved to 2643, 937 at time 1607969430952
Moved to 2642, 936 at time 1607969430987
Moved to 2641, 935 at time 1607969431126
Moved to 2640, 934 at time 1607969431161
Moved to 2639, 933 at time 1607969431240
Moved to 2638, 932 at time 1607969431287
Moved to 2637, 931 at time 1607969431370
Moved to 2636, 930 at time 1607969431424
Moved to 2635, 929 at time 1607969431502
Moved to 2634, 928 at time 1607969431589
Moved to 2633, 927 at time 1607969431624
Moved to 2632, 926 at time 1607969431730
Moved to 2631, 925 at time 1607969431806
Moved to 2630, 924 at time 1607969431910
Moved to 2629, 923 at time 1607969431946
Moved to 2628, 922 at time 1607969432032
Moved to 2627, 921 at time 1607969432097
Moved to 2626, 920 at time 1607969432262
Moved to 2625, 919 at time 1607969432297
Moved to 2624, 918 at time 1607969432333
Moved to 2623, 917 at time 1607969432368
Moved to 2622, 916 at time 1607969432409
Moved to 2621, 915 at time 1607969432599
Moved to 2620, 914 at time 1607969432657
Moved to 2619, 913 at time 1607969432847
Moved to 2618, 912 at time 1607969432901
Moved to 2617, 911 at time 1607969433011
Moved to 2616, 910 at time 1607969433164
Moved to 2615, 909 at time 1607969433283
Moved to 2614, 908 at time 1607969433413
Moved to 2613, 907 at time 1607969433566
Moved to 2612, 906 at time 1607969433723
Moved to 2611, 905 at time 1607969433892
Moved to 2610, 904 at time 1607969434016
Moved to 2609, 903 at time 1607969434179
Moved to 2608, 902 at time 1607969434317
Moved to 2607, 901 at time 1607969434495
Moved to 2606, 900 at time 1607969434533
Moved to 2605, 899 at time 1607969434620
Moved to 2604, 898 at time 1607969434663
Moved to 2603, 897 at time 1607969434743
Moved to 2602, 896 at time 1607969434814
Moved to 2601, 895 at time 1607969434914
Moved to 2600, 894 at time 1607969434987
Moved to 2599, 893 at time 1607969435049
Moved to 2598, 892 at time 1607969435104
Moved to 2597, 891 at time 1607969435164
Moved to 2596, 890 at time 1607969435238
Moved to 2595, 889 at time 1607969435298
Moved to 2594, 888 at time 1607969435406
Moved to 2593, 887 at time 1607969435564
Moved to 2592, 886 at time 1607969435633
Moved to 2591, 885 at time 1607969435685
Moved to 2590, 884 at time 1607969435770
Moved to 2589, 883 at time 1607969435817
Moved to 2588, 882 at time 1607969435877
Moved to 2587, 881 at time 1607969435933
Moved to 2586, 880 at time 1607969435981
Moved to 2585, 879 at time 1607969436030
Moved to 2584, 878 at time 1607969436064
Moved to 2583, 877 at time 1607969436139
Moved to 2582, 876 at time 1607969436184
Moved to 2581, 875 at time 1607969436233
Moved to 2580, 874 at time 1607969436280
Moved to 2579, 873 at time 1607969436338
Moved to 2578, 872 at time 1607969436378
Moved to 2577, 871 at time 1607969436448
Moved to 2576, 870 at time 1607969436483
Moved to 2575, 869 at time 1607969436526
Moved to 2574, 868 at time 1607969436593
Moved to 2573, 867 at time 1607969436648
Moved to 2572, 866 at time 1607969436809
Moved to 2571, 865 at time 1607969436859
