Attacked Unit@27e8bfabat position 1555, 489 at time 1607967053571
Moved to 2300, 594 at time 1607969465424
Moved to 2299, 593 at time 1607969465460
Moved to 2298, 592 at time 1607969465497
Moved to 2297, 591 at time 1607969465541
Moved to 2296, 590 at time 1607969465589
Moved to 2295, 589 at time 1607969465640
Moved to 2294, 588 at time 1607969465676
Moved to 2293, 587 at time 1607969465731
Moved to 2292, 586 at time 1607969465776
Moved to 2291, 585 at time 1607969465813
Moved to 2290, 584 at time 1607969465848
Moved to 2289, 583 at time 1607969465895
Moved to 2288, 582 at time 1607969465940
Moved to 2287, 581 at time 1607969466016
Moved to 2286, 580 at time 1607969466050
Moved to 2285, 579 at time 1607969466150
Moved to 2284, 578 at time 1607969466297
Moved to 2283, 577 at time 1607969466374
Moved to 2282, 576 at time 1607969466448
Moved to 2281, 575 at time 1607969466486
Moved to 2280, 574 at time 1607969466548
Moved to 2279, 573 at time 1607969466606
Moved to 2278, 572 at time 1607969466649
Moved to 2277, 571 at time 1607969466738
Moved to 2276, 570 at time 1607969466779
Moved to 2275, 569 at time 1607969466817
Moved to 2274, 568 at time 1607969466869
Moved to 2273, 567 at time 1607969466919
Moved to 2272, 566 at time 1607969466968
Moved to 2271, 565 at time 1607969467016
Moved to 2270, 564 at time 1607969467051
Moved to 2269, 563 at time 1607969467086
Moved to 2268, 562 at time 1607969467127
Moved to 2267, 561 at time 1607969467184
Moved to 2266, 560 at time 1607969467232
Moved to 2265, 559 at time 1607969467274
Moved to 2264, 558 at time 1607969467317
Moved to 2263, 557 at time 1607969467365
Moved to 2262, 556 at time 1607969467415
Moved to 2261, 555 at time 1607969467466
Moved to 2260, 554 at time 1607969467505
Moved to 2259, 553 at time 1607969467555
Moved to 2258, 552 at time 1607969467603
Moved to 2257, 551 at time 1607969467648
Moved to 2256, 550 at time 1607969467688
Moved to 2255, 549 at time 1607969467737
Moved to 2254, 548 at time 1607969467846
Moved to 2253, 547 at time 1607969467880
Moved to 2252, 546 at time 1607969467981
Moved to 2251, 545 at time 1607969468046
Moved to 2250, 544 at time 1607969468146
Moved to 2249, 543 at time 1607969468212
Moved to 2248, 542 at time 1607969468247
Moved to 2247, 541 at time 1607969468286
Moved to 2246, 540 at time 1607969468424
Moved to 2245, 539 at time 1607969468467
Moved to 2244, 538 at time 1607969468566
Moved to 2243, 537 at time 1607969468613
Moved to 2242, 536 at time 1607969468676
Moved to 2241, 535 at time 1607969468749
Moved to 2240, 534 at time 1607969468783
Moved to 2239, 533 at time 1607969468849
Moved to 2238, 532 at time 1607969468902
Moved to 2237, 531 at time 1607969468963
Moved to 2236, 530 at time 1607969469015
Moved to 2235, 529 at time 1607969469067
Moved to 2234, 528 at time 1607969469103
Moved to 2233, 527 at time 1607969469146
Moved to 2232, 526 at time 1607969469181
Moved to 2231, 525 at time 1607969469267
Moved to 2230, 524 at time 1607969469428
Moved to 2229, 523 at time 1607969469476
Moved to 2228, 522 at time 1607969469540
Moved to 2227, 521 at time 1607969469602
Moved to 2226, 520 at time 1607969469699
Moved to 2225, 519 at time 1607969469922
Moved to 2224, 518 at time 1607969470118
Moved to 2223, 517 at time 1607969470283
Moved to 2222, 516 at time 1607969470466
Moved to 2221, 515 at time 1607969470635
Moved to 2220, 514 at time 1607969470670
Moved to 2219, 513 at time 1607969470766
Moved to 2218, 512 at time 1607969470840
Moved to 2217, 511 at time 1607969470941
Moved to 2216, 510 at time 1607969471016
Moved to 2215, 509 at time 1607969471114
Moved to 2214, 508 at time 1607969471180
Moved to 2213, 507 at time 1607969471286
Moved to 2212, 506 at time 1607969471365
Moved to 2211, 505 at time 1607969471475
Moved to 2210, 504 at time 1607969471536
Moved to 2209, 503 at time 1607969471737
Moved to 2208, 502 at time 1607969471860
Moved to 2207, 501 at time 1607969471914
Moved to 2206, 500 at time 1607969472060
Moved to 2205, 499 at time 1607969472215
Moved to 2204, 498 at time 1607969472249
Moved to 2203, 497 at time 1607969472292
Moved to 2202, 496 at time 1607969472366
Moved to 2201, 495 at time 1607969472515
Moved to 2200, 494 at time 1607969472640
Moved to 2199, 493 at time 1607969472693
Moved to 2198, 492 at time 1607969472800
Moved to 2197, 491 at time 1607969472840
Moved to 2196, 490 at time 1607969472966
Moved to 2195, 489 at time 1607969473162
Moved to 2194, 488 at time 1607969473283
Moved to 2193, 487 at time 1607969473322
Moved to 2192, 486 at time 1607969473513
Moved to 2191, 485 at time 1607969473561
Moved to 2190, 484 at time 1607969473668
Moved to 2189, 483 at time 1607969473734
Moved to 2188, 482 at time 1607969473853
Moved to 2187, 481 at time 1607969473911
Moved to 2186, 480 at time 1607969474005
Moved to 2185, 479 at time 1607969474060
Moved to 2184, 478 at time 1607969474133
Moved to 2183, 477 at time 1607969474252
Moved to 2182, 476 at time 1607969474299
Moved to 2181, 475 at time 1607969474403
Moved to 2180, 474 at time 1607969474441
Moved to 2179, 473 at time 1607969474561
Moved to 2178, 472 at time 1607969474751
Moved to 2177, 471 at time 1607969474873
Moved to 2176, 470 at time 1607969475053
Moved to 2175, 469 at time 1607969475087
Moved to 2174, 468 at time 1607969475135
Moved to 2173, 467 at time 1607969475218
Moved to 2172, 466 at time 1607969475252
Moved to 2171, 465 at time 1607969475288
Moved to 2170, 464 at time 1607969475324
Moved to 2169, 463 at time 1607969475479
Moved to 2168, 462 at time 1607969475598
Moved to 2167, 461 at time 1607969475783
Moved to 2166, 460 at time 1607969475903
Moved to 2165, 459 at time 1607969476084
Moved to 2164, 458 at time 1607969476200
Moved to 2163, 457 at time 1607969476378
Moved to 2162, 456 at time 1607969476476
Moved to 2161, 455 at time 1607969476515
Moved to 2160, 454 at time 1607969476604
Moved to 2159, 453 at time 1607969476655
Moved to 2158, 452 at time 1607969476723
Moved to 2157, 451 at time 1607969476881
Moved to 2156, 450 at time 1607969476950
Moved to 2155, 449 at time 1607969477017
Moved to 2154, 448 at time 1607969477099
Moved to 2153, 447 at time 1607969477247
Moved to 2152, 446 at time 1607969477376
Moved to 2151, 445 at time 1607969477508
Moved to 2150, 444 at time 1607969477655
Moved to 2149, 443 at time 1607969477787
Moved to 2148, 442 at time 1607969477985
Moved to 2147, 441 at time 1607969478141
Moved to 2146, 440 at time 1607969478248
Moved to 2145, 439 at time 1607969478403
Moved to 2144, 438 at time 1607969478567
Moved to 2143, 437 at time 1607969478602
Moved to 2142, 436 at time 1607969478721
Moved to 2141, 435 at time 1607969478894
Moved to 2140, 434 at time 1607969478978
Moved to 2139, 433 at time 1607969479024
Moved to 2138, 432 at time 1607969479059
Moved to 2137, 431 at time 1607969479195
Moved to 2136, 430 at time 1607969479330
Moved to 2135, 429 at time 1607969479444
Moved to 2134, 428 at time 1607969479495
Moved to 2133, 427 at time 1607969479544
Moved to 2132, 426 at time 1607969479595
Moved to 2131, 425 at time 1607969479697
Moved to 2130, 424 at time 1607969479798
Moved to 2129, 423 at time 1607969479892
Moved to 2128, 422 at time 1607969480021
Moved to 2127, 421 at time 1607969480120
Moved to 2126, 420 at time 1607969480154
Moved to 2125, 419 at time 1607969480197
Moved to 2124, 418 at time 1607969480245
Moved to 2123, 417 at time 1607969480281
Moved to 2122, 416 at time 1607969480317
Moved to 2121, 415 at time 1607969480369
Moved to 2120, 414 at time 1607969480404
Moved to 2119, 413 at time 1607969480439
Moved to 2118, 412 at time 1607969480489
Moved to 2117, 411 at time 1607969480534
Moved to 2116, 410 at time 1607969480577
Moved to 2115, 409 at time 1607969480621
Moved to 2114, 408 at time 1607969480655
Moved to 2113, 407 at time 1607969480697
Moved to 2112, 406 at time 1607969480735
Moved to 2111, 405 at time 1607969480769
Moved to 2110, 404 at time 1607969480805
Moved to 2109, 403 at time 1607969480845
Moved to 2108, 402 at time 1607969480879
Moved to 2107, 401 at time 1607969480918
Moved to 2106, 400 at time 1607969480968
Moved to 2105, 399 at time 1607969481061
Moved to 2104, 398 at time 1607969481179
Moved to 2103, 397 at time 1607969481297
Moved to 2102, 396 at time 1607969481426
Moved to 2101, 395 at time 1607969481583
Moved to 2100, 394 at time 1607969481705
Moved to 2099, 393 at time 1607969481744
Moved to 2098, 392 at time 1607969481783
Moved to 2097, 391 at time 1607969481836
Moved to 2096, 390 at time 1607969481871
Moved to 2095, 389 at time 1607969481988
Moved to 2094, 388 at time 1607969482051
Moved to 2093, 387 at time 1607969482153
Moved to 2092, 386 at time 1607969482257
Moved to 2091, 385 at time 1607969482400
Moved to 2090, 384 at time 1607969482435
Moved to 2089, 383 at time 1607969482486
Moved to 2088, 382 at time 1607969482574
Moved to 2087, 381 at time 1607969482623
Moved to 2086, 380 at time 1607969482739
Moved to 2085, 379 at time 1607969482891
Moved to 2084, 378 at time 1607969483000
Moved to 2083, 377 at time 1607969483160
Moved to 2082, 376 at time 1607969483279
Moved to 2081, 375 at time 1607969483425
Moved to 2080, 374 at time 1607969483536
Moved to 2079, 373 at time 1607969483677
Moved to 2078, 372 at time 1607969483838
Moved to 2077, 371 at time 1607969483981
Moved to 2076, 370 at time 1607969484077
Moved to 2075, 369 at time 1607969484220
Moved to 2074, 368 at time 1607969484255
Moved to 2073, 367 at time 1607969484297
Moved to 2072, 366 at time 1607969484346
Moved to 2071, 365 at time 1607969484393
Moved to 2070, 364 at time 1607969484471
Moved to 2069, 363 at time 1607969484571
Moved to 2068, 362 at time 1607969484701
Moved to 2067, 361 at time 1607969484794
Moved to 2066, 360 at time 1607969484930
Moved to 2065, 359 at time 1607969485017
Moved to 2064, 358 at time 1607969485058
Moved to 2063, 357 at time 1607969485128
Moved to 2062, 356 at time 1607969485173
Moved to 2061, 355 at time 1607969485240
Moved to 2060, 354 at time 1607969485291
Moved to 2059, 353 at time 1607969485350
Moved to 2058, 352 at time 1607969485405
Moved to 2057, 351 at time 1607969485464
Moved to 2056, 350 at time 1607969485532
Moved to 2055, 349 at time 1607969485591
Moved to 2054, 348 at time 1607969485647
Moved to 2053, 347 at time 1607969485708
Moved to 2052, 346 at time 1607969485766
Moved to 2051, 345 at time 1607969485829
Moved to 2050, 344 at time 1607969485879
Moved to 2049, 343 at time 1607969485914
Moved to 2048, 342 at time 1607969486034
Moved to 2047, 341 at time 1607969486068
Moved to 2046, 340 at time 1607969486122
Moved to 2045, 339 at time 1607969486186
Moved to 2044, 338 at time 1607969486237
Moved to 2043, 337 at time 1607969486306
Moved to 2042, 336 at time 1607969486466
Moved to 2041, 335 at time 1607969486530
Moved to 2040, 334 at time 1607969486593
Moved to 2039, 333 at time 1607969486646
Moved to 2038, 332 at time 1607969486698
Moved to 2037, 331 at time 1607969486775
Moved to 2036, 330 at time 1607969486872
Moved to 2035, 329 at time 1607969486954
Moved to 2034, 328 at time 1607969487045
Moved to 2033, 327 at time 1607969487135
Moved to 2032, 326 at time 1607969487170
Moved to 2031, 325 at time 1607969487271
Moved to 2030, 324 at time 1607969487358
Moved to 2029, 323 at time 1607969487440
Moved to 2028, 322 at time 1607969487545
Moved to 2027, 321 at time 1607969487655
Moved to 2026, 320 at time 1607969487804
Moved to 2025, 319 at time 1607969487887
Moved to 2024, 318 at time 1607969487922
Moved to 2023, 317 at time 1607969487958
Moved to 2022, 316 at time 1607969487996
Moved to 2021, 315 at time 1607969488034
Moved to 2020, 314 at time 1607969488075
Moved to 2019, 313 at time 1607969488120
Moved to 2018, 312 at time 1607969488156
Moved to 2017, 311 at time 1607969488196
Moved to 2016, 310 at time 1607969488238
Moved to 2015, 309 at time 1607969488273
Moved to 2014, 308 at time 1607969488308
Moved to 2013, 307 at time 1607969488345
Moved to 2012, 306 at time 1607969488389
Moved to 2011, 305 at time 1607969488425
Moved to 2010, 304 at time 1607969488465
Moved to 2009, 303 at time 1607969488501
Moved to 2008, 302 at time 1607969488542
Moved to 2007, 301 at time 1607969488600
Moved to 2006, 300 at time 1607969488635
Moved to 2005, 299 at time 1607969488695
Moved to 2004, 298 at time 1607969488746
Moved to 2003, 297 at time 1607969488817
Moved to 2002, 296 at time 1607969488863
Moved to 2001, 295 at time 1607969488930
Moved to 2000, 294 at time 1607969489065
Moved to 1999, 293 at time 1607969489124
Moved to 1998, 292 at time 1607969489162
Moved to 1997, 291 at time 1607969489213
Moved to 1996, 290 at time 1607969489253
Moved to 1995, 289 at time 1607969489315
Moved to 1994, 288 at time 1607969489451
Moved to 1993, 287 at time 1607969489531
Moved to 1992, 286 at time 1607969489657
Moved to 1991, 285 at time 1607969489707
Moved to 1990, 284 at time 1607969489845
Moved to 1989, 283 at time 1607969489932
Moved to 1988, 282 at time 1607969490045
Moved to 1987, 281 at time 1607969490122
Moved to 1986, 280 at time 1607969490245
Moved to 1985, 279 at time 1607969490312
Moved to 1984, 278 at time 1607969490439
Moved to 1983, 277 at time 1607969490506
Moved to 1982, 276 at time 1607969490629
Moved to 1981, 275 at time 1607969490698
Moved to 1980, 274 at time 1607969490733
Moved to 1979, 273 at time 1607969490798
Moved to 1978, 272 at time 1607969490833
Moved to 1977, 271 at time 1607969490913
Moved to 1976, 270 at time 1607969491037
Moved to 1975, 269 at time 1607969491102
Moved to 1974, 268 at time 1607969491235
Moved to 1973, 267 at time 1607969491329
Moved to 1972, 266 at time 1607969491473
Moved to 1971, 265 at time 1607969491556
Moved to 1970, 264 at time 1607969491598
Moved to 1969, 263 at time 1607969491692
Moved to 1968, 262 at time 1607969491843
Moved to 1967, 261 at time 1607969491895
Moved to 1966, 260 at time 1607969491934
Moved to 1965, 259 at time 1607969491984
Moved to 1964, 258 at time 1607969492098
Moved to 1963, 257 at time 1607969492179
Moved to 1962, 256 at time 1607969492215
Moved to 1961, 255 at time 1607969492297
Moved to 1960, 254 at time 1607969492334
Moved to 1959, 253 at time 1607969492418
Moved to 1958, 252 at time 1607969492581
Moved to 1957, 251 at time 1607969492673
Moved to 1956, 250 at time 1607969492830
Moved to 1955, 249 at time 1607969492890
Moved to 1954, 248 at time 1607969492942
Moved to 1953, 247 at time 1607969493016
Moved to 1952, 246 at time 1607969493055
Moved to 1951, 245 at time 1607969493141
Moved to 1950, 244 at time 1607969493186
Moved to 1949, 243 at time 1607969493263
Moved to 1948, 242 at time 1607969493321
Moved to 1947, 241 at time 1607969493396
Moved to 1946, 240 at time 1607969493502
Moved to 1945, 239 at time 1607969493539
Moved to 1944, 238 at time 1607969493593
Moved to 1943, 237 at time 1607969493639
Moved to 1942, 236 at time 1607969493682
Moved to 1941, 235 at time 1607969493731
Moved to 1940, 234 at time 1607969493794
Moved to 1939, 233 at time 1607969493890
Moved to 1938, 232 at time 1607969493924
Moved to 1937, 231 at time 1607969493980
Moved to 1936, 230 at time 1607969494014
Moved to 1935, 229 at time 1607969494051
Moved to 1934, 228 at time 1607969494097
Moved to 1933, 227 at time 1607969494157
Moved to 1932, 226 at time 1607969494194
Moved to 1931, 225 at time 1607969494251
Moved to 1930, 224 at time 1607969494309
Moved to 1929, 223 at time 1607969494343
Moved to 1928, 222 at time 1607969494380
Moved to 1927, 221 at time 1607969494436
Moved to 1926, 220 at time 1607969494482
Moved to 1925, 219 at time 1607969494532
Moved to 1924, 218 at time 1607969494573
Moved to 1923, 217 at time 1607969494623
Moved to 1922, 216 at time 1607969494667
Moved to 1921, 215 at time 1607969494718
Moved to 1920, 214 at time 1607969494752
Moved to 1919, 213 at time 1607969494817
Moved to 1918, 212 at time 1607969494932
Moved to 1917, 211 at time 1607969495000
Moved to 1916, 210 at time 1607969495068
Moved to 1915, 209 at time 1607969495118
Moved to 1914, 208 at time 1607969495160
Moved to 1913, 207 at time 1607969495202
Moved to 1912, 206 at time 1607969495273
Moved to 1911, 205 at time 1607969495425
Moved to 1910, 204 at time 1607969495519
Moved to 1909, 203 at time 1607969495615
Moved to 1908, 202 at time 1607969495673
Moved to 1907, 201 at time 1607969495707
Moved to 1906, 200 at time 1607969495827
Moved to 1905, 199 at time 1607969495941
Moved to 1904, 198 at time 1607969496065
Moved to 1903, 197 at time 1607969496112
Moved to 1902, 196 at time 1607969496152
Moved to 1901, 195 at time 1607969496191
Moved to 1900, 194 at time 1607969496227
Moved to 1899, 193 at time 1607969496265
Moved to 1898, 192 at time 1607969496306
Moved to 1897, 191 at time 1607969496349
Moved to 1896, 190 at time 1607969496393
Moved to 1895, 189 at time 1607969496431
Moved to 1894, 188 at time 1607969496469
Moved to 1893, 187 at time 1607969496504
Moved to 1892, 186 at time 1607969496546
Moved to 1891, 185 at time 1607969496592
Moved to 1890, 184 at time 1607969496638
Moved to 1889, 183 at time 1607969496684
Moved to 1888, 182 at time 1607969496726
Moved to 1887, 181 at time 1607969496763
Moved to 1886, 180 at time 1607969496805
Moved to 1885, 179 at time 1607969496840
Moved to 1884, 178 at time 1607969496876
Moved to 1883, 177 at time 1607969496921
Moved to 1882, 176 at time 1607969496963
Moved to 1881, 175 at time 1607969497004
Moved to 1880, 174 at time 1607969497048
Moved to 1879, 173 at time 1607969497085
Moved to 1878, 172 at time 1607969497123
Moved to 1877, 171 at time 1607969497165
Moved to 1876, 170 at time 1607969497212
Moved to 1875, 169 at time 1607969497258
Moved to 1874, 168 at time 1607969497336
Moved to 1873, 167 at time 1607969497415
Moved to 1872, 166 at time 1607969497543
Moved to 1871, 165 at time 1607969497577
Moved to 1870, 164 at time 1607969497641
Moved to 1869, 163 at time 1607969497703
Moved to 1868, 162 at time 1607969497770
Moved to 1867, 161 at time 1607969497832
Moved to 1866, 160 at time 1607969497896
Moved to 1865, 159 at time 1607969497932
Moved to 1864, 158 at time 1607969497970
Moved to 1863, 157 at time 1607969498017
Moved to 1862, 156 at time 1607969498096
Moved to 1861, 155 at time 1607969498130
Moved to 1860, 154 at time 1607969498259
Moved to 1859, 153 at time 1607969498383
Moved to 1858, 152 at time 1607969498501
Moved to 1857, 151 at time 1607969498627
Moved to 1856, 150 at time 1607969498799
Moved to 1855, 149 at time 1607969498938
Moved to 1854, 148 at time 1607969499052
Moved to 1853, 147 at time 1607969499134
Moved to 1852, 146 at time 1607969499193
Moved to 1851, 145 at time 1607969499314
Moved to 1850, 144 at time 1607969499435
Moved to 1849, 143 at time 1607969499589
Moved to 1848, 142 at time 1607969499843
Moved to 1847, 141 at time 1607969499993
Moved to 1846, 140 at time 1607969500125
Moved to 1845, 139 at time 1607969500269
Moved to 1844, 138 at time 1607969500399
Moved to 1843, 137 at time 1607969500547
Moved to 1842, 136 at time 1607969500635
Moved to 1841, 135 at time 1607969500706
Moved to 1840, 134 at time 1607969500758
Moved to 1839, 133 at time 1607969500806
Moved to 1838, 132 at time 1607969500843
Moved to 1837, 131 at time 1607969500889
Moved to 1836, 130 at time 1607969500940
Moved to 1835, 129 at time 1607969500986
Moved to 1834, 128 at time 1607969501083
Moved to 1833, 127 at time 1607969501135
Moved to 1832, 126 at time 1607969501173
Moved to 1831, 125 at time 1607969501229
Moved to 1830, 124 at time 1607969501279
Moved to 1829, 123 at time 1607969501320
Moved to 1828, 122 at time 1607969501360
Moved to 1827, 121 at time 1607969501410
Moved to 1826, 120 at time 1607969501478
Moved to 1825, 119 at time 1607969501513
Moved to 1824, 118 at time 1607969501566
Moved to 1823, 117 at time 1607969501607
Moved to 1822, 116 at time 1607969501701
Moved to 1821, 115 at time 1607969501752
Moved to 1820, 114 at time 1607969501836
Moved to 1819, 113 at time 1607969501904
Moved to 1818, 112 at time 1607969501988
Moved to 1817, 111 at time 1607969502058
Moved to 1816, 110 at time 1607969502191
Moved to 1815, 109 at time 1607969502274
Moved to 1814, 108 at time 1607969502477
Moved to 1813, 107 at time 1607969502558
Moved to 1812, 106 at time 1607969502729
Moved to 1811, 105 at time 1607969502807
Moved to 1810, 104 at time 1607969502890
Moved to 1809, 103 at time 1607969502964
Moved to 1808, 102 at time 1607969503047
Moved to 1807, 101 at time 1607969503153
Moved to 1806, 100 at time 1607969503222
Moved to 1123, 101 at time 1607969552309
