Attacked Unit@95973b8at position 1013, 305 at time 1607965644512
Moved to 1061, 459 at time 1607965748150
Moved to 1060, 458 at time 1607965748234
Moved to 1059, 457 at time 1607965748367
Moved to 1058, 456 at time 1607965748457
Moved to 1057, 455 at time 1607965748558
Moved to 1056, 454 at time 1607965748632
Moved to 1055, 453 at time 1607965748668
Moved to 1054, 452 at time 1607965748766
Moved to 1053, 451 at time 1607965748889
Moved to 1052, 450 at time 1607965748950
Moved to 1051, 449 at time 1607965749071
Moved to 1050, 448 at time 1607965749251
Moved to 1049, 447 at time 1607965749354
Moved to 1048, 446 at time 1607965749599
Moved to 1047, 445 at time 1607965749734
Moved to 1046, 444 at time 1607965749998
Moved to 1045, 443 at time 1607965750126
Moved to 1044, 442 at time 1607965750394
Moved to 1043, 441 at time 1607965750538
Moved to 1042, 440 at time 1607965750801
Moved to 1041, 439 at time 1607965750928
Moved to 1040, 438 at time 1607965751182
Moved to 1039, 437 at time 1607965751294
Moved to 1038, 436 at time 1607965751562
Moved to 1037, 435 at time 1607965751672
Moved to 1036, 434 at time 1607965751893
Moved to 1035, 433 at time 1607965751949
Moved to 1034, 432 at time 1607965752062
Moved to 1033, 431 at time 1607965752199
Moved to 1032, 430 at time 1607965752403
Moved to 1031, 429 at time 1607965752512
Moved to 1030, 428 at time 1607965752773
Moved to 1029, 427 at time 1607965752899
Moved to 1028, 426 at time 1607965753175
Moved to 1027, 425 at time 1607965753292
Moved to 1026, 424 at time 1607965753561
Moved to 1025, 423 at time 1607965753670
Moved to 1024, 422 at time 1607965753978
Moved to 1023, 421 at time 1607965754079
Moved to 1022, 420 at time 1607965754361
Moved to 1021, 419 at time 1607965754463
