Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2904, 1167 at time 1607969409511
Moved to 2903, 1166 at time 1607969409591
Moved to 2902, 1165 at time 1607969409674
Moved to 2901, 1164 at time 1607969409721
Moved to 2900, 1163 at time 1607969409771
Moved to 2899, 1162 at time 1607969409825
Moved to 2898, 1161 at time 1607969409882
Moved to 2897, 1160 at time 1607969409962
Moved to 2896, 1159 at time 1607969410003
Moved to 2895, 1158 at time 1607969410078
Moved to 2894, 1157 at time 1607969410156
Moved to 2893, 1156 at time 1607969410192
Moved to 2892, 1155 at time 1607969410265
Moved to 2891, 1154 at time 1607969410364
Moved to 2890, 1153 at time 1607969410399
Moved to 2889, 1152 at time 1607969410469
Moved to 2888, 1151 at time 1607969410511
Moved to 2887, 1150 at time 1607969410570
Moved to 2886, 1149 at time 1607969410614
Moved to 2885, 1148 at time 1607969410705
Moved to 2884, 1147 at time 1607969410759
Moved to 2883, 1146 at time 1607969410804
Moved to 2882, 1145 at time 1607969410864
Moved to 2881, 1144 at time 1607969410907
Moved to 2880, 1143 at time 1607969411043
Moved to 2879, 1142 at time 1607969411112
Moved to 2878, 1141 at time 1607969411160
Moved to 2877, 1140 at time 1607969411224
Moved to 2876, 1139 at time 1607969411276
Moved to 2875, 1138 at time 1607969411323
Moved to 2874, 1137 at time 1607969411366
Moved to 2873, 1136 at time 1607969411403
Moved to 2872, 1135 at time 1607969411444
Moved to 2871, 1134 at time 1607969411627
Moved to 2870, 1133 at time 1607969411690
Moved to 2869, 1132 at time 1607969411760
Moved to 2868, 1131 at time 1607969411872
Moved to 2867, 1130 at time 1607969411946
Moved to 2866, 1129 at time 1607969412104
Moved to 2865, 1128 at time 1607969412290
Moved to 2864, 1127 at time 1607969412460
Moved to 2863, 1126 at time 1607969412657
Moved to 2862, 1125 at time 1607969412751
Moved to 2861, 1124 at time 1607969412814
Moved to 2860, 1123 at time 1607969412924
Moved to 2859, 1122 at time 1607969413134
Moved to 2858, 1121 at time 1607969413416
Moved to 2857, 1120 at time 1607969413562
Moved to 2856, 1119 at time 1607969413644
Moved to 2855, 1118 at time 1607969413742
Moved to 2854, 1117 at time 1607969413842
Moved to 2853, 1116 at time 1607969413921
Moved to 2852, 1115 at time 1607969413970
Moved to 2851, 1114 at time 1607969414060
Moved to 2850, 1113 at time 1607969414145
Moved to 2849, 1112 at time 1607969414220
Moved to 2848, 1111 at time 1607969414259
Moved to 2847, 1110 at time 1607969414294
Moved to 2846, 1109 at time 1607969414329
Moved to 2845, 1108 at time 1607969414396
Moved to 2844, 1107 at time 1607969414508
Moved to 2843, 1106 at time 1607969414676
Moved to 2842, 1105 at time 1607969414871
Moved to 2841, 1104 at time 1607969415163
Moved to 2840, 1103 at time 1607969415317
Moved to 2839, 1102 at time 1607969415478
Moved to 2838, 1101 at time 1607969415631
Moved to 2837, 1100 at time 1607969415778
Moved to 2836, 1099 at time 1607969415850
Moved to 2835, 1098 at time 1607969416081
Moved to 2834, 1097 at time 1607969416399
Moved to 2833, 1096 at time 1607969416619
Moved to 2832, 1095 at time 1607969416834
Moved to 2831, 1094 at time 1607969416968
Moved to 2830, 1093 at time 1607969417049
Moved to 2829, 1092 at time 1607969417131
Moved to 2828, 1091 at time 1607969417245
Moved to 2827, 1090 at time 1607969417296
Moved to 2826, 1089 at time 1607969417389
Moved to 2825, 1088 at time 1607969417467
Moved to 2824, 1087 at time 1607969417561
Moved to 2823, 1086 at time 1607969417644
Moved to 2822, 1085 at time 1607969417739
Moved to 2821, 1084 at time 1607969417780
Moved to 2820, 1083 at time 1607969417834
Moved to 2819, 1082 at time 1607969417877
Moved to 2818, 1081 at time 1607969417974
Moved to 2817, 1080 at time 1607969418024
Moved to 2816, 1079 at time 1607969418107
Moved to 2815, 1078 at time 1607969418164
Moved to 2814, 1077 at time 1607969418211
Moved to 2813, 1076 at time 1607969418264
Moved to 2812, 1075 at time 1607969418315
Moved to 2811, 1074 at time 1607969418382
Moved to 2810, 1073 at time 1607969418430
Moved to 2809, 1072 at time 1607969418480
Moved to 2808, 1071 at time 1607969418526
Moved to 2807, 1070 at time 1607969418627
Moved to 2806, 1069 at time 1607969418756
Moved to 2805, 1068 at time 1607969418814
Moved to 2804, 1067 at time 1607969418877
Moved to 2803, 1066 at time 1607969418942
Moved to 2802, 1065 at time 1607969419039
Moved to 2801, 1064 at time 1607969419110
Moved to 2800, 1063 at time 1607969419163
Moved to 2799, 1062 at time 1607969419209
Moved to 2798, 1061 at time 1607969419292
Moved to 2797, 1060 at time 1607969419344
Moved to 2796, 1059 at time 1607969419405
Moved to 2795, 1058 at time 1607969419463
Moved to 2794, 1057 at time 1607969419514
Moved to 2793, 1056 at time 1607969419628
Moved to 2792, 1055 at time 1607969419712
Moved to 2791, 1054 at time 1607969419788
Moved to 2790, 1053 at time 1607969419827
Moved to 2789, 1052 at time 1607969419963
Moved to 2788, 1051 at time 1607969420027
Moved to 2787, 1050 at time 1607969420228
Moved to 2786, 1049 at time 1607969420482
Moved to 2785, 1048 at time 1607969420642
Moved to 2784, 1047 at time 1607969420715
Moved to 2783, 1046 at time 1607969420911
Moved to 2782, 1045 at time 1607969420996
Moved to 2781, 1044 at time 1607969421117
Moved to 2780, 1043 at time 1607969421343
Moved to 2779, 1042 at time 1607969421530
Moved to 2778, 1041 at time 1607969421586
Moved to 2777, 1040 at time 1607969421759
Moved to 2776, 1039 at time 1607969421793
Moved to 2775, 1038 at time 1607969421896
Moved to 2774, 1037 at time 1607969421988
Moved to 2773, 1036 at time 1607969422131
Moved to 2772, 1035 at time 1607969422277
Moved to 2771, 1034 at time 1607969422430
Moved to 2770, 1033 at time 1607969422591
Moved to 2769, 1032 at time 1607969422708
Moved to 2768, 1031 at time 1607969422862
Moved to 2767, 1030 at time 1607969422991
Moved to 2766, 1029 at time 1607969423134
Moved to 2765, 1028 at time 1607969423430
Moved to 2764, 1027 at time 1607969423573
Moved to 2763, 1026 at time 1607969423736
Moved to 2762, 1025 at time 1607969423904
Moved to 2761, 1024 at time 1607969424016
Moved to 2760, 1023 at time 1607969424328
Moved to 2759, 1022 at time 1607969424361
Moved to 2758, 1021 at time 1607969424616
Moved to 2757, 1020 at time 1607969424759
Moved to 2756, 1019 at time 1607969424918
Moved to 2755, 1018 at time 1607969425075
Moved to 2754, 1017 at time 1607969425234
Moved to 2753, 1016 at time 1607969425474
Moved to 2752, 1015 at time 1607969425758
Moved to 2751, 1014 at time 1607969425794
Moved to 2750, 1013 at time 1607969425982
Moved to 2749, 1012 at time 1607969426197
Moved to 2748, 1011 at time 1607969426455
Moved to 2747, 1010 at time 1607969426716
Moved to 2746, 1009 at time 1607969426893
Moved to 2745, 1008 at time 1607969426939
Moved to 2744, 1007 at time 1607969427030
Moved to 2743, 1006 at time 1607969427073
Moved to 2742, 1005 at time 1607969427135
Moved to 2741, 1004 at time 1607969427186
Moved to 2740, 1003 at time 1607969427277
Moved to 2739, 1002 at time 1607969427344
Moved to 2738, 1001 at time 1607969427415
Moved to 2737, 1000 at time 1607969427492
Moved to 2736, 999 at time 1607969427588
Moved to 2735, 998 at time 1607969427645
Moved to 2734, 997 at time 1607969427712
Moved to 2733, 996 at time 1607969427792
Moved to 2732, 995 at time 1607969427842
Moved to 2731, 994 at time 1607969427926
Moved to 2730, 993 at time 1607969427996
Moved to 2729, 992 at time 1607969428047
Moved to 2728, 991 at time 1607969428092
Moved to 2727, 990 at time 1607969428157
Moved to 2726, 989 at time 1607969428220
Moved to 2725, 988 at time 1607969428254
Moved to 2724, 987 at time 1607969428307
Moved to 2723, 986 at time 1607969428457
Moved to 2722, 985 at time 1607969428509
Moved to 2721, 984 at time 1607969428698
Moved to 2720, 983 at time 1607969428743
Moved to 2719, 982 at time 1607969429024
Moved to 2718, 981 at time 1607969429150
Moved to 2717, 980 at time 1607969429189
Moved to 2716, 979 at time 1607969429456
Moved to 2715, 978 at time 1607969429690
Moved to 2714, 977 at time 1607969429730
Moved to 2713, 976 at time 1607969429932
Moved to 2712, 975 at time 1607969430161
Moved to 2711, 974 at time 1607969430244
Moved to 2710, 973 at time 1607969430444
Moved to 2709, 972 at time 1607969430646
Moved to 2708, 971 at time 1607969430680
Moved to 2707, 970 at time 1607969430916
Moved to 2706, 969 at time 1607969431061
Moved to 2705, 968 at time 1607969431196
Moved to 2704, 967 at time 1607969431337
Moved to 2703, 966 at time 1607969431371
Moved to 2702, 965 at time 1607969431405
Moved to 2701, 964 at time 1607969431513
Moved to 2700, 963 at time 1607969431581
Moved to 2699, 962 at time 1607969431651
Moved to 2698, 961 at time 1607969431884
Moved to 2697, 960 at time 1607969431973
Moved to 2696, 959 at time 1607969432153
Moved to 2695, 958 at time 1607969432267
Moved to 2694, 957 at time 1607969432526
Moved to 2693, 956 at time 1607969432734
Moved to 2692, 955 at time 1607969432974
Moved to 2691, 954 at time 1607969433079
Moved to 2690, 953 at time 1607969433236
Moved to 2689, 952 at time 1607969433270
Moved to 2688, 951 at time 1607969433427
Moved to 2687, 950 at time 1607969433553
Moved to 2686, 949 at time 1607969433746
Moved to 2685, 948 at time 1607969433936
Moved to 2684, 947 at time 1607969434268
Moved to 2683, 946 at time 1607969434359
Moved to 2682, 945 at time 1607969434531
Moved to 2681, 944 at time 1607969434620
Moved to 2680, 943 at time 1607969434664
Moved to 2679, 942 at time 1607969434744
Moved to 2678, 941 at time 1607969434813
Moved to 2677, 940 at time 1607969434862
Moved to 2676, 939 at time 1607969434952
Moved to 2675, 938 at time 1607969435026
Moved to 2674, 937 at time 1607969435093
Moved to 2673, 936 at time 1607969435128
Moved to 2672, 935 at time 1607969435178
Moved to 2671, 934 at time 1607969435222
Moved to 2670, 933 at time 1607969435279
Moved to 2669, 932 at time 1607969435349
Moved to 2668, 931 at time 1607969435554
Moved to 2667, 930 at time 1607969435639
Moved to 2666, 929 at time 1607969435677
Moved to 2665, 928 at time 1607969435775
Moved to 2664, 927 at time 1607969435812
Moved to 2663, 926 at time 1607969435880
