Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2392, 655 at time 1607969464354
Moved to 2391, 654 at time 1607969464532
Moved to 2390, 653 at time 1607969464754
Moved to 2389, 652 at time 1607969464855
Moved to 2388, 651 at time 1607969464912
Moved to 2387, 650 at time 1607969464946
Moved to 2386, 649 at time 1607969464996
Moved to 2385, 648 at time 1607969465048
Moved to 2384, 647 at time 1607969465099
Moved to 2383, 646 at time 1607969465160
Moved to 2382, 645 at time 1607969465200
Moved to 2381, 644 at time 1607969465248
Moved to 2380, 643 at time 1607969465282
Moved to 2379, 642 at time 1607969465319
Moved to 2378, 641 at time 1607969465372
Moved to 2377, 640 at time 1607969465411
Moved to 2376, 639 at time 1607969465455
Moved to 2375, 638 at time 1607969465503
Moved to 2374, 637 at time 1607969465553
Moved to 2373, 636 at time 1607969465590
Moved to 2372, 635 at time 1607969465639
Moved to 2371, 634 at time 1607969465678
Moved to 2370, 633 at time 1607969465730
Moved to 2369, 632 at time 1607969465777
Moved to 2368, 631 at time 1607969465812
Moved to 2367, 630 at time 1607969465848
Moved to 2366, 629 at time 1607969465894
Moved to 2365, 628 at time 1607969465941
Moved to 2364, 627 at time 1607969466013
Moved to 2363, 626 at time 1607969466181
Moved to 2362, 625 at time 1607969466263
Moved to 2361, 624 at time 1607969466298
Moved to 2360, 623 at time 1607969466374
Moved to 2359, 622 at time 1607969466448
Moved to 2358, 621 at time 1607969466485
Moved to 2357, 620 at time 1607969466522
Moved to 2356, 619 at time 1607969466575
Moved to 2355, 618 at time 1607969466631
Moved to 2354, 617 at time 1607969466682
Moved to 2353, 616 at time 1607969466736
Moved to 2352, 615 at time 1607969466780
Moved to 2351, 614 at time 1607969466815
Moved to 2350, 613 at time 1607969466854
Moved to 2349, 612 at time 1607969466911
Moved to 2348, 611 at time 1607969466958
Moved to 2347, 610 at time 1607969467000
Moved to 2346, 609 at time 1607969467060
Moved to 2345, 608 at time 1607969467116
Moved to 2344, 607 at time 1607969467162
Moved to 2343, 606 at time 1607969467221
Moved to 2342, 605 at time 1607969467263
Moved to 2341, 604 at time 1607969467306
Moved to 2340, 603 at time 1607969467353
Moved to 2339, 602 at time 1607969467402
Moved to 2338, 601 at time 1607969467444
Moved to 2337, 600 at time 1607969467500
Moved to 2336, 599 at time 1607969467542
Moved to 2335, 598 at time 1607969467593
Moved to 2334, 597 at time 1607969467637
Moved to 2333, 596 at time 1607969467692
Moved to 2332, 595 at time 1607969467734
Moved to 2331, 594 at time 1607969467848
Moved to 2330, 593 at time 1607969468023
Moved to 2329, 592 at time 1607969468175
Moved to 2328, 591 at time 1607969468367
Moved to 2327, 590 at time 1607969468521
Moved to 2326, 589 at time 1607969468601
Moved to 2325, 588 at time 1607969468692
Moved to 2324, 587 at time 1607969468733
Moved to 2323, 586 at time 1607969468815
Moved to 2322, 585 at time 1607969468905
Moved to 2321, 584 at time 1607969468948
Moved to 2320, 583 at time 1607969469006
Moved to 2319, 582 at time 1607969469059
Moved to 2318, 581 at time 1607969469111
Moved to 2317, 580 at time 1607969469151
Moved to 2316, 579 at time 1607969469203
Moved to 2315, 578 at time 1607969469237
Moved to 2314, 577 at time 1607969469299
Moved to 2313, 576 at time 1607969469335
Moved to 2312, 575 at time 1607969469450
Moved to 2311, 574 at time 1607969469571
Moved to 2310, 573 at time 1607969469742
Moved to 2309, 572 at time 1607969469935
Moved to 2308, 571 at time 1607969470143
Moved to 2307, 570 at time 1607969470260
Moved to 2306, 569 at time 1607969470318
Moved to 2305, 568 at time 1607969470436
Moved to 2304, 567 at time 1607969470501
Moved to 2303, 566 at time 1607969470593
Moved to 2302, 565 at time 1607969470630
Moved to 2301, 564 at time 1607969470837
Moved to 2300, 563 at time 1607969470944
Moved to 2299, 562 at time 1607969470979
Moved to 2298, 561 at time 1607969471147
Moved to 2297, 560 at time 1607969471323
Moved to 2296, 559 at time 1607969471515
Moved to 2295, 558 at time 1607969471668
Moved to 2294, 557 at time 1607969471702
Moved to 2293, 556 at time 1607969471792
Moved to 2292, 555 at time 1607969471881
Moved to 2291, 554 at time 1607969471948
Moved to 2290, 553 at time 1607969472087
Moved to 2289, 552 at time 1607969472193
Moved to 2288, 551 at time 1607969472339
Moved to 2287, 550 at time 1607969472427
Moved to 2286, 549 at time 1607969472464
Moved to 2285, 548 at time 1607969472539
Moved to 2284, 547 at time 1607969472615
Moved to 2283, 546 at time 1607969472717
Moved to 2282, 545 at time 1607969472770
Moved to 2281, 544 at time 1607969472873
Moved to 2280, 543 at time 1607969472926
Moved to 2279, 542 at time 1607969473025
Moved to 2278, 541 at time 1607969473094
Moved to 2277, 540 at time 1607969473190
Moved to 2276, 539 at time 1607969473252
Moved to 2275, 538 at time 1607969473343
Moved to 2274, 537 at time 1607969473419
Moved to 2273, 536 at time 1607969473506
Moved to 2272, 535 at time 1607969473567
Moved to 2271, 534 at time 1607969473660
Moved to 2270, 533 at time 1607969473739
Moved to 2269, 532 at time 1607969473848
Moved to 2268, 531 at time 1607969473883
Moved to 2267, 530 at time 1607969474030
Moved to 2266, 529 at time 1607969474183
Moved to 2265, 528 at time 1607969474358
Moved to 2264, 527 at time 1607969474486
Moved to 2263, 526 at time 1607969474670
Moved to 2262, 525 at time 1607969474805
Moved to 2261, 524 at time 1607969474980
Moved to 2260, 523 at time 1607969475160
Moved to 2259, 522 at time 1607969475198
Moved to 2258, 521 at time 1607969475253
Moved to 2257, 520 at time 1607969475354
Moved to 2256, 519 at time 1607969475437
Moved to 2255, 518 at time 1607969475493
Moved to 2254, 517 at time 1607969475677
Moved to 2253, 516 at time 1607969475863
Moved to 2252, 515 at time 1607969475973
Moved to 2251, 514 at time 1607969476155
Moved to 2250, 513 at time 1607969476269
Moved to 2249, 512 at time 1607969476304
Moved to 2248, 511 at time 1607969476412
Moved to 2247, 510 at time 1607969476581
Moved to 2246, 509 at time 1607969476728
Moved to 2245, 508 at time 1607969476876
Moved to 2244, 507 at time 1607969476954
Moved to 2243, 506 at time 1607969477012
Moved to 2242, 505 at time 1607969477110
Moved to 2241, 504 at time 1607969477280
Moved to 2240, 503 at time 1607969477348
Moved to 2239, 502 at time 1607969477404
Moved to 2238, 501 at time 1607969477572
Moved to 2237, 500 at time 1607969477728
Moved to 2236, 499 at time 1607969477854
Moved to 2235, 498 at time 1607969477999
Moved to 2234, 497 at time 1607969478129
Moved to 2233, 496 at time 1607969478261
Moved to 2232, 495 at time 1607969478395
Moved to 2231, 494 at time 1607969478517
Moved to 2230, 493 at time 1607969478668
Moved to 2229, 492 at time 1607969478801
Moved to 2228, 491 at time 1607969478835
Moved to 2227, 490 at time 1607969478869
Moved to 2226, 489 at time 1607969479012
Moved to 2225, 488 at time 1607969479047
Moved to 2224, 487 at time 1607969479207
Moved to 2223, 486 at time 1607969479310
Moved to 2222, 485 at time 1607969479454
Moved to 2221, 484 at time 1607969479536
Moved to 2220, 483 at time 1607969479605
Moved to 2219, 482 at time 1607969479689
Moved to 2218, 481 at time 1607969479723
Moved to 2217, 480 at time 1607969479768
Moved to 2216, 479 at time 1607969479814
Moved to 2215, 478 at time 1607969479880
Moved to 2214, 477 at time 1607969479918
Moved to 2213, 476 at time 1607969480001
Moved to 2212, 475 at time 1607969480138
Moved to 2211, 474 at time 1607969480180
Moved to 2210, 473 at time 1607969480220
Moved to 2209, 472 at time 1607969480267
Moved to 2208, 471 at time 1607969480302
Moved to 2207, 470 at time 1607969480357
Moved to 2206, 469 at time 1607969480398
Moved to 2205, 468 at time 1607969480436
Moved to 2204, 467 at time 1607969480476
Moved to 2203, 466 at time 1607969480517
Moved to 2202, 465 at time 1607969480564
Moved to 2201, 464 at time 1607969480598
Moved to 2200, 463 at time 1607969480642
Moved to 2199, 462 at time 1607969480687
Moved to 2198, 461 at time 1607969480731
Moved to 2197, 460 at time 1607969480765
Moved to 2196, 459 at time 1607969480801
Moved to 2195, 458 at time 1607969480835
Moved to 2194, 457 at time 1607969480870
Moved to 2193, 456 at time 1607969480910
Moved to 2192, 455 at time 1607969480975
Moved to 2191, 454 at time 1607969481052
Moved to 2190, 453 at time 1607969481189
Moved to 2189, 452 at time 1607969481288
Moved to 2188, 451 at time 1607969481442
Moved to 2187, 450 at time 1607969481572
Moved to 2186, 449 at time 1607969481692
Moved to 2185, 448 at time 1607969481738
Moved to 2184, 447 at time 1607969481789
Moved to 2183, 446 at time 1607969481846
Moved to 2182, 445 at time 1607969481923
Moved to 2181, 444 at time 1607969482022
Moved to 2180, 443 at time 1607969482104
Moved to 2179, 442 at time 1607969482204
Moved to 2178, 441 at time 1607969482325
Moved to 2177, 440 at time 1607969482464
Moved to 2176, 439 at time 1607969482597
Moved to 2175, 438 at time 1607969482762
Moved to 2174, 437 at time 1607969482867
Moved to 2173, 436 at time 1607969483023
Moved to 2172, 435 at time 1607969483140
Moved to 2171, 434 at time 1607969483294
Moved to 2170, 433 at time 1607969483407
Moved to 2169, 432 at time 1607969483552
Moved to 2168, 431 at time 1607969483658
Moved to 2167, 430 at time 1607969483699
Moved to 2166, 429 at time 1607969483820
Moved to 2165, 428 at time 1607969483854
Moved to 2164, 427 at time 1607969483970
Moved to 2163, 426 at time 1607969484090
Moved to 2162, 425 at time 1607969484126
Moved to 2161, 424 at time 1607969484180
Moved to 2160, 423 at time 1607969484254
Moved to 2159, 422 at time 1607969484298
Moved to 2158, 421 at time 1607969484348
Moved to 2157, 420 at time 1607969484387
Moved to 2156, 419 at time 1607969484432
Moved to 2155, 418 at time 1607969484486
Moved to 2154, 417 at time 1607969484553
Moved to 2153, 416 at time 1607969484693
Moved to 2152, 415 at time 1607969484803
Moved to 2151, 414 at time 1607969484922
Moved to 2150, 413 at time 1607969485030
Moved to 2149, 412 at time 1607969485154
Moved to 2148, 411 at time 1607969485264
Moved to 2147, 410 at time 1607969485383
Moved to 2146, 409 at time 1607969485488
Moved to 2145, 408 at time 1607969485632
Moved to 2144, 407 at time 1607969485728
Moved to 2143, 406 at time 1607969485862
Moved to 2142, 405 at time 1607969485964
Moved to 2141, 404 at time 1607969486101
Moved to 2140, 403 at time 1607969486206
Moved to 2139, 402 at time 1607969486338
Moved to 2138, 401 at time 1607969486452
Moved to 2137, 400 at time 1607969486540
Moved to 2136, 399 at time 1607969486581
Moved to 2135, 398 at time 1607969486659
Moved to 2134, 397 at time 1607969486717
Moved to 2133, 396 at time 1607969486752
Moved to 2132, 395 at time 1607969486798
Moved to 2131, 394 at time 1607969486847
Moved to 2130, 393 at time 1607969486895
Moved to 2129, 392 at time 1607969486934
Moved to 2128, 391 at time 1607969486970
Moved to 2127, 390 at time 1607969487021
Moved to 2126, 389 at time 1607969487065
Moved to 2125, 388 at time 1607969487112
Moved to 2124, 387 at time 1607969487148
Moved to 2123, 386 at time 1607969487201
Moved to 2122, 385 at time 1607969487331
Moved to 2121, 384 at time 1607969487385
Moved to 2120, 383 at time 1607969487505
Moved to 2119, 382 at time 1607969487575
Moved to 2118, 381 at time 1607969487631
Moved to 2117, 380 at time 1607969487704
Moved to 2116, 379 at time 1607969487764
Moved to 2115, 378 at time 1607969487845
Moved to 2114, 377 at time 1607969487900
Moved to 2113, 376 at time 1607969487939
Moved to 2112, 375 at time 1607969487975
Moved to 2111, 374 at time 1607969488019
Moved to 2110, 373 at time 1607969488056
Moved to 2109, 372 at time 1607969488091
Moved to 2108, 371 at time 1607969488131
Moved to 2107, 370 at time 1607969488168
Moved to 2106, 369 at time 1607969488208
Moved to 2105, 368 at time 1607969488253
Moved to 2104, 367 at time 1607969488287
Moved to 2103, 366 at time 1607969488326
Moved to 2102, 365 at time 1607969488371
Moved to 2101, 364 at time 1607969488406
Moved to 2100, 363 at time 1607969488440
Moved to 2099, 362 at time 1607969488480
Moved to 2098, 361 at time 1607969488525
Moved to 2097, 360 at time 1607969488676
Moved to 2096, 359 at time 1607969488711
Moved to 2095, 358 at time 1607969488850
Moved to 2094, 357 at time 1607969488987
Moved to 2093, 356 at time 1607969489021
Moved to 2092, 355 at time 1607969489074
Moved to 2091, 354 at time 1607969489119
Moved to 2090, 353 at time 1607969489169
Moved to 2089, 352 at time 1607969489208
Moved to 2088, 351 at time 1607969489259
Moved to 2087, 350 at time 1607969489312
Moved to 2086, 349 at time 1607969489352
Moved to 2085, 348 at time 1607969489414
Moved to 2084, 347 at time 1607969489463
Moved to 2083, 346 at time 1607969489521
Moved to 2082, 345 at time 1607969489567
Moved to 2081, 344 at time 1607969489620
Moved to 2080, 343 at time 1607969489654
Moved to 2079, 342 at time 1607969489797
Moved to 2078, 341 at time 1607969489870
Moved to 2077, 340 at time 1607969490005
Moved to 2076, 339 at time 1607969490066
Moved to 2075, 338 at time 1607969490105
Moved to 2074, 337 at time 1607969490160
Moved to 2073, 336 at time 1607969490209
Moved to 2072, 335 at time 1607969490256
Moved to 2071, 334 at time 1607969490298
Moved to 2070, 333 at time 1607969490351
Moved to 2069, 332 at time 1607969490484
Moved to 2068, 331 at time 1607969490552
Moved to 2067, 330 at time 1607969490672
Moved to 2066, 329 at time 1607969490758
Moved to 2065, 328 at time 1607969490876
Moved to 2064, 327 at time 1607969490969
Moved to 2063, 326 at time 1607969491093
Moved to 2062, 325 at time 1607969491142
Moved to 2061, 324 at time 1607969491193
Moved to 2060, 323 at time 1607969491247
Moved to 2059, 322 at time 1607969491311
Moved to 2058, 321 at time 1607969491374
Moved to 2057, 320 at time 1607969491408
Moved to 2056, 319 at time 1607969491516
Moved to 2055, 318 at time 1607969491642
Moved to 2054, 317 at time 1607969491768
Moved to 2053, 316 at time 1607969491874
Moved to 2052, 315 at time 1607969491958
Moved to 2051, 314 at time 1607969492034
Moved to 2050, 313 at time 1607969492140
Moved to 2049, 312 at time 1607969492258
Moved to 2048, 311 at time 1607969492375
Moved to 2047, 310 at time 1607969492492
Moved to 2046, 309 at time 1607969492634
Moved to 2045, 308 at time 1607969492738
Moved to 2044, 307 at time 1607969492860
Moved to 2043, 306 at time 1607969492978
Moved to 2042, 305 at time 1607969493100
Moved to 2041, 304 at time 1607969493222
Moved to 2040, 303 at time 1607969493356
Moved to 2039, 302 at time 1607969493476
Moved to 2038, 301 at time 1607969493530
Moved to 2037, 300 at time 1607969493574
Moved to 2036, 299 at time 1607969493623
Moved to 2035, 298 at time 1607969493700
Moved to 2034, 297 at time 1607969493765
Moved to 2033, 296 at time 1607969493800
Moved to 2032, 295 at time 1607969493857
Moved to 2031, 294 at time 1607969493925
Moved to 2030, 293 at time 1607969493981
Moved to 2029, 292 at time 1607969494019
Moved to 2028, 291 at time 1607969494057
Moved to 2027, 290 at time 1607969494115
Moved to 2026, 289 at time 1607969494167
Moved to 2025, 288 at time 1607969494211
Moved to 2024, 287 at time 1607969494257
Moved to 2023, 286 at time 1607969494296
Moved to 2022, 285 at time 1607969494419
Moved to 2021, 284 at time 1607969494498
Moved to 2020, 283 at time 1607969494605
Moved to 2019, 282 at time 1607969494733
Moved to 2018, 281 at time 1607969494834
Moved to 2017, 280 at time 1607969494915
Moved to 2016, 279 at time 1607969495012
Moved to 2015, 278 at time 1607969495057
Moved to 2014, 277 at time 1607969495126
Moved to 2013, 276 at time 1607969495197
Moved to 2012, 275 at time 1607969495285
Moved to 2011, 274 at time 1607969495418
Moved to 2010, 273 at time 1607969495526
Moved to 2009, 272 at time 1607969495640
Moved to 2008, 271 at time 1607969495762
Moved to 2007, 270 at time 1607969495885
Moved to 2006, 269 at time 1607969496013
Moved to 2005, 268 at time 1607969496077
Moved to 2004, 267 at time 1607969496116
Moved to 2003, 266 at time 1607969496152
Moved to 2002, 265 at time 1607969496192
Moved to 2001, 264 at time 1607969496226
Moved to 2000, 263 at time 1607969496261
Moved to 1999, 262 at time 1607969496298
Moved to 1998, 261 at time 1607969496334
Moved to 1997, 260 at time 1607969496375
Moved to 1996, 259 at time 1607969496422
Moved to 1995, 258 at time 1607969496456
Moved to 1994, 257 at time 1607969496502
Moved to 1993, 256 at time 1607969496551
Moved to 1992, 255 at time 1607969496586
Moved to 1991, 254 at time 1607969496626
Moved to 1990, 253 at time 1607969496674
Moved to 1989, 252 at time 1607969496718
Moved to 1988, 251 at time 1607969496754
Moved to 1987, 250 at time 1607969496798
Moved to 1986, 249 at time 1607969496835
Moved to 1985, 248 at time 1607969496869
Moved to 1984, 247 at time 1607969496910
Moved to 1983, 246 at time 1607969496945
Moved to 1982, 245 at time 1607969496982
Moved to 1981, 244 at time 1607969497020
Moved to 1980, 243 at time 1607969497068
Moved to 1979, 242 at time 1607969497102
Moved to 1978, 241 at time 1607969497147
Moved to 1977, 240 at time 1607969497187
Moved to 1976, 239 at time 1607969497236
Moved to 1975, 238 at time 1607969497288
Moved to 1974, 237 at time 1607969497336
Moved to 1973, 236 at time 1607969497414
Moved to 1972, 235 at time 1607969497541
Moved to 1971, 234 at time 1607969497673
Moved to 1970, 233 at time 1607969497794
Moved to 1969, 232 at time 1607969497934
Moved to 1968, 231 at time 1607969498054
Moved to 1967, 230 at time 1607969498088
Moved to 1966, 229 at time 1607969498161
Moved to 1965, 228 at time 1607969498324
Moved to 1964, 227 at time 1607969498445
Moved to 1963, 226 at time 1607969498554
Moved to 1962, 225 at time 1607969498724
Moved to 1961, 224 at time 1607969498863
Moved to 1960, 223 at time 1607969499006
Moved to 1959, 222 at time 1607969499085
Moved to 1958, 221 at time 1607969499120
Moved to 1957, 220 at time 1607969499211
Moved to 1956, 219 at time 1607969499289
Moved to 1955, 218 at time 1607969499459
Moved to 1954, 217 at time 1607969499560
Moved to 1953, 216 at time 1607969499606
Moved to 1952, 215 at time 1607969499690
Moved to 1951, 214 at time 1607969499737
Moved to 1950, 213 at time 1607969499828
Moved to 1949, 212 at time 1607969499872
Moved to 1948, 211 at time 1607969499965
Moved to 1947, 210 at time 1607969500016
Moved to 1946, 209 at time 1607969500103
Moved to 1945, 208 at time 1607969500149
Moved to 1944, 207 at time 1607969500245
Moved to 1943, 206 at time 1607969500294
Moved to 1942, 205 at time 1607969500372
Moved to 1941, 204 at time 1607969500430
Moved to 1940, 203 at time 1607969500466
Moved to 1939, 202 at time 1607969500597
Moved to 1938, 201 at time 1607969500656
Moved to 1937, 200 at time 1607969500721
Moved to 1936, 199 at time 1607969500766
Moved to 1935, 198 at time 1607969500825
Moved to 1934, 197 at time 1607969500861
Moved to 1933, 196 at time 1607969500903
Moved to 1932, 195 at time 1607969500951
Moved to 1931, 194 at time 1607969500997
Moved to 1930, 193 at time 1607969501076
Moved to 1929, 192 at time 1607969501141
Moved to 1928, 191 at time 1607969501204
Moved to 1927, 190 at time 1607969501258
Moved to 1926, 189 at time 1607969501296
Moved to 1925, 188 at time 1607969501338
Moved to 1924, 187 at time 1607969501378
Moved to 1923, 186 at time 1607969501415
Moved to 1922, 185 at time 1607969501475
Moved to 1921, 184 at time 1607969501519
Moved to 1920, 183 at time 1607969501560
Moved to 1919, 182 at time 1607969501600
Moved to 1918, 181 at time 1607969501638
Moved to 1917, 180 at time 1607969501740
Moved to 1916, 179 at time 1607969501857
Moved to 1915, 178 at time 1607969501941
Moved to 1914, 177 at time 1607969501983
Moved to 1913, 176 at time 1607969502100
Moved to 1912, 175 at time 1607969502185
Moved to 1911, 174 at time 1607969502325
Moved to 1910, 173 at time 1607969502455
Moved to 1909, 172 at time 1607969502616
Moved to 1908, 171 at time 1607969502717
Moved to 1907, 170 at time 1607969502778
Moved to 1906, 169 at time 1607969502834
Moved to 1905, 168 at time 1607969502894
Moved to 1904, 167 at time 1607969502957
Moved to 1903, 166 at time 1607969502995
Moved to 1902, 165 at time 1607969503053
Moved to 1901, 164 at time 1607969503096
Moved to 1900, 163 at time 1607969503175
Moved to 1899, 162 at time 1607969503233
Moved to 1898, 161 at time 1607969503374
Moved to 1897, 160 at time 1607969503429
Moved to 1896, 159 at time 1607969503473
Moved to 1895, 158 at time 1607969503508
Moved to 1894, 157 at time 1607969503557
Moved to 1893, 156 at time 1607969503612
Moved to 1892, 155 at time 1607969503668
Moved to 1891, 154 at time 1607969503725
Moved to 1890, 153 at time 1607969503773
Moved to 1889, 152 at time 1607969503823
Moved to 1888, 151 at time 1607969503887
Moved to 1887, 150 at time 1607969503940
Moved to 1886, 149 at time 1607969503974
Moved to 1885, 148 at time 1607969504009
Moved to 1884, 147 at time 1607969504121
Moved to 1883, 146 at time 1607969504185
Moved to 1882, 145 at time 1607969504271
Moved to 1881, 144 at time 1607969504314
Moved to 1880, 143 at time 1607969504358
Moved to 1879, 142 at time 1607969504392
Moved to 1878, 141 at time 1607969504465
Moved to 1877, 140 at time 1607969504514
Moved to 1876, 139 at time 1607969504558
Moved to 1875, 138 at time 1607969504614
Moved to 1874, 137 at time 1607969504655
Moved to 1873, 136 at time 1607969504703
Moved to 1872, 135 at time 1607969504744
Moved to 1871, 134 at time 1607969504794
Moved to 1870, 133 at time 1607969504846
Moved to 1869, 132 at time 1607969504896
Moved to 1868, 131 at time 1607969504944
Moved to 1867, 130 at time 1607969504984
Moved to 1866, 129 at time 1607969505056
Moved to 1865, 128 at time 1607969505100
Moved to 1864, 127 at time 1607969505143
Moved to 1863, 126 at time 1607969505187
Moved to 1862, 125 at time 1607969505244
Moved to 1861, 124 at time 1607969505294
Moved to 1860, 123 at time 1607969505339
Moved to 1859, 122 at time 1607969505382
Moved to 1858, 121 at time 1607969505429
Moved to 1857, 120 at time 1607969505478
Moved to 1700, 119 at time 1607969518258
Moved to 1699, 118 at time 1607969518401
Moved to 1698, 117 at time 1607969518493
Moved to 1697, 116 at time 1607969518601
Moved to 1696, 115 at time 1607969518687
Moved to 1695, 114 at time 1607969518761
Moved to 1694, 113 at time 1607969518829
Moved to 1693, 112 at time 1607969518897
Moved to 1692, 111 at time 1607969518976
Moved to 1691, 110 at time 1607969519060
Moved to 1690, 109 at time 1607969519108
Moved to 1689, 108 at time 1607969519148
Moved to 1688, 107 at time 1607969519197
Moved to 1687, 106 at time 1607969519231
Moved to 1686, 104 at time 1607969519316
Moved to 1685, 103 at time 1607969519385
Moved to 1684, 101 at time 1607969519540
Moved to 1683, 100 at time 1607969519618
