Attacked Unit@7f353822at position 484, 1327 at time 1607971941781
Attacked Unit@603d5b62at position 452, 1308 at time 1607972019932
Attacked Unit@2bbee16dat position 511, 1334 at time 1607972021607
Attacked Unit@4184ca64at position 454, 1261 at time 1607972023307
Attacked Unit@15996f7bat position 473, 1254 at time 1607972024977
Attacked Unit@4184ca64at position 514, 1201 at time 1607972026668
Attacked Unit@2d5fadb3at position 509, 1214 at time 1607972028362
Got attacked at 702, 1069 by Unit@2d5fadb3 at time 1607972029817
Attacked Unit@7f353822at position 557, 1267 at time 1607972030055
Got attacked at 702, 1069 by Unit@74d64f16 at time 1607972030880
Got attacked at 702, 1069 by Unit@4184ca64 at time 1607972030902
Got attacked at 702, 1069 by Unit@2d5fadb3 at time 1607972031503
Attacked Unit@35d9bf3at position 572, 1291 at time 1607972031731
Moved to 701, 1068 at time 1607972031765
Moved to 700, 1067 at time 1607972031799
Moved to 699, 1066 at time 1607972031833
Moved to 698, 1065 at time 1607972031867
Moved to 697, 1064 at time 1607972031901
Moved to 696, 1063 at time 1607972031935
Moved to 695, 1062 at time 1607972031969
Moved to 694, 1061 at time 1607972032003
Moved to 693, 1060 at time 1607972032037
Moved to 692, 1059 at time 1607972032104
Moved to 691, 1058 at time 1607972032138
Moved to 690, 1057 at time 1607972032174
Moved to 689, 1056 at time 1607972032208
Moved to 688, 1055 at time 1607972032242
Moved to 687, 1054 at time 1607972032309
Moved to 686, 1053 at time 1607972032343
Moved to 685, 1052 at time 1607972032377
Moved to 684, 1051 at time 1607972032411
Moved to 683, 1050 at time 1607972032446
Moved to 682, 1049 at time 1607972032480
Moved to 681, 1048 at time 1607972032515
Moved to 680, 1047 at time 1607972032549
Moved to 679, 1046 at time 1607972032583
Moved to 678, 1045 at time 1607972032662
Moved to 677, 1044 at time 1607972032697
Moved to 676, 1043 at time 1607972032731
Moved to 675, 1042 at time 1607972032765
Moved to 674, 1041 at time 1607972032799
Moved to 673, 1040 at time 1607972032833
Moved to 672, 1039 at time 1607972032873
Moved to 671, 1038 at time 1607972032908
