Attacked Unit@213766beat position 935, 890 at time 1607972168653
Moved to 907, 891 at time 1607972168708
Moved to 906, 892 at time 1607972179209
Moved to 905, 893 at time 1607972179260
Moved to 904, 894 at time 1607972179312
Moved to 903, 895 at time 1607972179363
Moved to 902, 896 at time 1607972179415
Moved to 901, 897 at time 1607972179467
Moved to 900, 898 at time 1607972179519
Moved to 899, 899 at time 1607972179570
Moved to 898, 900 at time 1607972179623
Moved to 897, 901 at time 1607972179748
Moved to 896, 902 at time 1607972179798
Moved to 895, 903 at time 1607972179850
Moved to 894, 904 at time 1607972179903
Moved to 893, 905 at time 1607972179957
Moved to 892, 906 at time 1607972180008
Moved to 891, 907 at time 1607972180059
Moved to 890, 908 at time 1607972180112
Moved to 889, 909 at time 1607972180214
Moved to 888, 910 at time 1607972180266
Moved to 887, 911 at time 1607972180318
Moved to 886, 912 at time 1607972180371
Moved to 885, 913 at time 1607972180423
Moved to 884, 914 at time 1607972180526
Moved to 883, 915 at time 1607972180579
Moved to 882, 916 at time 1607972180630
Moved to 881, 917 at time 1607972180684
Moved to 880, 918 at time 1607972180735
Moved to 879, 919 at time 1607972180787
Moved to 878, 920 at time 1607972180840
Moved to 877, 921 at time 1607972180891
Moved to 876, 922 at time 1607972180942
Moved to 875, 923 at time 1607972180994
Moved to 874, 924 at time 1607972181045
Moved to 873, 925 at time 1607972181097
Moved to 872, 926 at time 1607972181198
Moved to 871, 927 at time 1607972181249
Moved to 870, 928 at time 1607972181300
Got attacked at 870, 928 by Unit@4003a1c at time 1607972181336
Moved to 869, 929 at time 1607972181351
Moved to 868, 930 at time 1607972181403
Moved to 867, 931 at time 1607972181456
Moved to 866, 932 at time 1607972181508
Moved to 865, 933 at time 1607972181559
Moved to 864, 934 at time 1607972181660
Moved to 863, 935 at time 1607972181711
Moved to 862, 936 at time 1607972181762
Moved to 861, 937 at time 1607972181813
Moved to 860, 938 at time 1607972181864
Moved to 859, 939 at time 1607972181915
Moved to 858, 940 at time 1607972181966
Moved to 857, 941 at time 1607972182017
Moved to 856, 942 at time 1607972182118
Moved to 855, 943 at time 1607972182169
Moved to 854, 944 at time 1607972182221
Moved to 853, 945 at time 1607972182273
Moved to 852, 946 at time 1607972182324
Moved to 851, 947 at time 1607972182375
Moved to 850, 948 at time 1607972182426
Moved to 849, 949 at time 1607972182477
Moved to 848, 950 at time 1607972182578
Got attacked at 848, 950 by Unit@54de08b1 at time 1607972182590
Moved to 847, 951 at time 1607972182630
Moved to 846, 950 at time 1607972182681
Moved to 845, 951 at time 1607972182732
Moved to 844, 952 at time 1607972182783
Moved to 843, 953 at time 1607972182834
Moved to 842, 954 at time 1607972182935
Moved to 841, 955 at time 1607972182987
Got attacked at 841, 955 by Unit@4003a1c at time 1607972183011
Moved to 840, 956 at time 1607972183038
Moved to 839, 957 at time 1607972183089
Moved to 838, 958 at time 1607972183140
Moved to 837, 959 at time 1607972183192
Moved to 836, 960 at time 1607972183242
Got attacked at 836, 960 by Unit@5b571a87 at time 1607972183253
Moved to 835, 961 at time 1607972183295
Moved to 834, 962 at time 1607972183347
Moved to 833, 963 at time 1607972183398
Moved to 832, 964 at time 1607972183449
Moved to 831, 965 at time 1607972183501
Moved to 830, 966 at time 1607972183553
Moved to 829, 967 at time 1607972183606
Moved to 828, 968 at time 1607972183657
Moved to 827, 969 at time 1607972183709
Moved to 826, 970 at time 1607972183760
Got attacked at 826, 970 by Unit@7399b729 at time 1607972183767
Moved to 825, 971 at time 1607972183812
Got attacked at 825, 971 by Unit@47ab2616 at time 1607972183818
Got attacked at 825, 971 by Unit@3410e711 at time 1607972183842
Got attacked at 825, 971 by Unit@45ac46da at time 1607972183861
Moved to 824, 972 at time 1607972183867
Died at 824, 972 at time 1607972183867
