Attacked Unit@44f7debfat position 1665, 569 at time 1607967053538
Attacked Unit@766087ddat position 1543, 583 at time 1607967097402
Attacked Unit@5f96c7d4at position 1571, 630 at time 1607967099249
Moved to 1447, 378 at time 1607967099568
Moved to 1448, 379 at time 1607967099983
Moved to 1449, 380 at time 1607967100071
Moved to 1450, 381 at time 1607967100281
Moved to 1451, 382 at time 1607967100531
Moved to 1452, 383 at time 1607967100772
Moved to 1453, 384 at time 1607967100977
Moved to 1454, 385 at time 1607967101422
Moved to 1455, 386 at time 1607967101725
Moved to 1456, 387 at time 1607967101833
Moved to 1457, 388 at time 1607967101877
Moved to 1458, 389 at time 1607967101965
Moved to 1459, 390 at time 1607967102053
Moved to 1460, 391 at time 1607967102160
Moved to 1461, 392 at time 1607967102204
Moved to 1462, 393 at time 1607967102387
Moved to 1463, 394 at time 1607967102499
Moved to 1464, 395 at time 1607967102731
Moved to 1465, 396 at time 1607967102894
Moved to 1466, 397 at time 1607967102930
Moved to 1467, 398 at time 1607967103209
Moved to 1468, 399 at time 1607967103303
Moved to 1469, 400 at time 1607967103398
Moved to 1470, 401 at time 1607967103574
Moved to 1471, 402 at time 1607967103721
Moved to 1472, 403 at time 1607967103890
Moved to 1473, 404 at time 1607967103991
Moved to 1474, 405 at time 1607967104030
Moved to 1475, 406 at time 1607967104496
Moved to 1476, 407 at time 1607967104899
Moved to 1477, 408 at time 1607967105109
Moved to 1478, 409 at time 1607967105476
Moved to 1479, 410 at time 1607967105812
Moved to 1480, 411 at time 1607967105990
Moved to 1481, 412 at time 1607967106136
Moved to 1482, 413 at time 1607967106403
Moved to 1483, 414 at time 1607967106499
Moved to 1484, 415 at time 1607967106533
Moved to 1485, 416 at time 1607967106652
Moved to 1486, 417 at time 1607967107002
Moved to 1487, 418 at time 1607967107074
Moved to 1488, 419 at time 1607967107298
Moved to 1489, 420 at time 1607967107589
Moved to 1490, 421 at time 1607967107696
Moved to 1491, 422 at time 1607967107845
Moved to 1492, 423 at time 1607967107997
