Attacked Unit@ab88c1fat position 37, 945 at time 1607968070209
Attacked Unit@134d0df5at position 19, 838 at time 1607968144135
Attacked Unit@592f5909at position 25, 945 at time 1607968146691
Attacked Unit@2a89c25dat position 44, 838 at time 1607968149245
Got attacked at 6, 1157 by Unit@7738dac7 at time 1607968149435
Moved to 7, 1156 at time 1607968150185
Moved to 8, 1155 at time 1607968150416
Moved to 9, 1154 at time 1607968150549
Moved to 10, 1153 at time 1607968150782
Moved to 11, 1152 at time 1607968151093
Moved to 12, 1151 at time 1607968151324
Moved to 13, 1150 at time 1607968151593
Moved to 14, 1149 at time 1607968151848
Moved to 15, 1148 at time 1607968152416
Moved to 16, 1147 at time 1607968152649
Moved to 17, 1146 at time 1607968152898
Moved to 18, 1145 at time 1607968153140
Moved to 19, 1144 at time 1607968153410
Moved to 20, 1143 at time 1607968153697
Moved to 21, 1142 at time 1607968153963
Moved to 22, 1141 at time 1607968263890
Moved to 23, 1140 at time 1607968264093
Moved to 24, 1139 at time 1607968264343
Moved to 25, 1138 at time 1607968264717
Moved to 26, 1137 at time 1607968265030
Moved to 27, 1136 at time 1607968265459
Moved to 28, 1135 at time 1607968265802
Moved to 29, 1134 at time 1607968266134
Moved to 30, 1133 at time 1607968266376
Moved to 31, 1132 at time 1607968266605
Moved to 32, 1131 at time 1607968266808
Moved to 33, 1130 at time 1607968267055
Moved to 34, 1129 at time 1607968267341
Moved to 35, 1128 at time 1607968267619
Moved to 36, 1127 at time 1607968267856
Moved to 37, 1126 at time 1607968268126
Moved to 38, 1125 at time 1607968268337
Moved to 39, 1124 at time 1607968268600
Moved to 40, 1123 at time 1607968268803
Moved to 41, 1122 at time 1607968269023
Moved to 42, 1121 at time 1607968269288
Moved to 43, 1120 at time 1607968269498
Got attacked at 43, 1120 by Unit@2891f68a at time 1607968269725
Moved to 44, 1119 at time 1607968269759
Died at 44, 1119 at time 1607968269759
