Attacked Unit@13f8ef61at position 14, 1144 at time 1607967053460
Attacked Unit@e4bbe4at position 19, 1146 at time 1607967097338
Attacked Unit@2435e3beat position 38, 1146 at time 1607967099244
Attacked Unit@5f4f3e8eat position 39, 1142 at time 1607967101530
Attacked Unit@37988cafat position 28, 1142 at time 1607967103259
Moved to 214, 902 at time 1607967105273
Moved to 213, 903 at time 1607967105346
Moved to 214, 907 at time 1607967106999
Moved to 213, 908 at time 1607967107080
Moved to 212, 910 at time 1607967107360
Moved to 211, 911 at time 1607967107573
Moved to 212, 918 at time 1607967108383
Moved to 213, 919 at time 1607967108439
Moved to 214, 920 at time 1607967108474
Moved to 215, 931 at time 1607967111928
Moved to 216, 932 at time 1607967112132
Moved to 217, 933 at time 1607967112443
Moved to 218, 934 at time 1607967112770
Moved to 219, 935 at time 1607967113195
Moved to 220, 936 at time 1607967113631
Moved to 221, 937 at time 1607967114109
Moved to 222, 938 at time 1607967114544
Moved to 223, 939 at time 1607967114957
Moved to 225, 946 at time 1607967119803
Moved to 226, 947 at time 1607967119919
Moved to 227, 948 at time 1607967119989
Moved to 228, 949 at time 1607967120116
Moved to 229, 950 at time 1607967120213
Moved to 230, 951 at time 1607967120339
Moved to 231, 952 at time 1607967120417
Moved to 232, 953 at time 1607967120542
Moved to 233, 954 at time 1607967120653
Moved to 234, 955 at time 1607967120733
Moved to 235, 956 at time 1607967120867
Moved to 236, 957 at time 1607967120956
Moved to 237, 958 at time 1607967121050
Moved to 238, 959 at time 1607967121157
Moved to 239, 960 at time 1607967121336
Moved to 240, 961 at time 1607967121466
Moved to 241, 962 at time 1607967121554
Moved to 242, 963 at time 1607967121655
Moved to 243, 964 at time 1607967121736
Moved to 242, 963 at time 1607967121832
Moved to 241, 962 at time 1607967121901
Moved to 240, 961 at time 1607967122000
Moved to 239, 959 at time 1607967122169
Moved to 238, 958 at time 1607967122222
Moved to 237, 957 at time 1607967122318
Moved to 236, 956 at time 1607967122377
Moved to 235, 955 at time 1607967122468
Moved to 234, 954 at time 1607967122522
Moved to 233, 953 at time 1607967122632
Moved to 232, 952 at time 1607967122685
Moved to 231, 951 at time 1607967122772
Moved to 230, 950 at time 1607967122824
Moved to 229, 949 at time 1607967122858
Moved to 228, 948 at time 1607967122916
Moved to 227, 947 at time 1607967123039
Moved to 226, 946 at time 1607967123354
Moved to 225, 945 at time 1607967123388
Moved to 224, 944 at time 1607967123666
Moved to 223, 943 at time 1607967123737
Moved to 222, 942 at time 1607967124018
Moved to 221, 941 at time 1607967124098
Moved to 220, 940 at time 1607967124348
Moved to 219, 939 at time 1607967124393
Moved to 218, 938 at time 1607967124438
Moved to 217, 937 at time 1607967124482
Moved to 216, 936 at time 1607967124532
Moved to 215, 935 at time 1607967124582
Moved to 216, 902 at time 1607967221191
Moved to 217, 903 at time 1607967221262
Moved to 218, 904 at time 1607967221326
Moved to 219, 905 at time 1607967221361
Moved to 220, 906 at time 1607967221419
Moved to 221, 907 at time 1607967221481
Moved to 222, 908 at time 1607967221525
Moved to 223, 909 at time 1607967221585
Moved to 224, 910 at time 1607967221622
Moved to 225, 911 at time 1607967221668
Moved to 226, 912 at time 1607967221709
Moved to 227, 913 at time 1607967221814
Moved to 228, 914 at time 1607967221853
Moved to 229, 915 at time 1607967221938
Moved to 230, 916 at time 1607967221976
Moved to 231, 917 at time 1607967222053
Moved to 232, 918 at time 1607967222101
Moved to 233, 919 at time 1607967222182
Moved to 234, 920 at time 1607967222219
Moved to 235, 921 at time 1607967222294
Moved to 236, 922 at time 1607967222337
Moved to 237, 923 at time 1607967222416
Moved to 238, 924 at time 1607967222462
Moved to 239, 925 at time 1607967222544
Moved to 240, 926 at time 1607967222621
Moved to 241, 927 at time 1607967222663
Moved to 242, 928 at time 1607967222742
Moved to 243, 929 at time 1607967222839
Moved to 244, 930 at time 1607967222928
Moved to 245, 931 at time 1607967222998
Moved to 246, 932 at time 1607967223056
Moved to 247, 933 at time 1607967223124
Moved to 248, 934 at time 1607967223250
