Attacked Unit@1e83c84eat position 425, 1334 at time 1607971941773
Attacked Unit@149cca75at position 432, 1359 at time 1607972019912
Attacked Unit@47a10929at position 526, 1396 at time 1607972021603
Got attacked at 680, 1390 by Unit@720b2cf2 at time 1607972021610
Got attacked at 680, 1390 by Unit@21357b49 at time 1607972021613
Got attacked at 680, 1390 by Unit@403ce9ef at time 1607972021614
Got attacked at 680, 1390 by Unit@47a10929 at time 1607972021616
Got attacked at 680, 1390 by Unit@2bbee16d at time 1607972021657
Died at 680, 1390 at time 1607972021671
