Moved to 1610, 2588 at time 1607968070259
Moved to 1609, 2587 at time 1607968144020
Moved to 1608, 2586 at time 1607968144194
Moved to 1607, 2585 at time 1607968144229
Moved to 1606, 2584 at time 1607968144389
Moved to 1605, 2583 at time 1607968144606
Moved to 1604, 2582 at time 1607968144847
Moved to 1603, 2581 at time 1607968145064
Moved to 1602, 2580 at time 1607968145209
Moved to 1601, 2579 at time 1607968145432
Moved to 1600, 2578 at time 1607968145764
Moved to 1599, 2577 at time 1607968145948
Moved to 1598, 2576 at time 1607968146181
Moved to 1597, 2575 at time 1607968146521
Moved to 1596, 2574 at time 1607968146825
Moved to 1595, 2573 at time 1607968146939
Moved to 1594, 2572 at time 1607968147045
Moved to 1593, 2571 at time 1607968147154
Moved to 1592, 2570 at time 1607968147311
Moved to 1591, 2569 at time 1607968147429
Moved to 1590, 2568 at time 1607968147464
Moved to 1589, 2567 at time 1607968147592
Moved to 1588, 2566 at time 1607968147745
Moved to 1587, 2565 at time 1607968147815
Moved to 1586, 2564 at time 1607968147852
Moved to 1585, 2563 at time 1607968147940
Moved to 1584, 2562 at time 1607968147975
Moved to 1583, 2561 at time 1607968148201
Moved to 1582, 2560 at time 1607968148580
Moved to 1581, 2559 at time 1607968148768
Moved to 1580, 2558 at time 1607968148872
Moved to 1579, 2557 at time 1607968149079
Moved to 1578, 2556 at time 1607968149191
Moved to 1577, 2555 at time 1607968149335
Moved to 1576, 2554 at time 1607968149373
Moved to 1575, 2553 at time 1607968149524
Moved to 1574, 2552 at time 1607968149745
Moved to 1573, 2551 at time 1607968149898
Moved to 1572, 2550 at time 1607968150109
Moved to 1571, 2549 at time 1607968150223
Moved to 1570, 2548 at time 1607968150363
Moved to 1569, 2547 at time 1607968150464
Moved to 1568, 2546 at time 1607968150647
Moved to 1567, 2545 at time 1607968150848
Moved to 1566, 2544 at time 1607968151002
Moved to 1565, 2543 at time 1607968151047
Moved to 1564, 2542 at time 1607968151182
Moved to 1563, 2541 at time 1607968151222
Moved to 1562, 2540 at time 1607968151258
Moved to 1561, 2539 at time 1607968151330
Moved to 1560, 2538 at time 1607968151423
Moved to 1559, 2537 at time 1607968151457
Moved to 1558, 2536 at time 1607968151626
Moved to 1557, 2535 at time 1607968151768
Moved to 1556, 2534 at time 1607968151841
Moved to 1555, 2533 at time 1607968151878
Moved to 1554, 2532 at time 1607968152003
Moved to 1553, 2531 at time 1607968152059
Moved to 1552, 2530 at time 1607968152165
Moved to 1551, 2529 at time 1607968152225
Moved to 1550, 2528 at time 1607968152331
Moved to 1549, 2527 at time 1607968152394
Moved to 1548, 2526 at time 1607968152585
Moved to 1547, 2525 at time 1607968152649
Moved to 1546, 2524 at time 1607968152834
Moved to 1545, 2523 at time 1607968152875
Moved to 1544, 2522 at time 1607968153000
Moved to 1543, 2521 at time 1607968153047
Moved to 1542, 2520 at time 1607968153159
Moved to 1541, 2519 at time 1607968153210
Moved to 1540, 2518 at time 1607968153340
Moved to 1539, 2517 at time 1607968153553
Moved to 1538, 2516 at time 1607968153718
Moved to 1537, 2515 at time 1607968153923
Moved to 1536, 2514 at time 1607968154045
Moved to 1535, 2513 at time 1607968263717
Moved to 1534, 2512 at time 1607968263835
Moved to 1533, 2511 at time 1607968263963
Moved to 1532, 2510 at time 1607968264122
Moved to 1531, 2509 at time 1607968264282
Moved to 1530, 2508 at time 1607968264517
Moved to 1529, 2507 at time 1607968264709
Moved to 1528, 2506 at time 1607968264969
Moved to 1527, 2505 at time 1607968265162
Moved to 1526, 2504 at time 1607968265425
Moved to 1525, 2503 at time 1607968265580
Moved to 1524, 2502 at time 1607968265636
Moved to 1523, 2501 at time 1607968265789
Moved to 1522, 2500 at time 1607968265838
Moved to 1521, 2499 at time 1607968266024
Moved to 1520, 2498 at time 1607968266078
Moved to 1519, 2497 at time 1607968266250
Moved to 1518, 2496 at time 1607968266293
Moved to 1517, 2495 at time 1607968266384
Moved to 1516, 2494 at time 1607968266508
Moved to 1515, 2493 at time 1607968266562
Moved to 1514, 2492 at time 1607968266674
Moved to 1513, 2491 at time 1607968266728
Moved to 1512, 2490 at time 1607968266852
Moved to 1511, 2489 at time 1607968266896
Moved to 1510, 2488 at time 1607968266989
Moved to 1509, 2487 at time 1607968267042
Moved to 1508, 2486 at time 1607968267156
Moved to 1507, 2485 at time 1607968267190
Moved to 1506, 2484 at time 1607968267247
Moved to 1505, 2483 at time 1607968267344
Moved to 1504, 2482 at time 1607968267420
Moved to 1503, 2481 at time 1607968267523
Moved to 1502, 2480 at time 1607968267606
Moved to 1501, 2479 at time 1607968267680
Moved to 1500, 2478 at time 1607968267768
Moved to 1499, 2477 at time 1607968267802
Moved to 1498, 2476 at time 1607968267918
Moved to 1497, 2475 at time 1607968267953
Moved to 1496, 2474 at time 1607968268055
Moved to 1495, 2473 at time 1607968268157
Moved to 1494, 2472 at time 1607968268270
Moved to 1493, 2471 at time 1607968268361
Moved to 1492, 2470 at time 1607968268463
Moved to 1491, 2469 at time 1607968268567
Moved to 1490, 2468 at time 1607968268620
Moved to 1489, 2467 at time 1607968268726
Moved to 1488, 2466 at time 1607968268821
Moved to 1487, 2465 at time 1607968268905
Moved to 1486, 2464 at time 1607968269008
Moved to 1485, 2463 at time 1607968269097
Moved to 1484, 2462 at time 1607968269188
Moved to 1483, 2461 at time 1607968269289
Moved to 1482, 2460 at time 1607968269338
Moved to 1481, 2459 at time 1607968269414
Moved to 1480, 2458 at time 1607968269471
Moved to 1479, 2457 at time 1607968269540
Moved to 1478, 2456 at time 1607968269596
Moved to 1477, 2455 at time 1607968269697
Moved to 1476, 2454 at time 1607968269794
Moved to 1475, 2453 at time 1607968269842
Moved to 1474, 2452 at time 1607968269926
Moved to 1473, 2451 at time 1607968270004
Moved to 1472, 2450 at time 1607968270092
Moved to 1471, 2449 at time 1607968270156
Moved to 1470, 2448 at time 1607968270240
Moved to 1469, 2447 at time 1607968270287
Moved to 1468, 2446 at time 1607968270403
Moved to 1467, 2445 at time 1607968270452
Moved to 1466, 2444 at time 1607968270553
Moved to 1465, 2443 at time 1607968270592
Moved to 1464, 2442 at time 1607968270693
Moved to 1463, 2441 at time 1607968270770
Moved to 1462, 2440 at time 1607968270848
Moved to 1461, 2439 at time 1607968270910
Moved to 1460, 2438 at time 1607968270993
Moved to 1459, 2437 at time 1607968271060
Moved to 1458, 2436 at time 1607968271172
Moved to 1457, 2435 at time 1607968271206
Moved to 1456, 2434 at time 1607968271308
Moved to 1455, 2433 at time 1607968271348
Moved to 1454, 2432 at time 1607968271435
Moved to 1453, 2431 at time 1607968271508
Moved to 1452, 2430 at time 1607968271591
Moved to 1451, 2429 at time 1607968271653
Moved to 1450, 2428 at time 1607968271753
Moved to 1449, 2427 at time 1607968271815
Moved to 1448, 2426 at time 1607968271927
Moved to 1447, 2425 at time 1607968271976
Moved to 1446, 2424 at time 1607968272062
Moved to 1445, 2423 at time 1607968272121
