Attacked Unit@43622cd4at position 677, 493 at time 1607965644425
Moved to 574, 387 at time 1607965736874
Moved to 573, 386 at time 1607965737109
Moved to 572, 385 at time 1607965737548
Moved to 571, 384 at time 1607965737921
Moved to 570, 383 at time 1607965738346
Moved to 569, 382 at time 1607965738728
Moved to 568, 381 at time 1607965739166
Moved to 567, 380 at time 1607965739509
Moved to 566, 379 at time 1607965739556
Moved to 565, 378 at time 1607965739898
Moved to 564, 377 at time 1607965739939
Moved to 563, 376 at time 1607965740263
Moved to 562, 375 at time 1607965740312
Moved to 561, 374 at time 1607965740442
Moved to 560, 373 at time 1607965740564
Moved to 559, 372 at time 1607965740689
Moved to 558, 371 at time 1607965740772
Moved to 557, 370 at time 1607965741063
Moved to 556, 369 at time 1607965741204
Moved to 555, 368 at time 1607965741419
Moved to 554, 367 at time 1607965741813
Moved to 553, 366 at time 1607965742006
Moved to 552, 365 at time 1607965742217
Moved to 551, 364 at time 1607965742379
Moved to 550, 363 at time 1607965742544
Moved to 549, 362 at time 1607965742631
Moved to 548, 361 at time 1607965742762
Moved to 547, 360 at time 1607965742915
Moved to 546, 359 at time 1607965743047
Moved to 545, 358 at time 1607965743192
Moved to 544, 357 at time 1607965743313
Moved to 543, 356 at time 1607965743365
Moved to 542, 355 at time 1607965743498
Moved to 541, 354 at time 1607965743879
Moved to 540, 353 at time 1607965744269
Moved to 539, 352 at time 1607965744614
Moved to 538, 351 at time 1607965744650
Moved to 537, 350 at time 1607965744969
Moved to 536, 349 at time 1607965745011
Moved to 535, 348 at time 1607965745330
Moved to 534, 347 at time 1607965745375
Moved to 533, 346 at time 1607965745694
Moved to 532, 345 at time 1607965745742
Moved to 531, 344 at time 1607965746066
Moved to 530, 343 at time 1607965746462
Moved to 529, 342 at time 1607965746498
Moved to 528, 341 at time 1607965746731
Moved to 527, 340 at time 1607965746822
Moved to 526, 339 at time 1607965747088
Moved to 525, 338 at time 1607965747182
Moved to 524, 337 at time 1607965747446
Moved to 523, 336 at time 1607965747543
Moved to 522, 335 at time 1607965747801
Moved to 521, 334 at time 1607965747891
Moved to 520, 333 at time 1607965748122
Moved to 519, 332 at time 1607965748254
Moved to 518, 331 at time 1607965748350
Moved to 517, 330 at time 1607965748467
Moved to 516, 329 at time 1607965748548
Moved to 515, 328 at time 1607965748647
Moved to 514, 327 at time 1607965748788
Moved to 513, 326 at time 1607965748873
Moved to 512, 325 at time 1607965748965
Moved to 511, 324 at time 1607965749050
Moved to 510, 323 at time 1607965749288
Moved to 509, 322 at time 1607965749669
Moved to 508, 321 at time 1607965750065
Moved to 507, 320 at time 1607965750468
Moved to 506, 319 at time 1607965750864
Moved to 505, 318 at time 1607965751244
Moved to 504, 317 at time 1607965751615
Moved to 503, 316 at time 1607965751924
Moved to 502, 315 at time 1607965752079
Moved to 501, 314 at time 1607965752183
Moved to 500, 313 at time 1607965752439
Moved to 499, 312 at time 1607965752849
Moved to 498, 311 at time 1607965753228
Moved to 497, 310 at time 1607965753627
Moved to 496, 309 at time 1607965754027
Moved to 495, 308 at time 1607965754425
Moved to 494, 307 at time 1607965754795
Moved to 493, 306 at time 1607965755183
Moved to 492, 305 at time 1607965755543
Moved to 491, 304 at time 1607965755949
Moved to 490, 303 at time 1607965756294
Moved to 489, 302 at time 1607965756721
Moved to 488, 301 at time 1607965756975
Moved to 487, 300 at time 1607965757036
Moved to 486, 299 at time 1607965757365
Moved to 485, 298 at time 1607965757425
