Attacked Unit@213766beat position 935, 890 at time 1607972168653
Moved to 945, 921 at time 1607972168707
Moved to 944, 922 at time 1607972177199
Moved to 943, 923 at time 1607972177250
Moved to 942, 924 at time 1607972177301
Moved to 941, 925 at time 1607972177355
Moved to 940, 926 at time 1607972177408
Moved to 939, 927 at time 1607972177459
Moved to 938, 928 at time 1607972177510
Moved to 937, 929 at time 1607972177561
Moved to 936, 930 at time 1607972177662
Moved to 935, 931 at time 1607972177713
Moved to 934, 932 at time 1607972177765
Moved to 933, 933 at time 1607972177822
Moved to 932, 934 at time 1607972177873
Moved to 931, 935 at time 1607972177924
Moved to 930, 936 at time 1607972177975
Moved to 929, 937 at time 1607972178026
Moved to 928, 938 at time 1607972178078
Moved to 927, 939 at time 1607972178129
Moved to 926, 940 at time 1607972178180
Moved to 925, 941 at time 1607972178231
Moved to 924, 942 at time 1607972178332
Moved to 923, 943 at time 1607972178383
Moved to 922, 944 at time 1607972178437
Moved to 921, 945 at time 1607972178489
Moved to 920, 946 at time 1607972178540
Moved to 919, 947 at time 1607972178591
Moved to 918, 948 at time 1607972178642
Moved to 917, 949 at time 1607972178693
Moved to 916, 950 at time 1607972178745
Moved to 915, 951 at time 1607972178798
Moved to 914, 952 at time 1607972178849
Moved to 913, 953 at time 1607972178900
Moved to 912, 954 at time 1607972178953
Moved to 907, 955 at time 1607972179209
Moved to 906, 956 at time 1607972179260
Moved to 905, 957 at time 1607972179312
Moved to 904, 958 at time 1607972179413
Moved to 903, 959 at time 1607972179464
Moved to 902, 960 at time 1607972179515
Moved to 901, 961 at time 1607972179566
Moved to 900, 962 at time 1607972179617
Moved to 899, 963 at time 1607972179670
Moved to 898, 964 at time 1607972179728
Moved to 897, 965 at time 1607972179780
Moved to 896, 966 at time 1607972179831
Moved to 895, 967 at time 1607972179882
Moved to 894, 968 at time 1607972179933
Moved to 893, 969 at time 1607972179985
Moved to 892, 970 at time 1607972180037
Moved to 891, 971 at time 1607972180089
Moved to 890, 972 at time 1607972180190
Moved to 889, 973 at time 1607972180241
Moved to 888, 974 at time 1607972180292
Moved to 887, 975 at time 1607972180343
Moved to 886, 976 at time 1607972180396
Moved to 885, 977 at time 1607972180448
Moved to 884, 978 at time 1607972180549
Moved to 883, 979 at time 1607972180600
Moved to 882, 980 at time 1607972180651
Moved to 881, 981 at time 1607972180703
Got attacked at 880, 981 by Unit@44c7fdca at time 1607972180779
Got attacked at 878, 981 by Unit@54de08b1 at time 1607972180910
Got attacked at 857, 981 by Unit@7b083e9d at time 1607972182076
Got attacked at 857, 981 by Unit@7399b729 at time 1607972182094
Got attacked at 856, 981 by Unit@45ac46da at time 1607972182183
Got attacked at 855, 981 by Unit@6067060f at time 1607972182232
Got attacked at 854, 981 by Unit@3fea9e96 at time 1607972182285
Died at 853, 981 at time 1607972182287
