Attacked Unit@204417c3at position 1248, 671 at time 1607969349737
Moved to 1118, 459 at time 1607969413041
Moved to 1117, 460 at time 1607969413329
Moved to 1116, 461 at time 1607969413496
Moved to 1115, 460 at time 1607969413615
Moved to 1114, 459 at time 1607969413677
Moved to 1113, 458 at time 1607969413810
Moved to 1112, 457 at time 1607969413875
Moved to 1111, 456 at time 1607969413956
Moved to 1110, 457 at time 1607969414009
Moved to 1109, 456 at time 1607969414087
Moved to 1108, 457 at time 1607969414172
Moved to 1107, 458 at time 1607969414250
Moved to 1106, 459 at time 1607969414454
Moved to 1105, 458 at time 1607969414589
Moved to 1104, 457 at time 1607969414753
Moved to 1103, 458 at time 1607969414794
Moved to 1102, 459 at time 1607969415019
Moved to 1101, 458 at time 1607969415083
Moved to 1100, 457 at time 1607969415288
Moved to 1099, 458 at time 1607969415346
Moved to 1098, 459 at time 1607969415450
Moved to 1097, 460 at time 1607969415506
Moved to 1096, 461 at time 1607969415606
Moved to 1095, 462 at time 1607969415642
Moved to 1094, 461 at time 1607969415771
Moved to 1093, 462 at time 1607969415805
Moved to 1092, 461 at time 1607969415840
Moved to 1091, 462 at time 1607969416104
Moved to 1090, 461 at time 1607969416371
Moved to 1089, 462 at time 1607969416417
Moved to 1088, 463 at time 1607969416611
Moved to 1087, 462 at time 1607969416845
Moved to 1086, 463 at time 1607969416963
Moved to 1085, 462 at time 1607969417055
Moved to 1084, 463 at time 1607969417128
Moved to 1083, 464 at time 1607969417188
Moved to 1082, 465 at time 1607969417278
Moved to 1081, 464 at time 1607969417335
Moved to 1080, 463 at time 1607969417428
Moved to 1079, 462 at time 1607969417523
Moved to 1078, 463 at time 1607969417577
Moved to 1077, 464 at time 1607969417631
Moved to 1076, 463 at time 1607969417692
Moved to 1075, 462 at time 1607969417756
Moved to 1074, 463 at time 1607969417858
Moved to 1073, 464 at time 1607969417918
Moved to 1072, 463 at time 1607969418004
Moved to 1071, 462 at time 1607969418057
Moved to 1070, 461 at time 1607969418146
Moved to 1069, 462 at time 1607969418228
Moved to 1068, 463 at time 1607969418306
Moved to 1067, 464 at time 1607969418394
Attacked Unit@f3c45e6at position 798, 290 at time 1607969418466
Got attacked at 1067, 464 by Unit@9ce5980 at time 1607969419329
Got attacked at 1067, 464 by Unit@f3c45e6 at time 1607969419447
Attacked Unit@9ce5980at position 798, 267 at time 1607969420235
Got attacked at 1067, 464 by Unit@9ce5980 at time 1607969421057
Attacked Unit@f3c45e6at position 798, 290 at time 1607969421984
Moved to 1066, 465 at time 1607969422588
Moved to 1065, 464 at time 1607969422682
Moved to 1064, 465 at time 1607969422749
Moved to 1063, 464 at time 1607969422828
Moved to 1062, 465 at time 1607969422878
Moved to 1061, 464 at time 1607969422971
Moved to 1060, 463 at time 1607969423025
Moved to 1059, 462 at time 1607969423101
Moved to 1058, 461 at time 1607969423154
Moved to 1057, 460 at time 1607969423311
Moved to 1056, 459 at time 1607969423410
Moved to 1055, 458 at time 1607969423582
Got attacked at 1055, 458 by Unit@2f249966 at time 1607969423699
Attacked Unit@2f249966at position 786, 301 at time 1607969423720
