Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644423
Moved to 437, 397 at time 1607965646554
Moved to 438, 398 at time 1607965708007
Moved to 439, 399 at time 1607965708238
Moved to 440, 400 at time 1607965708400
Moved to 441, 401 at time 1607965708435
Moved to 442, 402 at time 1607965708610
Moved to 443, 403 at time 1607965708655
Moved to 444, 404 at time 1607965708818
Moved to 445, 405 at time 1607965708884
Moved to 446, 406 at time 1607965709035
Moved to 447, 407 at time 1607965709075
Moved to 448, 408 at time 1607965709210
Moved to 449, 409 at time 1607965709258
Moved to 450, 410 at time 1607965709370
Moved to 449, 411 at time 1607965709451
Moved to 448, 412 at time 1607965709579
Moved to 447, 413 at time 1607965709806
Moved to 448, 414 at time 1607965710235
Moved to 449, 415 at time 1607965710479
Moved to 450, 416 at time 1607965710742
Moved to 451, 417 at time 1607965710939
Moved to 452, 418 at time 1607965711245
Moved to 453, 419 at time 1607965711400
Moved to 454, 420 at time 1607965711694
Moved to 455, 421 at time 1607965711985
Moved to 456, 422 at time 1607965712340
Moved to 457, 423 at time 1607965712532
Moved to 458, 424 at time 1607965712743
Moved to 459, 425 at time 1607965712779
Moved to 460, 426 at time 1607965712861
Moved to 459, 427 at time 1607965713244
Moved to 458, 428 at time 1607965713375
Moved to 457, 429 at time 1607965713948
Moved to 456, 430 at time 1607965714003
Moved to 455, 431 at time 1607965714236
Moved to 454, 432 at time 1607965714303
Moved to 453, 433 at time 1607965714777
Moved to 452, 434 at time 1607965714889
Moved to 451, 435 at time 1607965715129
Moved to 450, 436 at time 1607965715284
Moved to 449, 437 at time 1607965715424
Moved to 448, 438 at time 1607965715458
Moved to 447, 439 at time 1607965715583
Moved to 446, 440 at time 1607965715781
Moved to 447, 441 at time 1607965716048
Moved to 448, 442 at time 1607965716192
Moved to 449, 443 at time 1607965716575
Moved to 450, 444 at time 1607965716703
Moved to 451, 445 at time 1607965716881
Moved to 452, 446 at time 1607965717148
Moved to 453, 447 at time 1607965717298
Moved to 454, 448 at time 1607965717514
Moved to 455, 449 at time 1607965717548
Moved to 456, 450 at time 1607965717582
Moved to 457, 451 at time 1607965717722
Moved to 458, 452 at time 1607965718102
Moved to 459, 453 at time 1607965718144
Moved to 460, 454 at time 1607965718538
