Moved to 5, 2387 at time 1607969349853
Moved to 6, 2386 at time 1607969394851
Moved to 7, 2385 at time 1607969394986
Moved to 8, 2384 at time 1607969395115
Moved to 9, 2383 at time 1607969395355
Moved to 10, 2382 at time 1607969395704
Moved to 11, 2381 at time 1607969396051
Moved to 12, 2380 at time 1607969396356
Moved to 13, 2379 at time 1607969396728
Moved to 14, 2378 at time 1607969396916
Moved to 15, 2377 at time 1607969397053
Moved to 16, 2376 at time 1607969397270
Moved to 17, 2375 at time 1607969397553
Moved to 18, 2374 at time 1607969397935
Moved to 19, 2373 at time 1607969398051
Moved to 20, 2372 at time 1607969398561
Moved to 21, 2371 at time 1607969398674
Moved to 22, 2370 at time 1607969398880
Moved to 23, 2369 at time 1607969399151
Moved to 24, 2368 at time 1607969399303
Moved to 25, 2367 at time 1607969399437
Moved to 26, 2366 at time 1607969399540
Moved to 27, 2365 at time 1607969399699
Moved to 28, 2364 at time 1607969399800
Moved to 29, 2363 at time 1607969399908
Moved to 30, 2362 at time 1607969400153
Moved to 31, 2361 at time 1607969400312
Moved to 32, 2360 at time 1607969400486
Moved to 33, 2359 at time 1607969400661
Moved to 34, 2358 at time 1607969400816
Moved to 35, 2357 at time 1607969400939
Moved to 36, 2356 at time 1607969401051
Moved to 37, 2355 at time 1607969401172
Moved to 38, 2354 at time 1607969401296
Moved to 39, 2353 at time 1607969401429
Moved to 40, 2352 at time 1607969401590
Moved to 41, 2351 at time 1607969401713
Moved to 42, 2350 at time 1607969401852
Moved to 43, 2349 at time 1607969402176
Moved to 44, 2348 at time 1607969402498
Moved to 45, 2347 at time 1607969402757
Moved to 46, 2346 at time 1607969403075
Moved to 47, 2345 at time 1607969403178
Moved to 48, 2344 at time 1607969403471
Moved to 49, 2343 at time 1607969403595
Moved to 50, 2342 at time 1607969403717
Moved to 51, 2341 at time 1607969403832
Moved to 52, 2340 at time 1607969403956
Moved to 53, 2339 at time 1607969404118
Moved to 54, 2338 at time 1607969404251
Moved to 55, 2337 at time 1607969404400
Moved to 56, 2336 at time 1607969404682
Moved to 57, 2335 at time 1607969404948
Moved to 58, 2334 at time 1607969405051
Moved to 59, 2333 at time 1607969405269
Moved to 60, 2332 at time 1607969405505
Moved to 61, 2331 at time 1607969405706
Moved to 62, 2330 at time 1607969405842
Moved to 63, 2329 at time 1607969405946
Moved to 64, 2328 at time 1607969406087
Moved to 65, 2327 at time 1607969406235
Moved to 66, 2326 at time 1607969406341
Moved to 67, 2325 at time 1607969406443
Moved to 68, 2324 at time 1607969406585
Moved to 69, 2323 at time 1607969406796
Moved to 70, 2322 at time 1607969407042
Moved to 71, 2321 at time 1607969407331
Moved to 72, 2320 at time 1607969407582
Moved to 73, 2319 at time 1607969407832
Moved to 74, 2318 at time 1607969407957
Moved to 75, 2317 at time 1607969408084
Moved to 76, 2316 at time 1607969408194
Moved to 77, 2315 at time 1607969408343
Moved to 78, 2314 at time 1607969408536
Moved to 79, 2313 at time 1607969408754
Moved to 80, 2312 at time 1607969408861
Moved to 81, 2311 at time 1607969409028
Moved to 82, 2310 at time 1607969409132
Moved to 83, 2309 at time 1607969409283
Moved to 84, 2308 at time 1607969409428
Moved to 85, 2307 at time 1607969409553
Moved to 86, 2306 at time 1607969409704
Moved to 87, 2305 at time 1607969409825
Moved to 88, 2304 at time 1607969409954
Moved to 89, 2303 at time 1607969410059
Moved to 90, 2302 at time 1607969410222
Moved to 91, 2301 at time 1607969410338
