Attacked Unit@1e83c84eat position 425, 1334 at time 1607971941768
Got attacked at 692, 1295 by Unit@47a10929 at time 1607971941794
Attacked Unit@403ce9efat position 538, 1370 at time 1607972019926
Got attacked at 692, 1295 by Falling off a bridge at time 1607972020014
Died at 638, 1298 at time 1607972020018
Died at 670, 1294 at time 1607972020018
Died at 704, 1294 at time 1607972020018
Died at 651, 1309 at time 1607972020019
Died at 688, 1315 at time 1607972020019
Got attacked at 692, 1295 by Falling off a bridge at time 1607972020019
Died at 692, 1295 at time 1607972020019
Died at 714, 1310 at time 1607972020020
Died at 692, 1295 at time 1607972020020
