Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644606
Moved to 507, 665 at time 1607965740504
Moved to 506, 693 at time 1607965745805
Moved to 505, 692 at time 1607965746005
Moved to 504, 691 at time 1607965746174
Moved to 503, 690 at time 1607965746369
Moved to 502, 689 at time 1607965746534
Moved to 501, 688 at time 1607965746707
Moved to 500, 687 at time 1607965746858
Moved to 499, 686 at time 1607965747056
Moved to 498, 685 at time 1607965747217
Moved to 497, 684 at time 1607965747408
Moved to 496, 683 at time 1607965747572
Moved to 495, 682 at time 1607965747767
Moved to 494, 681 at time 1607965747926
Moved to 493, 680 at time 1607965748104
Moved to 492, 679 at time 1607965748158
Moved to 491, 678 at time 1607965748297
Moved to 490, 677 at time 1607965748415
Moved to 489, 676 at time 1607965748510
Moved to 488, 675 at time 1607965748591
Moved to 487, 674 at time 1607965748712
Moved to 486, 673 at time 1607965748833
Moved to 485, 672 at time 1607965748909
Moved to 484, 671 at time 1607965749019
Moved to 483, 670 at time 1607965749114
Moved to 482, 669 at time 1607965749200
Moved to 481, 668 at time 1607965749415
Moved to 480, 667 at time 1607965749546
Moved to 479, 666 at time 1607965749791
Moved to 478, 665 at time 1607965749943
Moved to 477, 664 at time 1607965750188
Moved to 476, 663 at time 1607965750335
Moved to 475, 662 at time 1607965750595
Moved to 474, 661 at time 1607965750743
Moved to 473, 660 at time 1607965750995
Moved to 472, 659 at time 1607965751118
Moved to 471, 658 at time 1607965751362
Moved to 470, 657 at time 1607965751497
Moved to 469, 656 at time 1607965751747
Moved to 468, 655 at time 1607965751832
Moved to 467, 654 at time 1607965751986
Moved to 466, 653 at time 1607965752028
Moved to 465, 652 at time 1607965752111
Moved to 464, 651 at time 1607965752289
Moved to 463, 650 at time 1607965752620
Moved to 462, 649 at time 1607965752668
Moved to 461, 648 at time 1607965753015
Moved to 460, 647 at time 1607965753063
Moved to 459, 646 at time 1607965753401
Moved to 458, 645 at time 1607965753447
Moved to 457, 644 at time 1607965753801
Moved to 456, 643 at time 1607965753856
Moved to 455, 642 at time 1607965754202
Moved to 454, 641 at time 1607965754244
Moved to 453, 640 at time 1607965754595
Moved to 452, 639 at time 1607965754635
Moved to 451, 638 at time 1607965754963
Moved to 450, 637 at time 1607965755004
Moved to 449, 636 at time 1607965755346
Moved to 448, 635 at time 1607965755760
Moved to 447, 634 at time 1607965756107
Moved to 446, 633 at time 1607965756143
Moved to 445, 632 at time 1607965756481
Moved to 444, 631 at time 1607965756528
Moved to 443, 630 at time 1607965756867
Moved to 442, 629 at time 1607965756901
Moved to 441, 628 at time 1607965756935
Moved to 440, 627 at time 1607965757092
Moved to 439, 626 at time 1607965757305
Moved to 438, 625 at time 1607965757476
Moved to 437, 624 at time 1607965757686
Moved to 436, 623 at time 1607965757854
Moved to 435, 622 at time 1607965758075
Moved to 434, 621 at time 1607965758234
Moved to 433, 620 at time 1607965758455
Moved to 432, 619 at time 1607965758632
Moved to 431, 618 at time 1607965758888
Moved to 430, 617 at time 1607965759058
Moved to 429, 616 at time 1607965759273
Moved to 428, 615 at time 1607965759446
Moved to 427, 614 at time 1607965759651
Moved to 426, 613 at time 1607965759821
Moved to 425, 612 at time 1607965760016
Moved to 424, 611 at time 1607965760067
