Attacked Unit@43f283b3at position 624, 1469 at time 1607971102113
Attacked Unit@4009d31aat position 618, 1427 at time 1607971139220
Attacked Unit@4009d31aat position 618, 1427 at time 1607971140919
Moved to 425, 1565 at time 1607971141045
Moved to 426, 1564 at time 1607971141079
Moved to 427, 1563 at time 1607971141113
Moved to 428, 1562 at time 1607971141147
Moved to 429, 1561 at time 1607971141183
Moved to 430, 1560 at time 1607971141217
Moved to 431, 1559 at time 1607971141251
Moved to 432, 1558 at time 1607971141285
Moved to 433, 1557 at time 1607971141319
Moved to 434, 1556 at time 1607971141372
Moved to 435, 1555 at time 1607971141440
Moved to 436, 1554 at time 1607971141474
Moved to 437, 1553 at time 1607971141508
Moved to 438, 1552 at time 1607971141542
Moved to 439, 1551 at time 1607971141577
Moved to 440, 1550 at time 1607971141612
Moved to 441, 1549 at time 1607971141646
Moved to 442, 1548 at time 1607971141680
Moved to 443, 1547 at time 1607971141714
Moved to 444, 1546 at time 1607971141750
Moved to 445, 1545 at time 1607971141818
Moved to 446, 1544 at time 1607971141853
Moved to 447, 1543 at time 1607971141887
Moved to 448, 1542 at time 1607971141924
Moved to 449, 1541 at time 1607971141959
Moved to 450, 1540 at time 1607971141994
Moved to 451, 1539 at time 1607971142028
Moved to 452, 1538 at time 1607971142065
Moved to 453, 1537 at time 1607971142098
Moved to 454, 1536 at time 1607971142132
Moved to 455, 1535 at time 1607971142166
Moved to 456, 1534 at time 1607971142200
Moved to 457, 1533 at time 1607971142235
Moved to 458, 1532 at time 1607971142270
Moved to 459, 1531 at time 1607971142305
Moved to 460, 1530 at time 1607971142341
Moved to 461, 1529 at time 1607971142378
Moved to 462, 1528 at time 1607971142412
Moved to 463, 1527 at time 1607971142446
Moved to 464, 1526 at time 1607971142480
Moved to 465, 1525 at time 1607971142514
Moved to 466, 1524 at time 1607971142549
Moved to 467, 1523 at time 1607971142583
Moved to 468, 1522 at time 1607971142619
Moved to 469, 1521 at time 1607971142686
Moved to 470, 1520 at time 1607971142722
Moved to 471, 1519 at time 1607971142756
Moved to 472, 1518 at time 1607971142791
Moved to 473, 1517 at time 1607971142828
Moved to 474, 1516 at time 1607971142862
Moved to 475, 1515 at time 1607971142896
Moved to 476, 1514 at time 1607971142932
Moved to 477, 1513 at time 1607971142967
