Attacked Unit@786bb298at position 1015, 776 at time 1607905322017
Moved to 848, 692 at time 1607905479588
Moved to 847, 691 at time 1607905479625
Moved to 846, 690 at time 1607905479687
Moved to 845, 689 at time 1607905479721
Moved to 844, 688 at time 1607905479775
Moved to 843, 687 at time 1607905479828
Moved to 842, 686 at time 1607905479871
Moved to 841, 685 at time 1607905479922
Moved to 840, 684 at time 1607905479960
Moved to 839, 683 at time 1607905480049
Moved to 838, 682 at time 1607905480107
Moved to 837, 681 at time 1607905480142
Moved to 836, 680 at time 1607905480202
Moved to 835, 679 at time 1607905480236
Moved to 834, 678 at time 1607905480294
Moved to 833, 677 at time 1607905480338
Moved to 832, 676 at time 1607905480393
Moved to 831, 675 at time 1607905480445
Moved to 830, 674 at time 1607905480482
Moved to 829, 673 at time 1607905480527
Moved to 828, 672 at time 1607905480579
Moved to 827, 671 at time 1607905480615
Attacked Unit@1a18967cat position 558, 418 at time 1607905480652
Attacked Unit@1a18967cat position 558, 418 at time 1607905482361
Moved to 826, 670 at time 1607905482421
Moved to 825, 669 at time 1607905482470
Moved to 824, 668 at time 1607905482508
Moved to 823, 667 at time 1607905482556
Moved to 822, 666 at time 1607905482606
Moved to 821, 665 at time 1607905482640
Moved to 820, 664 at time 1607905482677
Moved to 819, 663 at time 1607905482730
Moved to 818, 662 at time 1607905482774
Moved to 817, 661 at time 1607905482835
Moved to 816, 660 at time 1607905482875
Moved to 815, 659 at time 1607905482922
Attacked Unit@2b222fbaat position 546, 452 at time 1607905484092
Moved to 814, 658 at time 1607905484261
Moved to 813, 657 at time 1607905484304
Moved to 812, 656 at time 1607905484341
Moved to 811, 655 at time 1607905484395
Moved to 810, 654 at time 1607905484439
Moved to 809, 653 at time 1607905484482
Got attacked at 809, 653 by Unit@b2fb7d0 at time 1607905485171
Got attacked at 809, 653 by Unit@464a9b1e at time 1607905485673
Attacked Unit@b2fb7d0at position 540, 409 at time 1607905485795
Got attacked at 809, 653 by Unit@b2fb7d0 at time 1607905486830
Got attacked at 809, 653 by Unit@46ce9a80 at time 1607905487023
Got attacked at 809, 653 by Unit@464a9b1e at time 1607905487346
Attacked Unit@46ce9a80at position 594, 384 at time 1607905487464
Got attacked at 809, 653 by Unit@b2fb7d0 at time 1607905488528
Got attacked at 809, 653 by Unit@464a9b1e at time 1607905489014
Died at 809, 653 at time 1607905489057
