Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644726
Moved to 339, 693 at time 1607965736485
Moved to 340, 694 at time 1607965736788
Moved to 341, 695 at time 1607965736977
Moved to 342, 696 at time 1607965737311
Moved to 343, 697 at time 1607965737736
Moved to 344, 698 at time 1607965738124
Moved to 345, 699 at time 1607965738534
Moved to 346, 700 at time 1607965738943
Moved to 347, 701 at time 1607965739349
Moved to 348, 702 at time 1607965739713
Moved to 349, 703 at time 1607965740098
Moved to 350, 704 at time 1607965740392
Moved to 351, 705 at time 1607965740496
Moved to 352, 706 at time 1607965740642
Moved to 353, 707 at time 1607965740722
Moved to 354, 708 at time 1607965740915
Moved to 355, 709 at time 1607965741114
Moved to 356, 710 at time 1607965741148
Moved to 357, 711 at time 1607965741288
Moved to 358, 712 at time 1607965741607
Moved to 359, 713 at time 1607965741927
Moved to 360, 714 at time 1607965742105
Moved to 361, 715 at time 1607965742320
Moved to 362, 716 at time 1607965742463
Moved to 363, 717 at time 1607965742596
Moved to 364, 718 at time 1607965742688
Moved to 363, 719 at time 1607965742826
Moved to 362, 720 at time 1607965742913
Moved to 361, 721 at time 1607965743051
Moved to 360, 722 at time 1607965743138
Moved to 359, 723 at time 1607965743273
Moved to 358, 724 at time 1607965743328
Moved to 357, 725 at time 1607965743429
Moved to 356, 726 at time 1607965743608
Moved to 355, 727 at time 1607965743724
Moved to 354, 728 at time 1607965744015
Moved to 353, 729 at time 1607965744130
Moved to 352, 730 at time 1607965744380
Moved to 351, 731 at time 1607965744504
Moved to 350, 732 at time 1607965744756
Moved to 349, 733 at time 1607965744858
Moved to 348, 734 at time 1607965745110
Moved to 347, 735 at time 1607965745217
Moved to 346, 736 at time 1607965745485
Moved to 345, 737 at time 1607965745593
Moved to 344, 738 at time 1607965745853
Moved to 343, 739 at time 1607965745962
Moved to 342, 740 at time 1607965746216
Moved to 341, 741 at time 1607965746324
Moved to 340, 742 at time 1607965746575
Moved to 339, 743 at time 1607965746677
Moved to 338, 744 at time 1607965746900
Moved to 337, 745 at time 1607965747009
Moved to 336, 746 at time 1607965747254
Moved to 335, 747 at time 1607965747365
Moved to 334, 748 at time 1607965747403
Moved to 333, 749 at time 1607965747573
Moved to 332, 750 at time 1607965747763
Moved to 331, 751 at time 1607965747923
Moved to 330, 752 at time 1607965748107
Moved to 329, 753 at time 1607965748157
Moved to 328, 754 at time 1607965748229
Moved to 327, 755 at time 1607965748375
Moved to 326, 756 at time 1607965748448
