Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644476
Moved to 480, 664 at time 1607965741322
Moved to 481, 665 at time 1607965741563
Moved to 482, 666 at time 1607965741652
Moved to 483, 667 at time 1607965741901
Moved to 484, 668 at time 1607965742134
Moved to 485, 669 at time 1607965742289
Moved to 486, 670 at time 1607965742325
Moved to 487, 671 at time 1607965742460
Moved to 486, 691 at time 1607965745435
Moved to 485, 690 at time 1607965745846
Moved to 484, 689 at time 1607965745967
Moved to 483, 688 at time 1607965746003
Moved to 482, 687 at time 1607965746172
Moved to 481, 686 at time 1607965746370
Moved to 480, 685 at time 1607965746532
Moved to 479, 684 at time 1607965746708
Moved to 478, 683 at time 1607965746856
Moved to 477, 682 at time 1607965747058
Moved to 476, 681 at time 1607965747215
Moved to 475, 680 at time 1607965747409
Moved to 474, 679 at time 1607965747575
Moved to 473, 678 at time 1607965747765
Moved to 472, 677 at time 1607965747925
Moved to 471, 676 at time 1607965748105
Moved to 470, 675 at time 1607965748157
Moved to 469, 674 at time 1607965748227
Moved to 468, 673 at time 1607965748377
Moved to 467, 672 at time 1607965748447
Moved to 466, 671 at time 1607965748565
Moved to 465, 670 at time 1607965748625
Moved to 464, 669 at time 1607965748676
Moved to 463, 668 at time 1607965748759
Moved to 462, 667 at time 1607965748806
Moved to 461, 666 at time 1607965748857
Moved to 460, 665 at time 1607965748981
Moved to 459, 664 at time 1607965749037
Moved to 458, 663 at time 1607965749083
Moved to 457, 662 at time 1607965749235
Moved to 456, 661 at time 1607965749370
Moved to 455, 660 at time 1607965749584
Moved to 454, 659 at time 1607965749752
Moved to 453, 658 at time 1607965749977
Moved to 452, 657 at time 1607965750148
Moved to 451, 656 at time 1607965750376
Moved to 450, 655 at time 1607965750556
Moved to 449, 654 at time 1607965750783
Moved to 448, 653 at time 1607965750946
Moved to 447, 652 at time 1607965751164
Moved to 446, 651 at time 1607965751313
Moved to 445, 650 at time 1607965751543
Moved to 444, 649 at time 1607965751691
Moved to 443, 648 at time 1607965751884
Moved to 442, 647 at time 1607965751958
Moved to 441, 646 at time 1607965751993
Moved to 440, 645 at time 1607965752143
Moved to 439, 644 at time 1607965752230
Moved to 438, 643 at time 1607965752324
Moved to 437, 642 at time 1607965752584
Moved to 436, 641 at time 1607965752698
Moved to 435, 640 at time 1607965752984
Moved to 434, 639 at time 1607965753094
Moved to 433, 638 at time 1607965753362
