Attacked Unit@213766beat position 935, 890 at time 1607972168632
Moved to 932, 852 at time 1607972168686
Moved to 931, 853 at time 1607972185150
Moved to 930, 854 at time 1607972185201
Moved to 929, 855 at time 1607972185252
Moved to 928, 856 at time 1607972185304
Moved to 927, 857 at time 1607972185355
Moved to 926, 858 at time 1607972185407
Moved to 925, 859 at time 1607972185508
Moved to 924, 860 at time 1607972185560
Moved to 923, 861 at time 1607972185611
Moved to 922, 862 at time 1607972185662
Moved to 921, 863 at time 1607972185713
Moved to 920, 864 at time 1607972185764
Moved to 919, 865 at time 1607972185816
Moved to 918, 866 at time 1607972185867
Moved to 917, 867 at time 1607972185918
Moved to 916, 868 at time 1607972186019
Moved to 915, 869 at time 1607972186070
Moved to 914, 870 at time 1607972186121
Moved to 913, 871 at time 1607972186172
Moved to 912, 872 at time 1607972186223
Moved to 911, 873 at time 1607972186274
Moved to 910, 874 at time 1607972186326
Moved to 909, 875 at time 1607972186377
Moved to 908, 876 at time 1607972186429
Moved to 907, 877 at time 1607972186481
Moved to 906, 878 at time 1607972186532
Moved to 905, 879 at time 1607972186583
Moved to 904, 880 at time 1607972186634
Moved to 903, 881 at time 1607972186687
Moved to 902, 882 at time 1607972186788
Moved to 901, 883 at time 1607972186839
Moved to 900, 884 at time 1607972186890
Moved to 899, 885 at time 1607972186942
Moved to 898, 886 at time 1607972187045
Moved to 897, 887 at time 1607972187097
Got attacked at 897, 887 by Unit@6067060f at time 1607972187109
Moved to 896, 888 at time 1607972187151
Moved to 895, 889 at time 1607972187203
Moved to 894, 890 at time 1607972187255
Got attacked at 894, 890 by Unit@5b571a87 at time 1607972187303
Moved to 893, 891 at time 1607972187307
Moved to 892, 892 at time 1607972187359
Moved to 891, 893 at time 1607972187410
Moved to 890, 894 at time 1607972187461
Got attacked at 890, 894 by Unit@3410e711 at time 1607972187550
Moved to 889, 895 at time 1607972187562
Moved to 888, 896 at time 1607972187614
Got attacked at 888, 896 by Unit@47ab2616 at time 1607972187662
Moved to 887, 897 at time 1607972187665
Moved to 886, 898 at time 1607972187716
Moved to 885, 899 at time 1607972187768
Moved to 884, 900 at time 1607972187819
Moved to 883, 901 at time 1607972187870
Got attacked at 883, 901 by Unit@45ac46da at time 1607972187905
Moved to 882, 902 at time 1607972187921
Moved to 881, 903 at time 1607972187973
Moved to 880, 904 at time 1607972188024
Got attacked at 880, 904 by Unit@4003a1c at time 1607972188052
Moved to 879, 905 at time 1607972188077
Moved to 878, 906 at time 1607972188128
Moved to 877, 907 at time 1607972188179
Got attacked at 877, 907 by Unit@49248cab at time 1607972188184
Moved to 876, 906 at time 1607972188230
Died at 876, 906 at time 1607972188230
