Attacked Unit@4009d31aat position 618, 1427 at time 1607971102113
Moved to 603, 1353 at time 1607971153698
Moved to 604, 1352 at time 1607971153732
Moved to 605, 1351 at time 1607971153766
Moved to 606, 1350 at time 1607971153800
Moved to 607, 1349 at time 1607971153834
Moved to 608, 1348 at time 1607971153870
Moved to 609, 1347 at time 1607971153904
Moved to 610, 1346 at time 1607971153938
Moved to 611, 1345 at time 1607971153972
Moved to 613, 1344 at time 1607971154042
Moved to 614, 1343 at time 1607971154075
Moved to 615, 1342 at time 1607971154110
Moved to 616, 1341 at time 1607971154177
Moved to 617, 1340 at time 1607971154211
Moved to 618, 1339 at time 1607971154245
Moved to 619, 1338 at time 1607971154279
Moved to 620, 1337 at time 1607971154313
Moved to 621, 1336 at time 1607971154348
Moved to 622, 1335 at time 1607971154382
Moved to 623, 1334 at time 1607971154416
Moved to 624, 1333 at time 1607971154450
Moved to 625, 1332 at time 1607971154517
Moved to 627, 1331 at time 1607971154585
Moved to 628, 1330 at time 1607971154622
Moved to 629, 1329 at time 1607971154655
Moved to 630, 1328 at time 1607971154689
Moved to 631, 1327 at time 1607971154724
Moved to 632, 1326 at time 1607971154757
Moved to 633, 1325 at time 1607971154792
Moved to 634, 1324 at time 1607971154860
Moved to 635, 1323 at time 1607971154895
Moved to 636, 1322 at time 1607971154929
Moved to 637, 1321 at time 1607971154963
Moved to 638, 1320 at time 1607971154998
Moved to 640, 1319 at time 1607971155066
Moved to 641, 1318 at time 1607971155100
Moved to 642, 1317 at time 1607971155134
Moved to 643, 1316 at time 1607971155168
Moved to 644, 1315 at time 1607971155202
Moved to 645, 1314 at time 1607971155270
Moved to 646, 1313 at time 1607971155304
Moved to 647, 1312 at time 1607971155338
Moved to 648, 1311 at time 1607971155372
Moved to 649, 1310 at time 1607971155407
Moved to 650, 1309 at time 1607971155441
