Attacked Unit@66fa39e8at position 636, 1326 at time 1607972168611
Attacked Unit@32a3852at position 695, 1303 at time 1607972170293
Attacked Unit@7fb67c16at position 656, 1298 at time 1607972171978
Attacked Unit@28dae869at position 623, 1358 at time 1607972173676
Moved to 496, 1319 at time 1607972173745
Moved to 497, 1318 at time 1607972173780
Moved to 498, 1317 at time 1607972173848
Moved to 499, 1316 at time 1607972173886
Moved to 500, 1315 at time 1607972173920
Moved to 501, 1314 at time 1607972173954
Moved to 502, 1313 at time 1607972173988
Moved to 503, 1312 at time 1607972174022
Moved to 504, 1311 at time 1607972174057
Moved to 505, 1310 at time 1607972174091
Moved to 506, 1309 at time 1607972174125
Moved to 507, 1308 at time 1607972174160
Moved to 508, 1307 at time 1607972174195
Moved to 509, 1306 at time 1607972174262
Moved to 510, 1305 at time 1607972174298
Moved to 511, 1304 at time 1607972174332
Moved to 512, 1303 at time 1607972174367
Moved to 513, 1302 at time 1607972174401
Moved to 514, 1301 at time 1607972174436
Moved to 515, 1300 at time 1607972174472
Moved to 516, 1299 at time 1607972174506
Moved to 517, 1298 at time 1607972174541
Moved to 518, 1297 at time 1607972174575
Moved to 519, 1296 at time 1607972174610
Moved to 520, 1295 at time 1607972174646
Moved to 521, 1294 at time 1607972174680
Moved to 522, 1293 at time 1607972174714
Moved to 523, 1292 at time 1607972174748
Moved to 524, 1291 at time 1607972174784
Moved to 525, 1290 at time 1607972174821
Moved to 526, 1289 at time 1607972174857
Moved to 527, 1288 at time 1607972174891
Moved to 528, 1287 at time 1607972174926
Moved to 529, 1286 at time 1607972174962
Moved to 530, 1285 at time 1607972174996
Moved to 531, 1284 at time 1607972175030
Moved to 532, 1283 at time 1607972175064
Moved to 533, 1282 at time 1607972175101
Moved to 534, 1281 at time 1607972175136
Moved to 535, 1280 at time 1607972175206
Moved to 536, 1279 at time 1607972175240
Moved to 537, 1278 at time 1607972175276
Moved to 538, 1277 at time 1607972175311
Moved to 539, 1276 at time 1607972175345
Moved to 540, 1275 at time 1607972175379
Moved to 541, 1274 at time 1607972175413
Moved to 542, 1273 at time 1607972175450
Moved to 543, 1272 at time 1607972175485
Moved to 544, 1271 at time 1607972175521
Moved to 545, 1270 at time 1607972175555
Moved to 546, 1269 at time 1607972175591
Moved to 547, 1268 at time 1607972175625
Moved to 548, 1267 at time 1607972175659
Moved to 549, 1266 at time 1607972175728
Moved to 550, 1265 at time 1607972175762
Moved to 551, 1264 at time 1607972175796
Moved to 552, 1263 at time 1607972175830
Moved to 553, 1262 at time 1607972175864
Moved to 554, 1261 at time 1607972175898
Moved to 555, 1260 at time 1607972175932
Moved to 556, 1259 at time 1607972176001
Moved to 557, 1258 at time 1607972176036
Moved to 558, 1257 at time 1607972176071
Moved to 559, 1256 at time 1607972176105
Moved to 560, 1255 at time 1607972176139
Moved to 561, 1254 at time 1607972176173
Moved to 562, 1253 at time 1607972176207
Moved to 563, 1252 at time 1607972176241
Moved to 564, 1251 at time 1607972176275
Moved to 565, 1250 at time 1607972176309
Moved to 566, 1249 at time 1607972176343
Moved to 567, 1248 at time 1607972176378
Moved to 568, 1247 at time 1607972176412
Moved to 569, 1246 at time 1607972176446
Moved to 570, 1245 at time 1607972176480
Moved to 571, 1244 at time 1607972176514
Moved to 572, 1243 at time 1607972176551
Moved to 573, 1242 at time 1607972176588
Moved to 574, 1241 at time 1607972176622
Moved to 575, 1240 at time 1607972176657
Moved to 576, 1239 at time 1607972176691
Moved to 577, 1238 at time 1607972176726
Moved to 578, 1237 at time 1607972176761
Moved to 579, 1236 at time 1607972176796
Moved to 580, 1235 at time 1607972176830
Moved to 581, 1234 at time 1607972176864
Moved to 582, 1233 at time 1607972176898
Moved to 583, 1232 at time 1607972176932
Moved to 584, 1231 at time 1607972176967
Moved to 585, 1230 at time 1607972177002
Moved to 586, 1229 at time 1607972177036
Moved to 587, 1228 at time 1607972177071
Moved to 588, 1227 at time 1607972177105
Moved to 589, 1226 at time 1607972177140
Moved to 590, 1225 at time 1607972177174
Moved to 591, 1224 at time 1607972177208
Moved to 592, 1223 at time 1607972177275
Moved to 593, 1222 at time 1607972177309
Moved to 594, 1221 at time 1607972177344
Moved to 595, 1220 at time 1607972177378
Moved to 596, 1219 at time 1607972177412
Moved to 597, 1218 at time 1607972177447
Moved to 598, 1217 at time 1607972177481
Moved to 599, 1216 at time 1607972177515
Moved to 600, 1215 at time 1607972177551
Moved to 601, 1214 at time 1607972177588
Moved to 602, 1213 at time 1607972177621
Attacked Unit@2fdf5485at position 795, 944 at time 1607972177655
Attacked Unit@3b864d6bat position 871, 968 at time 1607972179649
Moved to 603, 1197 at time 1607972180647
Moved to 604, 1196 at time 1607972180684
Moved to 605, 1195 at time 1607972180719
Moved to 606, 1194 at time 1607972180753
Moved to 607, 1193 at time 1607972180789
Moved to 608, 1192 at time 1607972180822
Moved to 609, 1191 at time 1607972180856
Moved to 610, 1190 at time 1607972180890
Attacked Unit@1a5fcd39at position 870, 928 at time 1607972181336
Attacked Unit@1a5fcd39at position 841, 955 at time 1607972183011
Moved to 611, 1189 at time 1607972183866
Moved to 612, 1188 at time 1607972183900
Moved to 613, 1187 at time 1607972183934
Moved to 614, 1186 at time 1607972183968
Moved to 615, 1185 at time 1607972184006
Moved to 616, 1184 at time 1607972184041
