Attacked Unit@2e7882adat position 566, 1462 at time 1607970695584
Attacked Unit@460210dbat position 577, 1412 at time 1607970715415
Got attacked at 476, 1474 by Unit@7861eaa5 at time 1607970717089
Got attacked at 476, 1474 by Unit@42527b3a at time 1607970717116
Attacked Unit@56c3f013at position 555, 1485 at time 1607970717122
Attacked Unit@56c3f013at position 555, 1485 at time 1607970718926
Moved to 477, 1473 at time 1607970720573
Moved to 478, 1472 at time 1607970720608
Moved to 479, 1471 at time 1607970720641
Moved to 480, 1470 at time 1607970720677
Moved to 481, 1469 at time 1607970720712
Moved to 482, 1468 at time 1607970720839
Moved to 483, 1467 at time 1607970720873
Moved to 484, 1466 at time 1607970720908
Moved to 485, 1465 at time 1607970720944
Moved to 486, 1464 at time 1607970720980
Moved to 487, 1463 at time 1607970721014
Moved to 488, 1462 at time 1607970721048
Moved to 489, 1461 at time 1607970721082
Moved to 490, 1460 at time 1607970721116
Moved to 491, 1459 at time 1607970721151
Moved to 492, 1458 at time 1607970721187
Moved to 493, 1457 at time 1607970721256
Moved to 494, 1456 at time 1607970721291
Moved to 495, 1455 at time 1607970721327
Moved to 496, 1454 at time 1607970721361
Moved to 497, 1453 at time 1607970721396
Moved to 498, 1452 at time 1607970721431
Moved to 499, 1451 at time 1607970721467
Moved to 500, 1450 at time 1607970721502
Moved to 501, 1449 at time 1607970721536
Moved to 502, 1448 at time 1607970721572
Moved to 503, 1447 at time 1607970721607
Moved to 504, 1446 at time 1607970721674
Moved to 505, 1445 at time 1607970721709
Moved to 506, 1444 at time 1607970721743
Moved to 507, 1443 at time 1607970721780
Moved to 508, 1442 at time 1607970721815
Moved to 509, 1441 at time 1607970721851
Moved to 510, 1440 at time 1607970721888
Moved to 511, 1439 at time 1607970721924
Moved to 512, 1438 at time 1607970721958
Moved to 513, 1437 at time 1607970721994
Moved to 514, 1436 at time 1607970722031
Moved to 515, 1435 at time 1607970722069
Moved to 516, 1434 at time 1607970722136
Moved to 517, 1433 at time 1607970722173
Moved to 518, 1432 at time 1607970722209
Moved to 519, 1431 at time 1607970722246
Moved to 520, 1430 at time 1607970722282
Moved to 521, 1429 at time 1607970722316
Moved to 522, 1428 at time 1607970722350
Moved to 523, 1427 at time 1607970722385
Moved to 524, 1426 at time 1607970722422
Moved to 525, 1425 at time 1607970722459
Moved to 526, 1424 at time 1607970722493
Moved to 527, 1423 at time 1607970722529
Moved to 528, 1422 at time 1607970722563
Moved to 529, 1421 at time 1607970722598
Moved to 530, 1420 at time 1607970722636
Moved to 531, 1419 at time 1607970722673
Moved to 532, 1418 at time 1607970722710
Moved to 533, 1417 at time 1607970722746
Moved to 534, 1416 at time 1607970722780
Moved to 535, 1415 at time 1607970722815
Moved to 536, 1414 at time 1607970722852
Moved to 537, 1413 at time 1607970722886
Moved to 538, 1412 at time 1607970722924
Moved to 539, 1411 at time 1607970722959
Moved to 540, 1410 at time 1607970722995
Moved to 541, 1409 at time 1607970723032
Moved to 542, 1408 at time 1607970723068
Moved to 543, 1407 at time 1607970723103
Moved to 544, 1406 at time 1607970723141
Moved to 545, 1405 at time 1607970723178
Moved to 546, 1404 at time 1607970723214
Moved to 547, 1403 at time 1607970723251
Moved to 548, 1402 at time 1607970723288
Moved to 549, 1401 at time 1607970723324
Moved to 550, 1400 at time 1607970723359
Moved to 551, 1399 at time 1607970723394
