Attacked Unit@2258044bat position 1249, 62 at time 1607968586213
Moved to 898, 1219 at time 1607970313988
Moved to 897, 1220 at time 1607970314022
Moved to 896, 1221 at time 1607970314093
Moved to 895, 1222 at time 1607970314130
Moved to 894, 1221 at time 1607970314167
Moved to 893, 1222 at time 1607970314202
Moved to 892, 1223 at time 1607970314236
Moved to 891, 1224 at time 1607970314272
Moved to 890, 1225 at time 1607970314309
Moved to 889, 1226 at time 1607970314349
Moved to 888, 1227 at time 1607970314389
Moved to 887, 1228 at time 1607970314426
Moved to 886, 1229 at time 1607970314461
Moved to 885, 1228 at time 1607970314496
Moved to 884, 1229 at time 1607970314529
Moved to 883, 1230 at time 1607970314564
Moved to 882, 1231 at time 1607970314601
Moved to 881, 1232 at time 1607970314634
Moved to 880, 1233 at time 1607970314668
Moved to 879, 1234 at time 1607970314702
Moved to 878, 1235 at time 1607970314736
Moved to 870, 1236 at time 1607970315144
Moved to 869, 1237 at time 1607970315180
Moved to 868, 1238 at time 1607970315214
Moved to 867, 1239 at time 1607970315251
Moved to 866, 1240 at time 1607970315286
Moved to 865, 1241 at time 1607970315321
Moved to 864, 1242 at time 1607970315356
Moved to 863, 1243 at time 1607970315394
Moved to 862, 1242 at time 1607970315439
Moved to 861, 1243 at time 1607970315475
Moved to 860, 1244 at time 1607970315515
Moved to 859, 1245 at time 1607970315557
Moved to 858, 1244 at time 1607970315601
Moved to 857, 1245 at time 1607970315637
Moved to 856, 1246 at time 1607970315686
Moved to 855, 1247 at time 1607970315721
Moved to 854, 1248 at time 1607970315757
Moved to 853, 1249 at time 1607970315796
Moved to 852, 1248 at time 1607970315832
Moved to 851, 1247 at time 1607970315869
Moved to 850, 1248 at time 1607970315926
Moved to 849, 1247 at time 1607970315965
Moved to 848, 1248 at time 1607970316003
Moved to 847, 1249 at time 1607970316037
Moved to 846, 1248 at time 1607970316072
Moved to 845, 1247 at time 1607970316109
Moved to 844, 1246 at time 1607970316144
Moved to 843, 1245 at time 1607970316179
Moved to 842, 1244 at time 1607970316215
Moved to 841, 1243 at time 1607970316252
Moved to 840, 1242 at time 1607970316285
Moved to 839, 1241 at time 1607970316321
Moved to 838, 1242 at time 1607970316355
Moved to 837, 1241 at time 1607970316390
Moved to 836, 1242 at time 1607970316431
Moved to 835, 1241 at time 1607970316466
Moved to 834, 1242 at time 1607970316501
Moved to 833, 1243 at time 1607970316535
Moved to 832, 1244 at time 1607970316571
Moved to 831, 1243 at time 1607970316606
Moved to 830, 1244 at time 1607970316640
Moved to 829, 1245 at time 1607970316674
Moved to 828, 1246 at time 1607970316708
Moved to 827, 1245 at time 1607970316747
Moved to 826, 1246 at time 1607970316782
Moved to 825, 1247 at time 1607970316819
Moved to 824, 1246 at time 1607970316854
Moved to 823, 1245 at time 1607970316889
Moved to 822, 1246 at time 1607970316927
Moved to 821, 1247 at time 1607970316967
Moved to 820, 1248 at time 1607970317002
Moved to 819, 1249 at time 1607970317037
Moved to 818, 1248 at time 1607970317071
Moved to 817, 1249 at time 1607970317106
Moved to 816, 1248 at time 1607970317141
Moved to 815, 1247 at time 1607970317177
Moved to 814, 1246 at time 1607970317213
Moved to 813, 1245 at time 1607970317249
Moved to 812, 1244 at time 1607970317284
Moved to 811, 1243 at time 1607970317320
Moved to 810, 1242 at time 1607970317359
Moved to 809, 1241 at time 1607970317394
Moved to 808, 1240 at time 1607970317431
Moved to 807, 1239 at time 1607970317466
Moved to 806, 1238 at time 1607970317502
Moved to 805, 1239 at time 1607970317537
Moved to 804, 1240 at time 1607970317573
Moved to 803, 1239 at time 1607970317607
Moved to 802, 1240 at time 1607970317641
Moved to 801, 1239 at time 1607970317677
Moved to 800, 1240 at time 1607970317713
Moved to 799, 1239 at time 1607970317747
Moved to 798, 1240 at time 1607970317781
Moved to 797, 1241 at time 1607970317815
Moved to 796, 1242 at time 1607970317849
Moved to 795, 1243 at time 1607970317884
Moved to 794, 1244 at time 1607970317920
Moved to 793, 1245 at time 1607970317956
Moved to 792, 1244 at time 1607970317991
Moved to 791, 1245 at time 1607970318027
Moved to 790, 1246 at time 1607970318065
Moved to 789, 1247 at time 1607970318105
Moved to 788, 1248 at time 1607970318172
Moved to 787, 1249 at time 1607970318209
Moved to 786, 1250 at time 1607970318245
Moved to 785, 1249 at time 1607970318281
Moved to 784, 1250 at time 1607970318322
Moved to 783, 1249 at time 1607970318359
Moved to 782, 1250 at time 1607970318395
Moved to 781, 1251 at time 1607970318430
Moved to 780, 1252 at time 1607970318464
Moved to 779, 1253 at time 1607970318499
Moved to 778, 1252 at time 1607970318534
Moved to 777, 1253 at time 1607970318570
Moved to 776, 1254 at time 1607970318604
Moved to 775, 1255 at time 1607970318638
Moved to 774, 1254 at time 1607970318673
Moved to 773, 1253 at time 1607970318708
Moved to 772, 1252 at time 1607970318745
Moved to 771, 1253 at time 1607970318781
Moved to 770, 1254 at time 1607970318817
Moved to 769, 1253 at time 1607970318852
Moved to 768, 1252 at time 1607970318893
Moved to 767, 1253 at time 1607970318930
Moved to 766, 1254 at time 1607970318990
Moved to 765, 1253 at time 1607970319026
Moved to 764, 1252 at time 1607970319061
Moved to 763, 1253 at time 1607970319102
Moved to 762, 1252 at time 1607970319138
Moved to 761, 1253 at time 1607970319176
Moved to 760, 1254 at time 1607970319213
Moved to 759, 1255 at time 1607970319250
Moved to 758, 1254 at time 1607970319285
Moved to 757, 1255 at time 1607970319321
Moved to 756, 1254 at time 1607970319357
Moved to 755, 1253 at time 1607970319394
Moved to 754, 1252 at time 1607970319428
Moved to 753, 1253 at time 1607970319463
Moved to 752, 1254 at time 1607970319500
Moved to 751, 1255 at time 1607970319536
Moved to 750, 1256 at time 1607970319572
Moved to 749, 1257 at time 1607970319608
Moved to 748, 1258 at time 1607970319644
Moved to 747, 1259 at time 1607970319678
Moved to 746, 1260 at time 1607970319715
Moved to 745, 1259 at time 1607970319750
Moved to 744, 1260 at time 1607970319787
Moved to 743, 1261 at time 1607970319824
Moved to 742, 1260 at time 1607970319860
Moved to 741, 1259 at time 1607970319895
Moved to 740, 1258 at time 1607970319934
Moved to 739, 1259 at time 1607970319968
Moved to 738, 1258 at time 1607970320004
Moved to 737, 1257 at time 1607970320038
Moved to 736, 1256 at time 1607970320105
Moved to 735, 1255 at time 1607970320140
