Attacked Unit@7043bb2fat position 527, 1241 at time 1607970488548
Moved to 578, 1084 at time 1607970560862
Moved to 576, 1083 at time 1607970560940
Moved to 574, 1084 at time 1607970561009
Moved to 572, 1083 at time 1607970561077
Moved to 571, 1084 at time 1607970561113
Moved to 570, 1085 at time 1607970561149
Moved to 569, 1084 at time 1607970561339
Moved to 568, 1083 at time 1607970561380
Moved to 567, 1084 at time 1607970561415
Moved to 566, 1083 at time 1607970561450
Moved to 565, 1084 at time 1607970561488
Moved to 564, 1085 at time 1607970561525
Moved to 562, 1084 at time 1607970561598
Moved to 561, 1083 at time 1607970561634
Moved to 560, 1084 at time 1607970561670
Moved to 559, 1083 at time 1607970561705
Moved to 558, 1082 at time 1607970561740
Moved to 557, 1083 at time 1607970561775
Moved to 556, 1084 at time 1607970561810
Moved to 555, 1085 at time 1607970561878
Moved to 554, 1086 at time 1607970561913
Moved to 553, 1087 at time 1607970561947
Moved to 552, 1088 at time 1607970561982
Moved to 551, 1089 at time 1607970562018
Moved to 550, 1088 at time 1607970562054
Moved to 549, 1087 at time 1607970562125
Moved to 548, 1086 at time 1607970562161
Moved to 547, 1087 at time 1607970562199
Moved to 546, 1086 at time 1607970562236
Moved to 545, 1087 at time 1607970562271
Moved to 544, 1086 at time 1607970562306
Moved to 543, 1087 at time 1607970562343
Moved to 542, 1088 at time 1607970562379
Moved to 541, 1089 at time 1607970562416
Moved to 540, 1090 at time 1607970562451
Moved to 539, 1091 at time 1607970562486
Moved to 538, 1092 at time 1607970562522
Moved to 537, 1093 at time 1607970562558
Moved to 536, 1092 at time 1607970562594
Moved to 535, 1091 at time 1607970562630
Moved to 534, 1090 at time 1607970562664
Moved to 533, 1089 at time 1607970562698
Moved to 532, 1090 at time 1607970562734
Moved to 531, 1091 at time 1607970562768
Moved to 530, 1090 at time 1607970562802
Moved to 528, 1097 at time 1607970566059
Moved to 527, 1098 at time 1607970566094
Moved to 526, 1099 at time 1607970566129
Moved to 525, 1099 at time 1607970566198
Moved to 524, 1100 at time 1607970566267
Moved to 521, 1111 at time 1607970567689
Moved to 522, 1112 at time 1607970567966
Moved to 521, 1113 at time 1607970568001
Moved to 522, 1114 at time 1607970568038
