Attacked Unit@43622cd4at position 677, 493 at time 1607965644440
Moved to 509, 231 at time 1607965645702
Moved to 510, 232 at time 1607965646428
Moved to 511, 233 at time 1607965646464
Moved to 512, 234 at time 1607965707805
Moved to 513, 235 at time 1607965708191
Moved to 514, 236 at time 1607965708263
Moved to 515, 237 at time 1607965708380
Moved to 516, 238 at time 1607965708452
Moved to 517, 239 at time 1607965708594
Moved to 518, 240 at time 1607965708675
Moved to 519, 241 at time 1607965708805
Moved to 520, 242 at time 1607965708899
Moved to 521, 243 at time 1607965709023
Moved to 522, 244 at time 1607965709248
Moved to 523, 245 at time 1607965709404
Moved to 524, 246 at time 1607965709667
Moved to 525, 247 at time 1607965710369
Moved to 526, 248 at time 1607965710827
Moved to 527, 249 at time 1607965711330
Moved to 528, 250 at time 1607965711775
Moved to 529, 251 at time 1607965711902
Moved to 530, 252 at time 1607965712445
Moved to 531, 253 at time 1607965712833
Moved to 532, 254 at time 1607965713272
Moved to 533, 255 at time 1607965713347
Moved to 534, 256 at time 1607965713969
Moved to 533, 255 at time 1607965714270
Moved to 532, 254 at time 1607965714817
Moved to 531, 253 at time 1607965715152
Moved to 530, 252 at time 1607965715263
Moved to 529, 251 at time 1607965715451
Moved to 528, 250 at time 1607965715587
Moved to 527, 249 at time 1607965715621
Moved to 526, 248 at time 1607965715742
Moved to 525, 247 at time 1607965715791
Moved to 524, 246 at time 1607965716016
Moved to 523, 245 at time 1607965716232
Moved to 522, 244 at time 1607965716534
Moved to 521, 243 at time 1607965716720
Moved to 520, 242 at time 1607965716870
Moved to 519, 241 at time 1607965716920
Moved to 518, 240 at time 1607965717101
Moved to 517, 239 at time 1607965717165
Moved to 516, 238 at time 1607965717280
Moved to 515, 237 at time 1607965717353
Moved to 514, 236 at time 1607965717464
Moved to 513, 235 at time 1607965717530
Moved to 512, 234 at time 1607965717620
Moved to 511, 233 at time 1607965717680
Moved to 510, 232 at time 1607965717768
Moved to 509, 231 at time 1607965717979
Moved to 508, 230 at time 1607965718280
