Attacked Unit@633f4ce5at position 554, 1000 at time 1607972022110
Attacked Unit@633f4ce5at position 642, 1000 at time 1607972023223
Attacked Unit@463fbb0dat position 666, 1000 at time 1607972024337
Attacked Unit@463fbb0dat position 756, 1000 at time 1607972025451
Attacked Unit@2f2c1385at position 810, 1000 at time 1607972026566
Attacked Unit@2a1f2f14at position 908, 1000 at time 1607972027681
Attacked Unit@663e32b5at position 713, 796 at time 1607972028795
Attacked Unit@633f4ce5at position 635, 843 at time 1607972029909
Attacked Unit@667b347aat position 582, 784 at time 1607972031022
Attacked Unit@2f2c1385at position 548, 1303 at time 1607972032136
