Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644523
Moved to 341, 344 at time 1607965644844
Moved to 342, 345 at time 1607965644909
Moved to 343, 346 at time 1607965645124
Moved to 344, 347 at time 1607965645176
Moved to 345, 348 at time 1607965645212
Moved to 346, 349 at time 1607965645446
Moved to 347, 350 at time 1607965645535
Moved to 348, 351 at time 1607965645569
Moved to 349, 352 at time 1607965646026
Moved to 350, 353 at time 1607965646103
Moved to 351, 354 at time 1607965646593
Moved to 352, 355 at time 1607965707710
Moved to 353, 356 at time 1607965707768
Moved to 354, 355 at time 1607965708109
Moved to 355, 354 at time 1607965708143
Moved to 356, 353 at time 1607965708319
Moved to 357, 352 at time 1607965708516
Moved to 358, 351 at time 1607965708745
Moved to 359, 350 at time 1607965708964
Moved to 360, 349 at time 1607965709150
Moved to 361, 348 at time 1607965709315
Moved to 362, 347 at time 1607965709511
Moved to 363, 348 at time 1607965709995
Moved to 364, 349 at time 1607965710078
Moved to 365, 350 at time 1607965710620
Moved to 366, 351 at time 1607965711129
Moved to 367, 352 at time 1607965711499
Moved to 368, 353 at time 1607965712193
Moved to 369, 354 at time 1607965712634
Moved to 370, 355 at time 1607965713066
Moved to 371, 356 at time 1607965713683
Moved to 372, 357 at time 1607965713738
Moved to 373, 358 at time 1607965714116
Moved to 374, 359 at time 1607965714519
Moved to 375, 360 at time 1607965714583
Moved to 376, 361 at time 1607965715046
Moved to 377, 362 at time 1607965715213
Moved to 378, 363 at time 1607965715338
Moved to 379, 364 at time 1607965715531
Moved to 380, 365 at time 1607965715667
Moved to 381, 366 at time 1607965715703
Moved to 382, 367 at time 1607965715863
Moved to 383, 368 at time 1607965715919
Moved to 384, 369 at time 1607965716329
Moved to 385, 370 at time 1607965716420
Moved to 386, 371 at time 1607965716770
Moved to 387, 372 at time 1607965716805
Moved to 388, 373 at time 1607965716962
Moved to 389, 374 at time 1607965717058
Moved to 390, 375 at time 1607965717205
Moved to 391, 376 at time 1607965717425
Moved to 392, 377 at time 1607965717564
Moved to 393, 378 at time 1607965717737
Moved to 394, 379 at time 1607965718062
Moved to 395, 380 at time 1607965718186
Moved to 396, 381 at time 1607965718519
Moved to 397, 382 at time 1607965718712
Moved to 398, 383 at time 1607965718858
Moved to 399, 384 at time 1607965719082
Moved to 400, 385 at time 1607965719464
Moved to 401, 386 at time 1607965719864
Moved to 402, 387 at time 1607965719975
Moved to 403, 388 at time 1607965720405
Moved to 404, 389 at time 1607965720517
Moved to 405, 390 at time 1607965720914
Moved to 406, 391 at time 1607965721040
Moved to 407, 392 at time 1607965721434
Moved to 408, 393 at time 1607965721481
Moved to 409, 394 at time 1607965721619
Moved to 410, 395 at time 1607965721816
Moved to 411, 396 at time 1607965721933
Moved to 412, 397 at time 1607965721969
Moved to 413, 398 at time 1607965722065
Moved to 414, 399 at time 1607965722113
Moved to 415, 400 at time 1607965722190
Moved to 416, 401 at time 1607965722247
Moved to 417, 402 at time 1607965722322
Moved to 418, 403 at time 1607965722363
Moved to 419, 404 at time 1607965722624
Moved to 420, 405 at time 1607965722785
Moved to 421, 406 at time 1607965723054
Moved to 422, 407 at time 1607965723254
Moved to 423, 408 at time 1607965723453
Moved to 424, 409 at time 1607965723604
Moved to 425, 410 at time 1607965723936
Moved to 426, 411 at time 1607965724139
Moved to 427, 412 at time 1607965724419
Moved to 428, 413 at time 1607965724626
Moved to 429, 414 at time 1607965724911
Moved to 430, 415 at time 1607965725122
Moved to 431, 416 at time 1607965725388
Moved to 432, 417 at time 1607965725425
Moved to 433, 418 at time 1607965725549
Moved to 434, 419 at time 1607965725871
Moved to 435, 420 at time 1607965726005
Moved to 436, 421 at time 1607965726335
Moved to 437, 422 at time 1607965726477
Moved to 438, 423 at time 1607965726793
Moved to 439, 424 at time 1607965726933
Moved to 440, 425 at time 1607965727215
Moved to 441, 426 at time 1607965727349
Moved to 442, 427 at time 1607965727683
Moved to 443, 428 at time 1607965727816
Moved to 444, 429 at time 1607965728139
Moved to 445, 430 at time 1607965728274
Moved to 446, 431 at time 1607965728569
Moved to 447, 432 at time 1607965728734
Moved to 448, 433 at time 1607965729066
Moved to 449, 434 at time 1607965729214
Moved to 450, 435 at time 1607965729502
Moved to 451, 436 at time 1607965729539
Moved to 452, 437 at time 1607965729643
Moved to 453, 438 at time 1607965729775
Moved to 454, 439 at time 1607965729877
Moved to 455, 440 at time 1607965729919
Moved to 456, 441 at time 1607965730164
Moved to 457, 442 at time 1607965730240
Moved to 458, 443 at time 1607965730584
Moved to 459, 444 at time 1607965730686
