Attacked Unit@5f4387b3at position 1469, 448 at time 1607965644493
Attacked Unit@31b07645at position 1427, 323 at time 1607965646558
Attacked Unit@9e8ffdfat position 1429, 280 at time 1607965708085
Attacked Unit@454b9dd2at position 1479, 348 at time 1607965709901
Attacked Unit@31b07645at position 1427, 323 at time 1607965712082
Attacked Unit@31b07645at position 1427, 323 at time 1607965713517
Attacked Unit@9e8ffdfat position 1429, 280 at time 1607965715185
Attacked Unit@31b07645at position 1427, 323 at time 1607965716948
Attacked Unit@9e8ffdfat position 1429, 280 at time 1607965718653
Moved to 1673, 231 at time 1607965718739
Moved to 1672, 230 at time 1607965718836
Moved to 1671, 231 at time 1607965718870
Moved to 1670, 232 at time 1607965719056
Moved to 1669, 233 at time 1607965719113
Moved to 1668, 232 at time 1607965719389
Moved to 1666, 233 at time 1607965719869
Moved to 1665, 232 at time 1607965719972
Attacked Unit@4acbe733at position 1396, 149 at time 1607965720407
Got attacked at 1665, 232 by Unit@4acbe733 at time 1607965720774
Attacked Unit@4acbe733at position 1396, 149 at time 1607965722089
Got attacked at 1665, 232 by Unit@4acbe733 at time 1607965722464
Got attacked at 1665, 232 by Unit@5ff53018 at time 1607965723327
Attacked Unit@4acbe733at position 1396, 149 at time 1607965723890
Got attacked at 1665, 232 by Unit@4acbe733 at time 1607965724262
Got attacked at 1665, 232 by Unit@5ff53018 at time 1607965725369
Attacked Unit@5ff53018at position 1396, 232 at time 1607965725615
Got attacked at 1665, 232 by Unit@4acbe733 at time 1607965726143
Got attacked at 1665, 232 by Unit@5ff53018 at time 1607965726975
Died at 1665, 232 at time 1607965727002
