Attacked Unit@55d611daat position 821, 638 at time 1607968586271
Moved to 702, 859 at time 1607968800223
Moved to 703, 860 at time 1607968800258
Moved to 702, 861 at time 1607968800299
Moved to 701, 862 at time 1607968800338
Moved to 702, 863 at time 1607968800372
Moved to 701, 864 at time 1607968800409
Moved to 700, 865 at time 1607968800457
Moved to 699, 866 at time 1607968800493
Moved to 698, 867 at time 1607968800560
Moved to 697, 868 at time 1607968800595
Moved to 696, 869 at time 1607968800634
Moved to 695, 870 at time 1607968800670
Moved to 694, 871 at time 1607968800706
Moved to 693, 872 at time 1607968800740
Moved to 692, 873 at time 1607968800776
Moved to 691, 874 at time 1607968800810
Moved to 692, 875 at time 1607968800844
Moved to 691, 876 at time 1607968800881
Moved to 692, 877 at time 1607968800916
Moved to 691, 878 at time 1607968800952
Moved to 690, 879 at time 1607968800987
Moved to 691, 880 at time 1607968801022
Moved to 690, 881 at time 1607968801057
Moved to 691, 882 at time 1607968801093
Moved to 690, 883 at time 1607968801128
Moved to 691, 884 at time 1607968801163
Moved to 690, 885 at time 1607968801203
Moved to 689, 886 at time 1607968801238
Moved to 688, 887 at time 1607968801275
Moved to 689, 888 at time 1607968801316
Moved to 688, 889 at time 1607968801355
Moved to 687, 890 at time 1607968801394
Moved to 686, 891 at time 1607968801429
Moved to 685, 892 at time 1607968801468
Moved to 684, 893 at time 1607968801504
Moved to 683, 894 at time 1607968801540
Moved to 682, 895 at time 1607968801574
Moved to 681, 896 at time 1607968801610
Moved to 680, 897 at time 1607968801646
Moved to 679, 898 at time 1607968801688
Moved to 680, 899 at time 1607968801729
Moved to 679, 900 at time 1607968801793
Moved to 678, 901 at time 1607968801840
Moved to 677, 902 at time 1607968801900
Moved to 676, 903 at time 1607968801973
Moved to 675, 904 at time 1607968802017
Moved to 676, 905 at time 1607968802052
Moved to 675, 906 at time 1607968802110
Moved to 676, 907 at time 1607968802146
Moved to 675, 908 at time 1607968802204
Moved to 674, 909 at time 1607968802249
Attacked Unit@356d6dd6at position 728, 1178 at time 1607968803243
Got attacked at 674, 909 by Unit@51425871 at time 1607968804926
Got attacked at 674, 909 by Unit@356d6dd6 at time 1607968804964
Attacked Unit@356d6dd6at position 728, 1178 at time 1607968804968
Attacked Unit@356d6dd6at position 728, 1178 at time 1607968806644
Attacked Unit@51425871at position 753, 1178 at time 1607968868880
Moved to 673, 910 at time 1607968868915
Moved to 672, 911 at time 1607968868954
Moved to 673, 912 at time 1607968868989
Moved to 672, 913 at time 1607968869025
Moved to 671, 914 at time 1607968869075
Moved to 670, 915 at time 1607968869109
Moved to 671, 916 at time 1607968869146
Moved to 670, 917 at time 1607968869187
Moved to 669, 918 at time 1607968869222
Moved to 668, 919 at time 1607968869259
Moved to 667, 920 at time 1607968869302
Moved to 666, 921 at time 1607968869336
Moved to 665, 922 at time 1607968869371
Moved to 664, 923 at time 1607968869405
Moved to 663, 924 at time 1607968869439
Moved to 662, 925 at time 1607968869473
